population,quantization,path,metric,position_count,mean,standard_deviation,minimum,p25,median,p75,p95,maximum
ordinary_control,Q4_K_M,own_generated_path,entropy_bits,122220,1.5181621649752206,1.3568148562305968,3.5263193034643135e-09,0.323792461889937,1.2563126273285659,2.329799594215892,4.1551541207121705,9.043403935306854
ordinary_control,Q4_K_M,own_generated_path,observed_rank,122220,1.579823269513991,2.320145823564903,1.0,1.0,1.0,1.0,4.0,156.0
ordinary_control,Q4_K_M,own_generated_path,token_surprisal_nats,122220,0.711842160476319,0.8951227953902529,9.07789399207104e-11,0.04386894687798826,0.3526472922309356,1.065766288797116,2.597722941680352,7.377724118589214
ordinary_control,Q4_K_M,own_generated_path,rank_pressure_log_probability_gap_nats,122220,0.24623880619270053,0.5998819731534111,0.0,0.0,0.0,0.0,1.6945610046386705,5.33017635345459
ordinary_control,Q8_0,historical_q4_token_path,entropy_bits,122220,1.526253225826441,1.35025453825902,8.061122441405134e-09,0.33564979390929095,1.276147708001706,2.3487376372364137,4.138430427467184,8.878840608765532
ordinary_control,Q8_0,historical_q4_token_path,observed_rank,122220,1.6160039273441336,2.5102776757289225,1.0,1.0,1.0,1.0,4.0,197.0
ordinary_control,Q8_0,historical_q4_token_path,token_surprisal_nats,122220,0.7310099227878244,0.9193747003220115,2.1395862859208137e-10,0.0457945313708521,0.36277089079348634,1.090571391697262,2.668309115205844,7.8802624362440845
ordinary_control,Q8_0,historical_q4_token_path,rank_pressure_log_probability_gap_nats,122220,0.2624733344522675,0.6310454306643266,0.0,0.0,0.0,0.0,1.7603376388549796,6.443458080291748
ordinary_control,Q8_0,own_generated_path,entropy_bits,122220,1.5084951565432776,1.3463829388058066,9.834464730549753e-09,0.32203519746902465,1.2482552410829215,2.3178730300596575,4.116887546792281,9.286062300611116
ordinary_control,Q8_0,own_generated_path,observed_rank,122220,1.5644329896907216,2.1447957555169386,1.0,1.0,1.0,1.0,4.0,190.0
ordinary_control,Q8_0,own_generated_path,token_surprisal_nats,122220,0.7102617346099088,0.8899803903098223,2.6712854150900966e-10,0.04390015172207207,0.35012730446235807,1.0618347731442954,2.5942066617179114,7.295752330974061
ordinary_control,Q8_0,own_generated_path,rank_pressure_log_probability_gap_nats,122220,0.2470608812602759,0.597307166058818,0.0,0.0,0.0,0.0,1.6981518745422353,5.4404144287109375
rankcloak,Q4_K_M,own_generated_path,entropy_bits,122220,3.064923889712799,1.9128189688990023,1.8218617071173116e-07,1.5636951591694237,2.9366349550452355,4.397464532015309,6.424990335349814,10.404671247728459
rankcloak,Q4_K_M,own_generated_path,observed_rank,122220,4.948199967272132,2.6141832847005153,1.0,3.0,5.0,7.0,9.0,16.0
rankcloak,Q4_K_M,own_generated_path,token_surprisal_nats,122220,3.8765162394858743,2.184258420835123,1.146120780504134e-07,2.6541890056515403,3.5100537147242585,4.610641533754148,8.035719473617284,26.177263044089194
rankcloak,Q4_K_M,own_generated_path,rank_pressure_log_probability_gap_nats,122220,3.007492727902493,2.527918188148051,0.0,1.2674176692962646,2.4637255668640137,4.092576742172241,7.9274887561798035,26.177261352539062
rankcloak,Q8_0,historical_q4_token_path,entropy_bits,122220,3.049683113542879,1.9014028858698557,2.378204437710676e-07,1.5596912791876236,2.925932962320355,4.369628215313806,6.393481613082401,10.387041644603473
rankcloak,Q8_0,historical_q4_token_path,observed_rank,122220,5.221477663230241,3.169549971722378,1.0,3.0,5.0,7.0,11.0,110.0
rankcloak,Q8_0,historical_q4_token_path,token_surprisal_nats,122220,3.9104281259224254,2.2218461153555698,2.208549716442576e-07,2.6432570530612427,3.5398810537805705,4.675325477546607,8.14401568244452,25.85247232976254
rankcloak,Q8_0,historical_q4_token_path,rank_pressure_log_probability_gap_nats,122220,3.043377720855141,2.5612942014920965,0.0,1.2796003818511963,2.496119499206543,4.147809743881226,8.036545181274413,25.852468490600586
rankcloak,Q8_0,own_generated_path,entropy_bits,122220,2.9828943653372324,1.888180018913063,1.7025380665579917e-06,1.4995587959639605,2.8441287007279747,4.294099190191262,6.311518123340301,11.112022877872706
rankcloak,Q8_0,own_generated_path,observed_rank,122220,4.948199967272132,2.6141832847005153,1.0,3.0,5.0,7.0,9.0,16.0
rankcloak,Q8_0,own_generated_path,token_surprisal_nats,122220,3.9082108325197615,2.216851705713143,8.014783290377636e-07,2.649120505209349,3.531529166711243,4.669568324145213,8.183120250416241,21.91288445877438
rankcloak,Q8_0,own_generated_path,rank_pressure_log_probability_gap_nats,122220,3.0609528226267977,2.557297406679563,0.0,1.288360834121704,2.5098018646240234,4.182210922241211,8.078120613098145,21.912874221801758
