dimension,level,row_count,positive_count,negative_count,roc_auc,partial_auc_fpr_0_01,partial_auc_unavailable_reason,tpr_at_main_threshold_fpr_0_01,fpr_at_main_threshold_fpr_0_01,low_fpr_0_01_unavailable_reason,tpr_at_main_threshold_fpr_0_001,fpr_at_main_threshold_fpr_0_001,low_fpr_0_001_unavailable_reason
codec_id,direct_subword_calgacus,198,99,99,0.9896949290888685,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
codec_id,nonseg_ascii_b16,198,99,99,0.996837057443118,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
codec_id,nonseg_ascii_b8,198,99,99,0.9853076216712581,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
codec_id,nonseg_hex_nibble_b16,80,40,40,0.984375,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
codec_id,segmented_hex_multi_topic,160,80,80,0.94859375,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
codec_id,segmented_hex_single_topic,160,80,80,0.9584375,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
payload_class,aes256_gcm_base64,90,45,45,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
payload_class,chacha20_poly1305_base64,90,45,45,0.9960493827160494,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
payload_class,ed25519_signature_base64,84,42,42,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
payload_class,hmac_sha256_hex,144,72,72,0.9861111111111112,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
payload_class,nonce_96_bit_hex,160,80,80,0.95734375,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
payload_class,sha256_hex,160,80,80,0.9753125,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
payload_class,token_128_bit_hex,176,88,88,0.9695247933884298,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
payload_class,uuid_v4,90,45,45,0.9901234567901235,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
