plan_id,experimental_cell_id,pairing_unit_id,model_id,quantization,payload_name,payload_class,payload_index,representation_name,codec_id,prompt_template_id,gate_level,population,label,threshold_bits,random_seed,generated_token_count,payload_rank_count,payload_completion,saved_id_exact_payload_recovery,visible_text_exact_payload_recovery,eligible_position_fraction,fixed_payload_bits_per_generated_token,fixed_token_budget_payload_fraction,mean_entropy_bits,mean_observed_rank,mean_token_log_probability,mean_token_surprisal_nats,mean_greedy_log_probability,mean_rank_pressure_log_probability_gap_nats,text_sha256,execution_seconds,gpu_memory_peak_mib,word_count,sentence_count,character_count,flesch_reading_ease_heuristic,flesch_kincaid_grade_heuristic,coleman_liau_index,unique_word_fraction,repeated_bigram_fraction,repeated_trigram_fraction,maximum_identical_word_run,artifact_like_fragment_count,surface_flag_total,tfidf_prompt_similarity,paired_ungated_token_count,added_tokens_vs_ungated,length_ratio_vs_ungated
entropy_trial__002beb41d3902d0e99f8d7ca,entropy_cell__0cea944272901ade48621f2e,entropy_pair__06f85acb129434b0a07526cc,mistral_7b_instruct_v0_3_q4_k_m,Q4_K_M,revision_v1_chacha20_poly1305_base64_003,chacha20_poly1305_base64,3,direct_subword,direct_subword_calgacus,explain_everyday_system,ungated,rankcloak,1,,305376346527978704,52,52.0,True,True,False,1.0,9.846153846153847,1.0,4.7663134474449524,286.34615384615387,-6.992677284595687,6.992677284595687,-1.142219304513102,5.850457980082585,73783ec4680d308e496409f0fd4c92a0cad8fd2cecb9bbaff84583f0be468a78,8.793673078005668,4973,37,2,255,25.716959459459474,14.268243243243244,16.92648648648648,0.918918918918919,0.0,0.0,1,0,1,0.04179370367109211,52,0.0,1.0
entropy_trial__008389ec9ad5e92c623b2930,entropy_cell__08e774099c80c362fca9ceeb,entropy_pair__9029348eb666eb88def781b6,mistral_7b_instruct_v0_3_q4_k_m,Q4_K_M,revision_v1_nonce_96_bit_hex_003,nonce_96_bit_hex,3,direct_subword,direct_subword_calgacus,explain_everyday_system,strict,ordinary_control,0,,6566384635048245768,52,,,,,,,,1.2632011868138602,1.25,-0.5081785201460817,0.5081785201460817,-0.398184035318013,0.10999448482806866,cf87c5bfb751ac7ca5eee8c86662aee2c0c99e8b870291fb404c8dc2c621a11d,1.851104609988397,4973,47,2,292,29.982500000000016,14.915425531914895,13.091063829787235,0.7446808510638298,0.04347826086956519,0.022222222222222254,1,0,1,0.07883679871413626,24,,
entropy_trial__008cf9d822bbce2de9cdf4a0,entropy_cell__94cb6f5960ebeff2023a7ff0,entropy_pair__be68441a9ac2fec5ed05664a,qwen2_5_7b_instruct_q4_k_m,Q4_K_M,revision_v1_hmac_sha256_hex_003,hmac_sha256_hex,3,direct_subword,direct_subword_calgacus,explain_everyday_system,strict,ordinary_control,0,,201661335458358347,81,,,,,,,,1.1764374155563688,1.4938271604938271,-0.5269240413500994,0.5269240413500994,-0.3515902883058768,0.1753337530442226,b3a43a4cd240947a8ecf40e755a5f3536c61942f5a43e66bb1b4a5a23f115323,4.621884647989646,4757,67,5,417,40.44892537313433,10.946447761194033,11.04,0.746268656716418,0.06060606060606055,0.03076923076923077,1,0,0,0.12658967084427933,57,,
entropy_trial__00ded04a86b157f227368a5f,entropy_cell__40301dca6f611bc8ae909090,entropy_pair__636b87df0fbe6b8851863f3a,mistral_7b_instruct_v0_3_q4_k_m,Q4_K_M,revision_v1_sha256_hex_041,sha256_hex,41,direct_subword,direct_subword_calgacus,professional_project_update,moderate,ordinary_control,0,,4222093727847549824,95,,,,,,,,1.1382758140751483,1.2421052631578948,-0.46758520708088397,0.46758520708088397,-0.3120498705362448,0.1555353365446392,bab7d888de434f832c72fc86ae61260b7c36a31ae911b2d817f27c469080894d,3.0313671059993794,4973,67,4,449,39.57404850746269,11.90070895522388,14.641194029850741,0.7611940298507462,0.045454545454545414,0.01538461538461533,1,0,1,0.11303670256120511,60,,
entropy_trial__012a8b6d5d1ab6ef010af88e,entropy_cell__23a6f41ee870b4e11f101915,entropy_pair__6a292415f81088f17c4719ab,qwen2_5_7b_instruct_q4_k_m,Q4_K_M,revision_v1_nonce_96_bit_hex_003,nonce_96_bit_hex,3,direct_subword,direct_subword_calgacus,explain_everyday_system,moderate,rankcloak,1,1.3619193336989834,506495442291298603,33,23.0,True,True,True,0.696969696969697,5.818181818181818,0.6956521739130435,1.8994194735616614,11.545454545454545,-3.78261677697089,3.78261677697089,-0.6543528121733782,3.1282639647975112,383f739a4e9a865f97941fc5e987ffceab5ef81df1fa56a5ecef886e4cecd35b,6.214545800990891,4757,24,1,162,34.42500000000004,14.420000000000002,15.061666666666657,0.9583333333333334,0.0,0.0,1,1,2,0.025593683809753628,23,10.0,1.434782608695652
entropy_trial__018029304d78cb5994214720,entropy_cell__fe1262f4467ae2f6756676a0,entropy_pair__1eaba895ad0110f6fed7e9f5,llama3_8b_instruct_q4_k_m,Q4_K_M,revision_v1_chacha20_poly1305_base64_003,chacha20_poly1305_base64,3,ascii_b16,nonseg_ascii_b16,explain_everyday_system,moderate,ordinary_control,0,,975980596701866863,142,,,,,,,,1.0592525093044525,2.0211267605633805,-0.5307236064595817,0.5307236064595817,-0.34933419404975896,0.1813894124098227,2d367aeecc4dc6be60413824d148814376ed679f81ad3d501df56de40adf53f6,7.418020873999922,5279,116,5,769,25.755965517241407,15.430413793103451,14.199655172413792,0.5517241379310345,0.19130434782608696,0.10526315789473684,1,0,1,0.07762412680369471,128,,
entropy_trial__01f8e0d89b13bdb8b70703ae,entropy_cell__41adb0089ce7d1917d2169f7,entropy_pair__354a610aebcd004a310fa444,llama3_8b_instruct_q4_k_m,Q4_K_M,revision_v1_aes256_gcm_base64_041,aes256_gcm_base64,41,ascii_b16,nonseg_ascii_b16,professional_project_update,moderate,ordinary_control,0,,7012622532324006424,147,,,,,,,,1.2253315997261107,1.469387755102041,-0.6099877978232355,0.6099877978232355,-0.38052068482141854,0.22946711300181694,e5f0067decbfa6f0de571158e46db46e7e1ff8153e9039fa5ef20d95568f7f34,7.2217482830019435,5279,120,9,752,50.89166666666668,9.473333333333333,11.282,0.6416666666666667,0.15966386554621848,0.1271186440677966,1,0,2,0.13519834855534052,128,,
entropy_trial__02d5731886d43323e9c5c679,entropy_cell__0335e08e2f5515b25f2c8056,entropy_pair__bb56f6fe2e1014a012875f51,mistral_7b_instruct_v0_3_q4_k_m,Q4_K_M,revision_v1_hmac_sha256_hex_003,hmac_sha256_hex,3,ascii_b16,nonseg_ascii_b16,explain_everyday_system,moderate,ordinary_control,0,,6581464116993896034,188,,,,,,,,0.7974895658085128,1.1702127659574468,-0.34556677595977553,0.34556677595977553,-0.25071179715488284,0.09485497880489269,f47bd1d67958e9d728f759358d749d8eecfbb4f531ada4c197bd1be361ac068c,5.210520118998829,4973,114,10,803,32.00084210526319,11.627929824561406,14.40771929824561,0.7105263157894737,0.053097345132743334,0.008928571428571397,2,0,1,0.11477246329955282,128,,
entropy_trial__02e86c45b072ecf5f7cc844b,entropy_cell__78575c52da4de6da6d1ca55b,entropy_pair__376859b0b7526d2dbefaf299,qwen2_5_7b_instruct_q4_k_m,Q4_K_M,revision_v1_sha256_hex_041,sha256_hex,41,hex_nibble,nonseg_hex_nibble_b16,professional_project_update,strict,rankcloak,1,2.4325573188780316,4015012822680326948,235,64.0,True,True,True,0.2723404255319149,2.178723404255319,0.203125,1.6205640491576425,2.8978723404255318,-1.202462879926699,1.202462879926699,-0.502941884157604,0.6995209957690949,8718eb304ab8a9cd38be03fa2824ece32bce89c661910de00d67b3064c039551,28.055665053994744,4757,189,10,1289,31.880071428571455,13.507984126984127,15.051640211640212,0.6507936507936508,0.02659574468085102,0.005347593582887722,1,0,5,0.13982801424368538,64,171.0,3.671875
entropy_trial__03b7e27c95e72ae0892a4c49,entropy_cell__110d5642d345cd2c14e690d0,entropy_pair__603d2722c6021fce356dea30,llama3_8b_instruct_q4_k_m,Q4_K_M,revision_v1_chacha20_poly1305_base64_003,chacha20_poly1305_base64,3,direct_subword,direct_subword_calgacus,explain_everyday_system,ungated,ordinary_control,0,,6496040981765204767,45,,,,,,,,1.6226534736033904,1.9555555555555555,-0.8378144898630233,0.8378144898630233,-0.53481865975099,0.3029958301120334,ff69859c325d987e964e4e9ca1fa5efb691b1ac38cf1b33addc657b0d19e3616,2.5555529950070195,5279,39,2,235,56.88865384615386,10.168846153846157,10.725128205128204,0.7948717948717948,0.02631578947368418,0.0,1,0,2,0.058437448717341925,45,,
