source_trial_id,model_id,codec_id,payload_class,forced_token_count,mean_forced_rank,median_forced_rank,maximum_forced_rank,mean_rank_pressure_nats
revision_v1_primary_v2_payload_fidelity_v2__00078e2736b0765ac513,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,token_128_bit_hex,32,10.09375,11.0,16,4.035847902297974
revision_v1_primary_v2_payload_fidelity_v2__000daae406557c57a493,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,nonce_96_bit_hex,12,1017.1666666666666,193.0,5658,7.940461913744609
revision_v1_primary_v2_payload_fidelity_v2__002b15e560abadc435fb,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,aes256_gcm_base64,171,4.111111111111111,4.0,8,2.3549546972352857
revision_v1_primary_v2_payload_fidelity_v2__002fcea96db8675ad7d2,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,aes256_gcm_base64,128,6.71875,6.0,16,3.539543878287077
revision_v1_primary_v2_payload_fidelity_v2__0065017a28b7e1656676,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,aes256_gcm_base64,171,4.16374269005848,4.0,8,3.0993922997636405
revision_v1_primary_v2_payload_fidelity_v2__006978fc610b9e1e22f6,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,aes256_gcm_base64,128,6.765625,6.0,16,3.0359080135822296
revision_v1_primary_v2_payload_fidelity_v2__009c70f9e3afd52e4bc4,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,hmac_sha256_hex,171,4.116959064327485,4.0,8,2.371252902069984
revision_v1_primary_v2_payload_fidelity_v2__00a1d59ead5f7b5a83de,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,sha256_hex,64,8.765625,9.0,16,3.5697436183691025
revision_v1_primary_v2_payload_fidelity_v2__00b0e8642035dafe42ab,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,hmac_sha256_hex,64,8.703125,9.5,16,4.2969997972249985
revision_v1_primary_v2_payload_fidelity_v2__00b5afa71330e9bf860c,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,aes256_gcm_base64,47,361.9148936170213,30.0,4800,5.840805987094311
revision_v1_primary_v2_payload_fidelity_v2__00b91f3e9985383172b9,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,aes256_gcm_base64,45,1443.2666666666667,38.0,48467,7.506200936105516
revision_v1_primary_v2_payload_fidelity_v2__00bda1ebbed9b8d2114c,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,chacha20_poly1305_base64,171,4.298245614035087,4.0,8,2.737640352974161
revision_v1_primary_v2_payload_fidelity_v2__00c17e3b8a94d0463cbd,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,uuid_v4,21,722.6190476190476,14.0,13494,5.543059042521885
revision_v1_primary_v2_payload_fidelity_v2__00df8a54c71bcf416944,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,hmac_sha256_hex,64,8.953125,9.5,16,3.8159333765506744
revision_v1_primary_v2_payload_fidelity_v2__00e50eaf7d082ff7f8ed,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,sha256_hex,64,7.625,7.0,16,3.436404973268509
revision_v1_primary_v2_payload_fidelity_v2__00e5e5a59bbb402bc2ff,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,sha256_hex,128,4.921875,4.0,10,3.223647102713585
revision_v1_primary_v2_payload_fidelity_v2__00ebc165206f775e96b0,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,sha256_hex,128,5.09375,4.0,10,3.178893491625786
revision_v1_primary_v2_payload_fidelity_v2__00fd26856624f23d6172,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,aes256_gcm_base64,128,7.0390625,6.5,16,3.60160980373621
revision_v1_primary_v2_payload_fidelity_v2__00fd63dcf693c91f26f6,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,sha256_hex,128,5.0859375,4.0,10,2.8873773217201233
revision_v1_primary_v2_payload_fidelity_v2__00ff9f9223282689a675,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hmac_sha256_hex,64,8.53125,9.0,16,4.047828897833824
revision_v1_primary_v2_payload_fidelity_v2__011bbf0dedd9d1224e0f,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,hmac_sha256_hex,64,6.671875,6.0,16,3.4232016652822495
revision_v1_primary_v2_payload_fidelity_v2__0121543bdd156ed9e4c9,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,hmac_sha256_hex,64,8.0,8.0,16,4.215145148336887
revision_v1_primary_v2_payload_fidelity_v2__0122222bd1280154b1a3,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,sha256_hex,171,4.093567251461988,4.0,8,2.082079363148115
revision_v1_primary_v2_payload_fidelity_v2__012d221c02150529652b,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,token_128_bit_hex,86,4.1395348837209305,4.0,8,2.8462956007136855
revision_v1_primary_v2_payload_fidelity_v2__0139045288668162ef21,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,uuid_v4,72,5.388888888888889,4.0,14,2.7805458969540067
revision_v1_primary_v2_payload_fidelity_v2__013bf3bfd1bb227135c4,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,token_128_bit_hex,32,7.40625,6.5,16,4.060209229588509
revision_v1_primary_v2_payload_fidelity_v2__013d17d841d26f8b6e69,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,nonce_96_bit_hex,24,7.625,8.5,13,3.4895543654759726
revision_v1_primary_v2_payload_fidelity_v2__014049d49204b324e503,qwen2_5_7b_instruct_q4_k_m,nonseg_hex_nibble_b16,sha256_hex,64,8.109375,8.0,16,3.217073902487755
revision_v1_primary_v2_payload_fidelity_v2__01410a89a61f21e1603f,qwen2_5_7b_instruct_q4_k_m,nonseg_hex_nibble_b16,sha256_hex,64,9.140625,10.0,16,3.6286393478512764
revision_v1_primary_v2_payload_fidelity_v2__016cfe2e4c487f0367c6,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,sha256_hex,54,74.92592592592592,9.0,3348,4.305266695993918
revision_v1_primary_v2_payload_fidelity_v2__01741af0123938c57413,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,token_128_bit_hex,32,8.75,8.0,16,3.5204576551914215
revision_v1_primary_v2_payload_fidelity_v2__01847207189da8232102,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,token_128_bit_hex,32,9.3125,9.5,16,4.972963735461235
revision_v1_primary_v2_payload_fidelity_v2__019ca72888051a0f95b5,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,nonce_96_bit_hex,24,8.333333333333334,8.0,16,4.001564224561055
revision_v1_primary_v2_payload_fidelity_v2__01a4e2d1c20e84e757a2,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,hmac_sha256_hex,128,5.171875,4.0,10,2.791763573884964
revision_v1_primary_v2_payload_fidelity_v2__01a77b551b67abb58129,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,token_128_bit_hex,32,8.84375,9.5,16,4.913682192564011
revision_v1_primary_v2_payload_fidelity_v2__01bf2b3a104ecfac76ba,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hmac_sha256_hex,64,8.1875,7.5,16,3.1898251324892044
revision_v1_primary_v2_payload_fidelity_v2__01c5bea67df50973fbd4,mistral_7b_instruct_v0_3_q4_k_m,nonseg_hex_nibble_b16,hmac_sha256_hex,64,8.765625,9.0,16,3.9935488775372505
revision_v1_primary_v2_payload_fidelity_v2__01d8b6b27b5a530e01d3,mistral_7b_instruct_v0_3_q4_k_m,nonseg_hex_nibble_b16,token_128_bit_hex,32,9.0,9.5,16,4.731333374977112
revision_v1_primary_v2_payload_fidelity_v2__01dbeb08f4c6256b08f1,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,uuid_v4,72,5.347222222222222,4.0,14,3.7632496886783176
