dimension,level,row_count,positive_count,negative_count,roc_auc,partial_auc_fpr_0_01,partial_auc_unavailable_reason,tpr_at_main_threshold_fpr_0_01,fpr_at_main_threshold_fpr_0_01,low_fpr_0_01_unavailable_reason,tpr_at_main_threshold_fpr_0_001,fpr_at_main_threshold_fpr_0_001,low_fpr_0_001_unavailable_reason
codec_id,direct_subword_calgacus,198,99,99,0.9852055912661973,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
codec_id,nonseg_ascii_b16,198,99,99,0.9878583817977757,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
codec_id,nonseg_ascii_b8,198,99,99,0.9954086317722681,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
codec_id,nonseg_hex_nibble_b16,80,40,40,0.99125,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
codec_id,segmented_hex_multi_topic,160,80,80,0.94015625,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
codec_id,segmented_hex_single_topic,160,80,80,0.963125,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
payload_class,aes256_gcm_base64,90,45,45,0.9985185185185185,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
payload_class,chacha20_poly1305_base64,90,45,45,0.9935802469135803,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
payload_class,ed25519_signature_base64,84,42,42,0.9982993197278912,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
payload_class,hmac_sha256_hex,144,72,72,0.9768518518518519,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
payload_class,nonce_96_bit_hex,160,80,80,0.93078125,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
payload_class,sha256_hex,160,80,80,0.97921875,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
payload_class,token_128_bit_hex,176,88,88,0.9753357438016529,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
payload_class,uuid_v4,90,45,45,0.9841975308641975,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000
