detector_name,regime,metric,evidence_status,higher_is_better,split_count,estimate_median_across_splits,estimate_min_across_splits,estimate_max_across_splits,test_rows_sum_across_splits,payload_groups_sum_across_splits,cross_split_interval
deberta_v3_base_classifier,held_out_template,balanced_accuracy,confirmatory_frozen_upstream,True,18,0.9892045454545455,0.9522727272727274,0.9954545454545454,15840,1440,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,held_out_template,brier_score,supplementary_exploratory_post_freeze,False,18,0.00873994949372866,0.0044640140342636705,0.038698062571665935,15840,1440,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,held_out_template,pr_auc,confirmatory_frozen_upstream,True,18,0.9997234141289667,0.9972660394370612,0.9999794323323736,15840,1440,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,held_out_template,precision,supplementary_exploratory_post_freeze,True,18,0.9976958403015582,0.919831223628692,1.0,15840,1440,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,held_out_template,roc_auc,confirmatory_frozen_upstream,True,18,0.9997184917355373,0.9962913223140496,0.9999793388429752,15840,1440,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,held_out_template,tpr_at_fpr_0.01,supplementary_exploratory_post_freeze,True,18,0.9943181818181819,0.9840909090909091,1.0,15840,1440,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_codec,balanced_accuracy,confirmatory_frozen_upstream,True,6,0.9729166666666667,0.9277777777777778,0.9986111111111112,3960,540,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_codec,brier_score,supplementary_exploratory_post_freeze,False,6,0.023702111222599496,0.0007040167504623659,0.06044631031147933,3960,540,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_codec,pr_auc,confirmatory_frozen_upstream,True,6,0.999451863103977,0.9983405374492664,1.0,3960,540,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_codec,precision,supplementary_exploratory_post_freeze,True,6,1.0,0.9970059880239521,1.0,3960,540,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_codec,roc_auc,confirmatory_frozen_upstream,True,6,0.9994251543209877,0.9979166666666668,1.0,3960,540,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_codec,tpr_at_fpr_0.01,supplementary_exploratory_post_freeze,True,6,0.9958333333333333,0.975,1.0,3960,540,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_model,balanced_accuracy,confirmatory_frozen_upstream,True,3,0.9734848484848484,0.9462121212121212,0.9757575757575758,3960,360,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_model,brier_score,supplementary_exploratory_post_freeze,False,3,0.021725893215228748,0.019478903934334938,0.046558503276814066,3960,360,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_model,pr_auc,confirmatory_frozen_upstream,True,3,0.9994917131695394,0.9968205700572762,0.9999794216316328,3960,360,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_model,precision,supplementary_exploratory_post_freeze,True,3,1.0,0.9900166389351082,1.0,3960,360,not_computed_heterogeneous_prespecified_splits
