finding_id,topic,configuration,sample_size,estimate,uncertainty,effect_size,status,artifacts,limitation
F001_PAYLOAD_CORPUS,Cryptographic payload corpus,Public deterministic test vectors generated by the declared cryptographic algorithms,480 artifacts; 8 classes; 60 artifacts per class,Validation status ok; zero invalid payload names and zero validation errors,Complete manifest validation; no sampling interval,Not applicable; frozen design count,confirmatory,release_inputs/revision_v1/PAYLOAD_MANIFEST.json,"These are public deterministic test vectors, not operational secrets or deployment traffic."
F002_DESIGN_COVERAGE,Model and prompt coverage,"Llama 3 8B, Qwen 2.5 7B, and Mistral 7B; 18 English templates in 6 categories",3 model families; 18 templates; 6 categories,"Frozen work-unit ledger independently reconciled to 38,504/38,504 completed units, including 56/56 detector fits",Manifest and identifier audit; no sampling interval,Not applicable; design coverage,confirmatory,configs/revision_v1/models.json; configs/revision_v1/prompts.json; results/revision_v1/final_progress_snapshot_v1.json,"The three configured GGUF weight files are absent from this checkout, so fresh generation replay is not locally available."
F003_PRIMARY_RECOVERY,Primary exact payload recovery,Frozen primary payload-trial endpoint across all declared primary configurations,"6,480 payload trials","6,480/6,480 exact serialized payload recoveries; estimate 1.000000","95% Wilson CI [0.999408, 1.000000]","Observed recovery failure proportion 0/6,480",confirmatory,results/revision_v1/final_experiment_package/tables/primary_recovery/primary_recovery_endpoints.csv,The endpoint uses the experiment's exact-copy saved-token replay contract and does not establish transmission robustness.
F004_PRIMARY_GROUPED_SENSITIVITY,Payload-grouped recovery sensitivity,Strict success requires every observed primary configuration within each payload group to recover,"480 payload groups and 1,440 model-payload groups","480/480 strict payload groups and 1,440/1,440 strict model-payload groups recovered","95% Wilson CI [0.992061, 1.000000] by payload and [0.997339, 1.000000] by model-payload",Observed group failure proportion 0 at both grouping levels,supporting,results/revision_v1/final_experiment_package/tables/primary_recovery/primary_recovery_endpoints.csv,This grouping was specified during the post-audit organization and is supporting rather than a replacement primary endpoint.
F005_MULTILINGUAL_RECOVERY,Secondary multilingual exact recovery,Spanish and Simplified Chinese frozen secondary experiments,288 payload trials and 48 payload groups per language,288/288 trial recoveries and 48/48 strict payload-group recoveries in each language,"Per-language trial 95% Wilson CI [0.986837, 1.000000]; strict payload CI [0.925900, 1.000000]",Observed recovery failure proportion 0 in both languages,secondary,results/revision_v1/final_experiment_package/tables/multilingual_recovery/multilingual_recovery_endpoints.csv,"These are two secondary languages and exact-copy recovery outcomes, not broad multilingual or cross-cultural naturalness validation."
F006_REPLAY_MODES,Exact-copy replay-mode sensitivity,"Unmodified cover under saved token IDs, detokenized-text retokenization, and greedy lead-in regeneration",144 source-cover units per replay mode,Saved token IDs 1.000000; detokenized text 0.611111; greedy lead-in regeneration 1.000000,"95% Wilson CIs [0.974016, 1.000000], [0.529589, 0.686859], and [0.974016, 1.000000]",Detokenized-text absolute recovery difference versus saved IDs: -0.388889,secondary,results/revision_v1/final_experiment_package/robustness/recovery_by_condition.csv,The unmodified text-replay loss demonstrates tokenizer round-trip fragility; saved token IDs are not a typical text-transmission channel.
F007_TRANSMISSION_PERTURBATIONS,Controlled transmission perturbations,Raw transformed-text retokenization at the source-trial level,144 source-cover units per transformation,"Raw unmodified 1.000000; declared final-10%-token truncation 1.000000; Unicode NFKC 0.569444; quote conversion 0.388889; token deletion 0.236111; whitespace trim 0.194444; whitespace collapse 0.145833; character deletion and insertion 0.125000; character substitution and line-ending conversion 0.111111; Markdown copy/paste, paraphrase, and cross-model decode 0",Source-cover Wilson intervals are recorded for every condition; all zero-rate upper 95% bounds are 0.025984,"Absolute recovery differences versus the raw-transmission unmodified baseline range from -1.000000 to 0; the declared truncation cell had difference 0 while Markdown, paraphrase, and cross-model decode had difference -1.000000",secondary,results/revision_v1/final_experiment_package/robustness/recovery_by_condition.csv; results/revision_v1/final_experiment_package/robustness/failure_mechanism_summary.csv,Failure-mechanism labels are descriptive first-divergence categories rather than causal proof.
F008_PERTURBATION_COVERAGE,Requested perturbation coverage,Post-audit crosswalk from 11 requested transformation classes to frozen conditions,11 requested transformation classes,"5 directly tested, 3 partially represented, and 3 not tested",Design-coverage inventory; no sampling interval,Not applicable; coverage classification,diagnostic,results/revision_v1/final_experiment_package/robustness/perturbation_coverage_inventory.csv,"Arbitrary prefix/suffix, case conversion, and isolated punctuation changes have no frozen estimate; line wrapping, email quoting, and sentence-boundary changes are only partial proxies."
F009_AUTOMATED_READABILITY,Automated readability,Balanced selected English computational stimuli; prompt-template clustered bootstrap,72 complete-message stimuli per available condition; 18 prompt-template units,Flesch heuristic mean 61.940597 for ordinary controls and 60.551834 for segmented full messages,"95% prompt-template bootstrap CIs [54.897042, 68.143167] and [56.873661, 64.135677]",Descriptive raw mean difference segmented full minus ordinary: -1.388763,supporting,results/revision_v1/final_experiment_package/readability/selected_stimulus_readability_summary.csv,English surface heuristics are not human judgments and were not applied as cross-language quality measures.
F010_LEADIN_ABLATION,Lead-in length ablation,32 lead-in tokens versus the canonical configuration; payload-paired post-outcome extraction,48 paired payload groups across 3 model families,Mean log probability difference -1.652327; full-token-count difference +159.590278,"95% payload-bootstrap CIs [-1.749091, -1.553103] and [125.829861, 191.030035]; Holm p=1.03e-32 and 2.44e-11",Hedges g -4.569807 for log probability and 1.322357 for full-token count,exploratory,results/revision_v1/final_experiment_package/statistics/ablation_analysis/ablation_canonical_contrasts.csv,The compact contrast selection was specified after outcomes were available.
F011_SEGMENT_ABLATION,Segmentation ablation,32-rank segments versus the canonical 8-rank configuration; payload-paired post-outcome extraction,48 paired payload groups across 3 model families,Effective artifact-rate difference +1.231461 bits per full token; full-token-count difference -174.500000,"95% payload-bootstrap CIs [1.073116, 1.388188] and [-208.405035, -140.573264]; Holm p=3.72e-19 and 2.45e-12",Hedges g 2.208408 and -1.427389,exploratory,results/revision_v1/final_experiment_package/statistics/ablation_analysis/ablation_canonical_contrasts.csv,The compact contrast selection was specified after outcomes were available.
F012_FILTER_ABLATION,Token-filter ablation,No filter versus the canonical filter; payload-paired post-outcome extraction,48 paired payload groups across 3 model families,Mean log-probability difference -0.001802 and effective-rate difference -0.062969 bits per full token,"95% CIs [-0.037744, 0.035390] and [-0.134265, 0.007651]; Holm p=0.9236 and 0.3488",Both intervals include zero; selected contrasts do not support a directional effect,exploratory,results/revision_v1/final_experiment_package/statistics/ablation_analysis/ablation_canonical_contrasts.csv,The round-trip-stable filter cell is available for only two model families; 48 Mistral work units are declared unavailable.
F013_TAIL_ABLATION,Tail-policy ablation,No tail and fixed sentence tail versus dynamic semantic stopping,48 paired payload groups across 3 model families,No-tail effective-rate difference +3.171551 and full-token difference -254.951389; fixed-tail full-token difference -65.708333,"95% CIs [3.094005, 3.244380], [-292.821007, -219.249479], and [-92.590451, -40.372917]; Holm p=2.51e-51, 1.34e-16, and 6.57e-5","Hedges g 11.634803, -1.899821, and -0.691310",exploratory,results/revision_v1/final_experiment_package/statistics/ablation_analysis/ablation_canonical_contrasts.csv,The no-tail rate gain removes natural-language tail overhead and is not itself a cover-quality improvement.
F014_CAPACITY_QUALITY_THEORY,Capacity-quality theory validation,"Observed primary, ablation, and multilingual record traces under declared rank and quality bounds","17,424 records; 7,008 capacity-evaluable and fully quality-bound records","0 forced-position residual violations, 0 rate-bound failures, 0 quality-bound failures; 2,976 positive cover-length residuals","Payload-bootstrap summaries use 2,000 resamples where estimable",Residual counts directly quantify agreement and tail/cover overhead,supporting,results/revision_v1/final_experiment_package/theory/theory_empirical_summary.csv; results/revision_v1/final_experiment_package/theory/TECHNICAL_NOTE.md,No saved trace contains the complete encoder-decoder cascade needed to directly confirm the full exact-recovery proposition.
F015_GENERATION_OVERHEAD,Computational overhead,Primary model-by-protocol payload-grouped saved runtime measurements,"12,144 matched trial-runtime rows; 480 or 240 payload groups per model-protocol cell",Mean generation 1.674368-16.087628 s; payload throughput 13.631855-100.851772 bits/s; effective rate 0.710004-7.322003 bits/full token,"95% payload-bootstrap intervals with 2,000 resamples are recorded per cell","Observed maximum/minimum ratios: 9.61x generation time, 7.40x payload throughput, and 10.31x effective rate",supporting,results/revision_v1/final_experiment_package/overhead/overhead_summary.csv,CPU time and repeated warm-up microbenchmarks were not recorded; wrapper components are inclusive rather than perfectly isolated.
F016_CUDA_BENCHMARKS,Detector CUDA benchmark and repeatability gate,One matched-split fit and one same-device fixed-seed repeat for each architecture,"2 architectures; 3,960 ordered test predictions per repeat pair","TextCNN wall 91.358113 s, training 9.497936 s, peak VRAM 306,247,680 bytes; DeBERTa wall 1,536.660910 s, training 1,425.063414 s, peak VRAM 6,380,851,200 bytes",Exact repeat checks passed with maximum score difference 0 for both architectures,DeBERTa/TextCNN training-time ratio 150.04x for the representative matched fit,diagnostic,results/revision_v1/final_experiment_package/overhead/detector_cuda_benchmark_summary.csv,"This establishes same-device CUDA repeatability, not CPU/GPU equivalence or broad hardware reproducibility."
F017_HUMAN_STATUS,Human-evaluation status,Blinded computational stimulus preparation only,504 selected computational stimuli; 0 participant rows; 0 rating rows,Human outcomes not estimated; recruitment not authorized; survey not deployed,No human estimate or interval exists,Not applicable; uncollected external gate,external_gate,results/revision_v1/final_experiment_package/readability/human_evaluation_status.json,Automated metrics are explicitly not substitutes for human ratings.
F018_DETECTOR_LEAKAGE_AUDIT,Detector split and near-duplicate audit,28 frozen splits; exact identity checks plus declared 0.95 lexical cosine diagnostic,"15,840 corpus rows; 7,920 pairs; 480 payload groups; 28 splits","All exact leakage checks passed; 53 near-duplicate pairs, 44 cross-payload, 16 affected splits, and 79 cross-partition pair occurrences",Exhaustive deterministic diagnostic at the declared threshold; no sampling interval,34 affected test-row occurrences and 32 affected test-payload occurrences across splits,diagnostic,results/revision_v1/final_experiment_package/detectors/leakage_audit/detector_leakage_audit_manifest.json,The threshold is a lexical diagnostic rather than a universal semantic-near-duplicate definition; affected detector results require sensitivity analysis.
F019_HUMAN_PLANNING_ONLY,Uncollected human-evaluation planning artifacts,Draft English seven-scale 1-to-7 instrument and simulation-only clustered rating design grid,"7 proposed rating scales; 15 planning scenarios with 2,000 simulations each; 0 participants; 0 ratings","For the declared odds-ratio 1.5 typical-heterogeneity scenario, rejection probability was 0.4035 at 72 stimuli per condition with 3 ratings and 0.8315 at 120 stimuli per condition with 5 ratings; the odds-ratio 1.25 scenario at 240 by 5 was 0.5830","Monte Carlo standard errors 0.010970, 0.008370, and 0.011025 for the three cited planning scenarios",Planning assumptions only; no observed human effect size exists,external_gate,human_study/survey/instrument.json; human_study/power/planning_power_design_grid.csv; results/revision_v1/final_experiment_package/readability/human_evaluation_status.json,"The instrument is DRAFT_NOT_IRB_APPROVED, the computational panel is not a recruited sample, and the draft Llama-family label does not match the executed model identity."
F020_NEURAL_DETECTOR_CORE,Frozen neural-steganalysis matrix,"TextCNN-equivalent and DeBERTa-v3-base classifiers across matched, 18 held-out-template, 3 leave-one-model, and 6 leave-one-codec splits","56/56 fits; 55,440 saved prediction rows; matched test set 3,960 rows in 120 payload groups per architecture",Matched ROC-AUC was 0.990190 for TextCNN and 0.999834 for DeBERTa; matched balanced accuracy was 0.951010 and 0.991919,"Frozen 2,000-resample payload-group bootstrap 95% CIs: ROC-AUC [0.987740, 0.992682] and [0.999696, 0.999939]; balanced accuracy [0.943456, 0.958466] and [0.987654, 0.995665]",Descriptive DeBERTa-minus-TextCNN matched differences were +0.009644 ROC-AUC and +0.040909 balanced accuracy,confirmatory,results/revision_v1/final_experiment_package/detectors/analysis/detector_extended_metrics.csv; results/revision_v1/final_experiment_package/detectors/detector_reference_manifest.json,High distinguishability is adverse for steganographic security; 16 frozen splits also contain declared-threshold lexical near-duplicate overlap.
