artifact_id,artifact,classification,rationale,source_data,generation_command
A001_PRIMARY_RECOVERY,Primary exact-recovery endpoint table,core evidence,Frozen primary recovery endpoint and grouped sensitivities,results/revision_v1/final_experiment_package/tables/primary_recovery/primary_recovery_endpoints.csv,scripts/build_revision_primary_endpoint.py
A002_ROBUSTNESS_RECOVERY,Transmission recovery and failure taxonomy,core evidence,Direct evidence for the exact-copy limitation,results/revision_v1/final_experiment_package/robustness/recovery_by_condition.csv,scripts/build_revision_robustness.py
A003_ABLATIONS,Ablation contrast source table,supporting evidence,"Quantifies lead-in, segmentation, filter, and tail-policy outcomes with multiplicity control",results/revision_v1/final_experiment_package/statistics/ablation_analysis/ablation_canonical_contrasts.csv,scripts/build_revision_ablation_evidence.py
A004_MULTILINGUAL,Multilingual recovery endpoint table,supporting evidence,Secondary Spanish and Simplified Chinese exact-recovery evidence,results/revision_v1/final_experiment_package/tables/multilingual_recovery/multilingual_recovery_endpoints.csv,scripts/build_revision_multilingual_endpoint.py
A005_READABILITY,Automated readability and blinded stimulus package,supporting evidence,Automated surface diagnostics with explicit zero-human-data status,results/revision_v1/final_experiment_package/readability/selected_stimulus_readability_summary.csv,scripts/build_revision_readability.py
A006_THEORY,Capacity-quality technical note and residual source data,supporting evidence,Formal assumptions and empirical residual checks,results/revision_v1/final_experiment_package/theory/theory_empirical_summary.csv,scripts/build_revision_theory_empirical.py
A007_OVERHEAD,Generation and decoding overhead source tables,supporting evidence,"Payload-grouped timing, throughput, and declared measurement limitations",results/revision_v1/final_experiment_package/overhead/overhead_summary.csv,scripts/build_revision_overhead.py
A008_DETECTOR_BENCHMARK,CUDA detector phase-timing and reproducibility table,diagnostic evidence,"Budget gate, phase overhead, VRAM, and same-device repeatability",results/revision_v1/final_experiment_package/overhead/detector_cuda_benchmark_summary.csv,scripts/build_revision_detector_benchmarks.py
A009_LEAKAGE_AUDIT,Detector exact-identity and near-duplicate leakage audit,diagnostic evidence,Adverse post-audit overlap evidence that constrains detector interpretation,results/revision_v1/final_experiment_package/detectors/leakage_audit/split_leakage_summary.csv,scripts/build_revision_detector_leakage_audit.py
A010_HUMAN_UNRESOLVED,Human-evaluation uncollected status,unresolved,Prevents automated stimuli or metrics from being represented as participant evidence,results/revision_v1/final_experiment_package/readability/human_evaluation_status.json,scripts/build_revision_readability.py
A011_NEURAL_DETECTOR_PERFORMANCE,Frozen neural-detector performance and grouped intervals,core evidence,Direct adverse evidence for neural detectability across matched and held-out regimes,results/revision_v1/final_experiment_package/detectors/analysis/detector_extended_metrics.csv,scripts/build_revision_detector_analysis.py
A012_LOCKED_MIXED_MODELS,"Locked mixed-model coefficients, contrasts, and diagnostics",supporting evidence,"Prespecified grouped inference with convergence, separation, dispersion, multiplicity, and singular-fit records",results/revision_v1/final_experiment_package/statistics/mixed_models/mixed_model_contrasts.csv,scripts/run_revision_mixed_models.R
A013_TOPIC_EFFECTS,Locked topic-schedule contrast extraction,diagnostic evidence,Compact post-outcome topic-effect grid preserving locked estimates and Holm adjustments,results/revision_v1/final_experiment_package/statistics/topic_effects/topic_schedule_contrasts.csv,scripts/build_revision_topic_effects.py
A014_GPU_AND_PROGRESS,Sealed work-unit and GPU-accounting ledger,diagnostic evidence,"Final 38,504-unit completion and cumulative GPU ceiling reconciliation",results/revision_v1/final_progress_snapshot_v1.json,scripts/update_revision_progress.py
A015_ROBUSTNESS_FIGURE,Transmission and replay perturbation outcome figure,core evidence,"Displays favorable, intermediate, adverse, unavailable, replay-mode, mitigation, and cross-model recovery evidence without pooling distinct channels",results/revision_v1/final_experiment_package/figures/robustness_figure_source.csv,scripts/build_revision_figures.py
A016_READABILITY_FIGURE,Automated surface-diagnostic figure,supporting evidence,Shows prompt-clustered automated heuristics while labeling them as non-human diagnostics,results/revision_v1/final_experiment_package/figures/readability_figure_source.csv,scripts/build_revision_figures.py
A017_THEORY_FIGURE,Capacity prediction and cover-length overhead figure,supporting evidence,Compares exact forced-position predictions with empirical observations and exposes segmentation/tail overhead,results/revision_v1/final_experiment_package/figures/theory_figure_source.csv,scripts/build_revision_figures.py
A018_OVERHEAD_FIGURE,Computational timing and throughput figure,supporting evidence,"Displays payload-clustered generation, encoding, supported decoding, and throughput measurements with measurement scopes separated",results/revision_v1/final_experiment_package/figures/overhead_figure_source.csv,scripts/build_revision_figures.py
A019_NEURAL_DETECTOR_FIGURE,Neural-detector performance figure,core evidence,"Displays adverse matched performance, held-out-regime ranges, exploratory supplementary metrics, and near-duplicate sensitivity with interval types labeled separately",results/revision_v1/final_experiment_package/figures/detector_figure_source.csv,scripts/build_revision_figures.py
