robustness_family,replay_mode,transformation_id,failure_mechanism,failure_rows,source_cover_units,payload_units,recovered_rank_out_of_bound_rows,token_length_changed_rows,rank_length_changed_rows,first_difference_recorded_rows,first_difference_median,first_difference_q25,first_difference_q75,first_difference_max,mechanism_scope
cross_model_mismatch,cross_model_text_retokenized,unmodified,model_or_tokenizer_identity_mismatch,288,144,48,209,0,0,288,0.0,0.0,0.0,2.0,descriptive_first_divergence_not_causal_proof
limited_mitigation,canonicalized_text_retokenized,line_endings,whitespace_or_markup_tokenization_divergence,96,96,48,96,0,0,96,0.0,0.0,0.0,0.0,descriptive_first_divergence_not_causal_proof
limited_mitigation,canonicalized_text_retokenized,markdown_copy_paste,whitespace_or_markup_tokenization_divergence,96,96,48,0,0,96,96,0.0,0.0,0.0,0.0,descriptive_first_divergence_not_causal_proof
limited_mitigation,canonicalized_text_retokenized,quote_conversion,quotation_tokenization_divergence,96,96,48,96,0,0,96,0.0,0.0,0.0,3.0,descriptive_first_divergence_not_causal_proof
limited_mitigation,canonicalized_text_retokenized,unicode_normalization,unicode_normalization_tokenization_divergence,96,96,48,96,0,0,96,0.0,0.0,0.0,0.0,descriptive_first_divergence_not_causal_proof
limited_mitigation,canonicalized_text_retokenized,whitespace_collapse,whitespace_or_markup_tokenization_divergence,96,96,48,90,0,0,96,0.0,0.0,0.0,5.0,descriptive_first_divergence_not_causal_proof
limited_mitigation,canonicalized_text_retokenized,whitespace_trim,whitespace_or_markup_tokenization_divergence,96,96,48,96,0,0,96,0.0,0.0,0.0,0.0,descriptive_first_divergence_not_causal_proof
raw_transmission,transformed_text_retokenized,character_deletion,content_edit_tokenization_divergence,126,126,48,109,0,0,126,1.0,0.0,4.0,7.0,descriptive_first_divergence_not_causal_proof
raw_transmission,transformed_text_retokenized,character_insertion,content_edit_tokenization_divergence,126,126,48,113,0,0,126,1.0,0.0,4.75,7.0,descriptive_first_divergence_not_causal_proof
raw_transmission,transformed_text_retokenized,character_substitution,content_edit_tokenization_divergence,128,128,48,117,0,0,128,2.0,0.0,5.0,7.0,descriptive_first_divergence_not_causal_proof
raw_transmission,transformed_text_retokenized,line_endings,whitespace_or_markup_tokenization_divergence,128,128,48,36,0,82,128,0.0,0.0,0.0,7.0,descriptive_first_divergence_not_causal_proof
raw_transmission,transformed_text_retokenized,markdown_copy_paste,whitespace_or_markup_tokenization_divergence,144,144,48,0,0,144,144,0.0,0.0,0.0,0.0,descriptive_first_divergence_not_causal_proof
raw_transmission,transformed_text_retokenized,paraphrase,semantic_rewrite_divergence,144,144,48,111,0,1,144,0.0,0.0,0.0,1.0,descriptive_first_divergence_not_causal_proof
raw_transmission,transformed_text_retokenized,quote_conversion,quotation_tokenization_divergence,88,88,48,66,0,0,88,0.0,0.0,2.25,7.0,descriptive_first_divergence_not_causal_proof
raw_transmission,transformed_text_retokenized,token_deletion,content_edit_tokenization_divergence,110,110,46,97,0,0,110,4.0,2.0,6.0,7.0,descriptive_first_divergence_not_causal_proof
raw_transmission,transformed_text_retokenized,unicode_normalization,unicode_normalization_tokenization_divergence,62,62,48,44,0,0,62,0.0,0.0,0.0,6.0,descriptive_first_divergence_not_causal_proof
raw_transmission,transformed_text_retokenized,whitespace_collapse,whitespace_or_markup_tokenization_divergence,123,123,48,108,0,0,123,0.0,0.0,0.0,7.0,descriptive_first_divergence_not_causal_proof
raw_transmission,transformed_text_retokenized,whitespace_trim,whitespace_or_markup_tokenization_divergence,116,116,48,110,0,0,116,0.0,0.0,0.0,6.0,descriptive_first_divergence_not_causal_proof
replay_modes,detokenized_text_retokenized,unmodified,detokenization_retokenization_divergence,56,56,48,5,0,0,56,0.0,0.0,0.0,7.0,descriptive_first_divergence_not_causal_proof
