robustness_family,replay_mode,transformation_id,observed_outcome_rows,unavailable_rows,planned_rows,source_cover_units,success_outcome_rows,failure_outcome_rows,row_level_recovery_rate,unavailable_not_counted_as_failure,analysis_unit,confidence_level,interval_method,status,recovery_rate,ci_low,ci_high,source_cover_success_units,bootstrap_resamples_requested,bootstrap_resamples_valid,outcome_rows_per_source_cover
cross_model_mismatch,cross_model_text_retokenized,unmodified,288,0,288,144,0,288,0.0,True,source_trial_id,0.95,source_cover_wilson,observed,0.0,0.0,0.025983637143036732,0,0,0,2.0
limited_mitigation,canonicalized_text_retokenized,line_endings,96,48,144,96,0,96,0.0,True,source_trial_id,0.95,source_cover_wilson,observed_with_partial_unavailability,0.0,0.0,0.038475587857675665,0,0,0,1.0
limited_mitigation,canonicalized_text_retokenized,markdown_copy_paste,96,48,144,96,0,96,0.0,True,source_trial_id,0.95,source_cover_wilson,observed_with_partial_unavailability,0.0,0.0,0.038475587857675665,0,0,0,1.0
limited_mitigation,canonicalized_text_retokenized,quote_conversion,96,48,144,96,0,96,0.0,True,source_trial_id,0.95,source_cover_wilson,observed_with_partial_unavailability,0.0,0.0,0.038475587857675665,0,0,0,1.0
limited_mitigation,canonicalized_text_retokenized,unicode_normalization,96,48,144,96,0,96,0.0,True,source_trial_id,0.95,source_cover_wilson,observed_with_partial_unavailability,0.0,0.0,0.038475587857675665,0,0,0,1.0
limited_mitigation,canonicalized_text_retokenized,unmodified,96,48,144,96,96,0,1.0,True,source_trial_id,0.95,source_cover_wilson,observed_with_partial_unavailability,1.0,0.9615244121423244,1.0,96,0,0,1.0
limited_mitigation,canonicalized_text_retokenized,whitespace_collapse,96,48,144,96,0,96,0.0,True,source_trial_id,0.95,source_cover_wilson,observed_with_partial_unavailability,0.0,0.0,0.038475587857675665,0,0,0,1.0
limited_mitigation,canonicalized_text_retokenized,whitespace_trim,96,48,144,96,0,96,0.0,True,source_trial_id,0.95,source_cover_wilson,observed_with_partial_unavailability,0.0,0.0,0.038475587857675665,0,0,0,1.0
raw_transmission,transformed_text_retokenized,character_deletion,144,0,144,144,18,126,0.125,True,source_trial_id,0.95,source_cover_wilson,observed,0.125,0.08055066143257411,0.18893706642470345,18,0,0,1.0
raw_transmission,transformed_text_retokenized,character_insertion,144,0,144,144,18,126,0.125,True,source_trial_id,0.95,source_cover_wilson,observed,0.125,0.08055066143257411,0.18893706642470345,18,0,0,1.0
raw_transmission,transformed_text_retokenized,character_substitution,144,0,144,144,16,128,0.1111111111111111,True,source_trial_id,0.95,source_cover_wilson,observed,0.1111111111111111,0.06955938710096812,0.17287233067694932,16,0,0,1.0
raw_transmission,transformed_text_retokenized,line_endings,144,0,144,144,16,128,0.1111111111111111,True,source_trial_id,0.95,source_cover_wilson,observed,0.1111111111111111,0.06955938710096812,0.17287233067694932,16,0,0,1.0
raw_transmission,transformed_text_retokenized,markdown_copy_paste,144,0,144,144,0,144,0.0,True,source_trial_id,0.95,source_cover_wilson,observed,0.0,0.0,0.025983637143036732,0,0,0,1.0
raw_transmission,transformed_text_retokenized,paraphrase,144,0,144,144,0,144,0.0,True,source_trial_id,0.95,source_cover_wilson,observed,0.0,0.0,0.025983637143036732,0,0,0,1.0
raw_transmission,transformed_text_retokenized,quote_conversion,144,0,144,144,56,88,0.3888888888888889,True,source_trial_id,0.95,source_cover_wilson,observed,0.3888888888888889,0.31314098769308374,0.4704109316720355,56,0,0,1.0
raw_transmission,transformed_text_retokenized,token_deletion,144,0,144,144,34,110,0.2361111111111111,True,source_trial_id,0.95,source_cover_wilson,observed,0.2361111111111111,0.1741675163392711,0.31176829215288715,34,0,0,1.0
raw_transmission,transformed_text_retokenized,truncation,144,0,144,144,144,0,1.0,True,source_trial_id,0.95,source_cover_wilson,observed,1.0,0.9740163628569631,0.9999999999999998,144,0,0,1.0
raw_transmission,transformed_text_retokenized,unicode_normalization,144,0,144,144,82,62,0.5694444444444444,True,source_trial_id,0.95,source_cover_wilson,observed,0.5694444444444444,0.4878035778670699,0.6474764725297305,82,0,0,1.0
raw_transmission,transformed_text_retokenized,unmodified,144,0,144,144,144,0,1.0,True,source_trial_id,0.95,source_cover_wilson,observed,1.0,0.9740163628569631,0.9999999999999998,144,0,0,1.0
raw_transmission,transformed_text_retokenized,whitespace_collapse,144,0,144,144,21,123,0.14583333333333334,True,source_trial_id,0.95,source_cover_wilson,observed,0.14583333333333334,0.0974045975903624,0.21266714538595533,21,0,0,1.0
raw_transmission,transformed_text_retokenized,whitespace_trim,144,0,144,144,28,116,0.19444444444444445,True,source_trial_id,0.95,source_cover_wilson,observed,0.19444444444444445,0.13809545597740952,0.2666723222766685,28,0,0,1.0
replay_modes,detokenized_text_retokenized,unmodified,144,0,144,144,88,56,0.6111111111111112,True,source_trial_id,0.95,source_cover_wilson,observed,0.6111111111111112,0.5295890683279645,0.6868590123069163,88,0,0,1.0
replay_modes,greedy_leadin_regeneration,unmodified,144,0,144,144,144,0,1.0,True,source_trial_id,0.95,source_cover_wilson,observed,1.0,0.9740163628569631,0.9999999999999998,144,0,0,1.0
replay_modes,saved_token_ids,unmodified,144,0,144,144,144,0,1.0,True,source_trial_id,0.95,source_cover_wilson,observed,1.0,0.9740163628569631,0.9999999999999998,144,0,0,1.0
