request_id,requested_transformation,coverage_status,frozen_transformation_ids,tested_condition_count,observed_outcome_rows_across_conditions,success_rows_across_conditions,failure_rows_across_conditions,unavailable_rows_across_conditions,minimum_condition_recovery_rate,maximum_condition_recovery_rate,analysis_unit,scope_note,limitation
whitespace_changes,Whitespace changes,directly_tested,line_endings;whitespace_trim;whitespace_collapse,3,432,65,367,0,0.1111111111111111,0.1944444444444444,source_trial_id,Three separately controlled whitespace operations were tested.,The aggregate spans distinct conditions and is not a pooled recovery estimand.
line_wrapping,Line wrapping,partially_represented,line_endings,1,144,16,128,0,0.1111111111111111,0.1111111111111111,source_trial_id,LF-to-CRLF line-ending conversion was tested.,No controlled insertion or reflow of visual line wraps was tested.
leading_trailing_whitespace,Leading or trailing whitespace,directly_tested,whitespace_trim,1,144,28,116,0,0.1944444444444444,0.1944444444444444,source_trial_id,Leading and trailing whitespace removal per message was tested.,Whitespace addition was not separately tested.
unicode_normalization,Unicode normalization,directly_tested,unicode_normalization,1,144,82,62,0,0.5694444444444444,0.5694444444444444,source_trial_id,Unicode NFKC normalization was tested.,Other normalization forms were not separately tested.
quotation_marks,Smart versus straight quotation marks,directly_tested,quote_conversion,1,144,56,88,0,0.3888888888888889,0.3888888888888889,source_trial_id,Straight quotes were deterministically converted to directional smart quotes.,The reverse direction and locale-specific quotation systems were not separately tested.
punctuation_changes,Punctuation changes,not_tested,,0,0,0,0,0,,,not_estimated,No isolated punctuation-edit condition exists in the frozen design.,Character substitution targeted alphanumeric characters and cannot establish punctuation robustness.
prefix_suffix,Added prefixes or suffixes,not_tested,,0,0,0,0,0,,,not_estimated,No arbitrary prefix or suffix condition exists in the frozen design.,Markdown blockquote markup is not a general prefix/suffix test.
markdown_email_quoting,Markdown or email quoting,partially_represented,markdown_copy_paste,1,144,0,144,0,0.0,0.0,source_trial_id,A Markdown-style blockquote copy/paste transformation was tested.,"Email-client quoting, headers, nesting, and client-specific reflow were not tested."
case_changes,Case changes where relevant,not_tested,,0,0,0,0,0,,,not_estimated,No controlled case transformation exists in the frozen design.,No recovery estimate is available for case conversion.
sentence_boundaries,Sentence boundary changes,partially_represented,paraphrase,1,144,0,144,0,0.0,0.0,source_trial_id,A deterministic broad paraphrase condition could alter sentence structure.,Sentence-boundary edits were not isolated from wording and semantic-rewrite changes.
copy_paste,Copy/paste transformations,directly_tested,markdown_copy_paste,1,144,0,144,0,0.0,0.0,source_trial_id,"A fixed copy/paste pipeline normalized line endings, trimmed trailing space, and prefixed blockquote markup.","This is one deterministic pipeline, not a survey of applications or operating systems."
