split_id,regime,held_out_value,detector_name,requested_kind,implementation_kind,original_test_rows,restricted_test_rows,excluded_test_rows,original_payload_groups,restricted_payload_groups,excluded_payload_groups,affected_split,analysis_unit,confidence_level,bootstrap_resamples_requested,evidence_status,metric,original_estimate,restricted_estimate,restricted_minus_original,restricted_ci_low,restricted_ci_high,bootstrap_resamples_valid,higher_is_better
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,880,864,16,80,79,1,True,payload_group_id,0.95,2000,exploratory_post_partial_checkpoint_leakage_sensitivity,balanced_accuracy,0.9886363636363636,0.9895833333333334,0.0009469696969697239,0.9814794553853635,0.996528770976354,2000,True
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,880,864,16,80,79,1,True,payload_group_id,0.95,2000,exploratory_post_partial_checkpoint_leakage_sensitivity,brier_score,0.007505687000873558,0.006520998754575872,-0.0009846882462976854,0.002239852608936956,0.011677688109292305,2000,False
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,880,864,16,80,79,1,True,payload_group_id,0.95,2000,exploratory_post_partial_checkpoint_leakage_sensitivity,f1,0.9885844748858448,0.9895470383275262,0.000962563441681441,0.9813500170241745,0.9965325864569056,2000,True
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,880,864,16,80,79,1,True,payload_group_id,0.95,2000,exploratory_post_partial_checkpoint_leakage_sensitivity,pr_auc,0.999720587527577,0.9998081917940111,8.760426643417141e-05,0.9994836020072801,0.9999796289373535,2000,True
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,880,864,16,80,79,1,True,payload_group_id,0.95,2000,exploratory_post_partial_checkpoint_leakage_sensitivity,precision,0.9931192660550459,0.993006993006993,-0.00011227304805283556,0.9845132743362832,1.0,2000,True
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,880,864,16,80,79,1,True,payload_group_id,0.95,2000,exploratory_post_partial_checkpoint_leakage_sensitivity,roc_auc,0.9997159090909091,0.9998070987654321,9.118967452292903e-05,0.9994776341501763,0.9999795367858179,2000,True
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,880,864,16,80,79,1,True,payload_group_id,0.95,2000,exploratory_post_partial_checkpoint_leakage_sensitivity,sensitivity,0.9840909090909091,0.9861111111111112,0.002020202020202033,0.9712389380530974,0.9977116704805492,2000,True
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,880,864,16,80,79,1,True,payload_group_id,0.95,2000,exploratory_post_partial_checkpoint_leakage_sensitivity,specificity,0.9931818181818182,0.9930555555555556,-0.00012626262626258544,0.9842899362725356,1.0,2000,True
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,880,864,16,80,79,1,True,payload_group_id,0.95,2000,exploratory_post_partial_checkpoint_leakage_sensitivity,tpr_at_fpr_0.01,0.990909090909091,0.9930555555555556,0.0021464646464646187,0.974025974025974,1.0,2000,True
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,880,864,16,80,79,1,True,payload_group_id,0.95,2000,exploratory_post_partial_checkpoint_leakage_sensitivity,tpr_at_fpr_0.05,1.0,1.0,0.0,1.0,1.0,2000,True
