detector_name,regime,metric,higher_is_better,fit_count,affected_fit_count,excluded_payload_groups_sum_across_splits,original_estimate_median,restricted_estimate_median,restricted_minus_original_median,maximum_absolute_change,cross_split_interval
deberta_v3_base_classifier,held_out_template,balanced_accuracy,True,18,11,20,0.9892045454545455,0.9892454543377952,-3.900561680886261e-05,0.003282522562183643,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,held_out_template,brier_score,False,18,11,20,0.00873994949372866,0.009097530305711806,0.0,0.0025939263254322886,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,held_out_template,f1,True,18,11,20,0.9891506000046968,0.9891547216160772,-3.9910600255432804e-05,0.0033719439971540144,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,held_out_template,pr_auc,True,18,11,20,0.9997234141289668,0.9997515073381904,0.0,0.00016777843163773287,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,held_out_template,precision,True,18,11,20,0.9976958403015582,0.9976635386471452,0.0,0.0022155695736365555,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,held_out_template,roc_auc,True,18,11,20,0.9997184917355373,0.9997452556716666,0.0,0.00016576690517000614,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,held_out_template,sensitivity,True,18,11,20,0.9840909090909091,0.9836434311670161,-7.80112336176697e-05,0.00444089808496595,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,held_out_template,specificity,True,18,11,20,0.9977272727272727,0.9977115626309174,0.0,0.002124147039401225,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,held_out_template,tpr_at_fpr_0.01,True,18,11,20,0.9943181818181819,0.9941696015848558,0.0,0.0039511336121506035,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,held_out_template,tpr_at_fpr_0.05,True,18,11,20,1.0,1.0,0.0,0.00029716046665206886,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_codec,balanced_accuracy,True,6,4,9,0.9729166666666667,0.9725095785440613,-0.00011359170841929167,0.0008141762452108514,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_codec,brier_score,False,6,4,9,0.023702111222599496,0.02411776378021996,9.303277237018658e-05,0.0006631728029212504,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_codec,f1,True,6,4,9,0.9721839500904306,0.9717590430388481,-0.00011473379071574863,0.0008498141031648698,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_codec,pr_auc,True,6,4,9,0.9994518631039768,0.999436219494602,0.0,2.5507718836248472e-05,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_codec,precision,True,6,4,9,1.0,1.0,0.0,0.00010445227836541893,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_codec,roc_auc,True,6,4,9,0.9994251543209877,0.9994086957683461,0.0,2.6652941090055116e-05,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_codec,sensitivity,True,6,4,9,0.9472222222222222,0.9464559386973179,-0.00022718341683858334,0.0015325670498085309,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_codec,specificity,True,6,4,9,1.0,1.0,0.0,9.578544061306093e-05,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_codec,tpr_at_fpr_0.01,True,6,4,9,0.9958333333333333,0.9957140074030781,0.0,0.00019157088122612187,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_codec,tpr_at_fpr_0.05,True,6,4,9,0.9972222222222222,0.9958097928436911,0.0,0.0028248587570621764,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_model,balanced_accuracy,True,3,0,0,0.9734848484848485,0.9734848484848485,0.0,0.0,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_model,brier_score,False,3,0,0,0.021725893215228748,0.021725893215228748,0.0,0.0,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_model,f1,True,3,0,0,0.9727626459143969,0.9727626459143969,0.0,0.0,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_model,pr_auc,True,3,0,0,0.9994917131695394,0.9994917131695394,0.0,0.0,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_model,precision,True,3,0,0,1.0,1.0,0.0,0.0,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_model,roc_auc,True,3,0,0,0.999451331496786,0.999451331496786,0.0,0.0,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_model,sensitivity,True,3,0,0,0.946969696969697,0.946969696969697,0.0,0.0,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_model,specificity,True,3,0,0,1.0,1.0,0.0,0.0,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_model,tpr_at_fpr_0.01,True,3,0,0,0.9924242424242424,0.9924242424242424,0.0,0.0,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_model,tpr_at_fpr_0.05,True,3,0,0,0.996969696969697,0.996969696969697,0.0,0.0,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,matched,balanced_accuracy,True,1,1,3,0.9919191919191919,0.9918763102725368,-4.288164665511296e-05,4.288164665511296e-05,not_computed_heterogeneous_prespecified_splits
