source_trial_id,model_id,arm,segment_index,source_and_observed_text_equal,source_and_observed_full_ids_equal,source_and_observed_forced_ids_equal,first_token_difference,first_rank_difference_or_missing,rank_recovery_error,exact_ranks
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,prefix_only,0,False,False,False,0,0,target token 29 is not allowed by the token filter,False
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,prefix_only,1,False,False,False,0,0,target token 29 is not allowed by the token filter,False
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,prefix_only,2,False,False,False,0,0,target token 29 is not allowed by the token filter,False
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,prefix_only,3,False,False,False,0,0,target token 29 is not allowed by the token filter,False
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,prefix_only,4,False,False,False,0,0,target token 29 is not allowed by the token filter,False
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,prefix_only,5,False,False,False,0,0,target token 29 is not allowed by the token filter,False
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,prefix_only,6,False,False,False,0,0,ValueError: target token 29 is not allowed by the token filter,False
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,prefix_only,7,False,False,False,0,0,ValueError: target token 29 is not allowed by the token filter,False
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,outer_trim_only,0,False,False,False,0,0,,False
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,outer_trim_only,1,False,False,False,0,0,,False
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,outer_trim_only,2,False,False,False,0,0,,False
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,outer_trim_only,3,False,False,False,0,0,,False
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,outer_trim_only,4,False,False,False,0,0,,False
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,outer_trim_only,5,False,False,False,0,0,,False
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,outer_trim_only,6,True,True,True,,,,True
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,outer_trim_only,7,True,True,True,,,,True
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,trailing_trim_only,0,True,True,True,,,,True
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,trailing_trim_only,1,True,True,True,,,,True
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,trailing_trim_only,2,True,True,True,,,,True
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,trailing_trim_only,3,True,True,True,,,,True
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,trailing_trim_only,4,True,True,True,,,,True
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,trailing_trim_only,5,False,False,False,0,0,,False
