cover_id,source_trial_id,model_id,arm,historical_visible_text_success,segment_count,exact_payload_recovery,decode_success
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9__prefix_only,revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,prefix_only,True,8,False,True
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9__outer_trim_only,revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,outer_trim_only,True,8,False,False
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9__trailing_trim_only,revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,trailing_trim_only,True,8,False,False
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9__line_endings_only,revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,line_endings_only,True,8,True,True
revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9__declared_wrapper_removal,revision_v1_primary_v2_payload_fidelity_v2__fccf75a89a2b0cd9f2d9,llama3_8b_instruct_q4_k_m,declared_wrapper_removal,True,8,False,False
revision_v1_primary_v2_payload_fidelity_v2__3d8e737071055655598d__prefix_only,revision_v1_primary_v2_payload_fidelity_v2__3d8e737071055655598d,llama3_8b_instruct_q4_k_m,prefix_only,False,3,False,True
revision_v1_primary_v2_payload_fidelity_v2__3d8e737071055655598d__outer_trim_only,revision_v1_primary_v2_payload_fidelity_v2__3d8e737071055655598d,llama3_8b_instruct_q4_k_m,outer_trim_only,False,3,False,False
revision_v1_primary_v2_payload_fidelity_v2__3d8e737071055655598d__trailing_trim_only,revision_v1_primary_v2_payload_fidelity_v2__3d8e737071055655598d,llama3_8b_instruct_q4_k_m,trailing_trim_only,False,3,False,False
revision_v1_primary_v2_payload_fidelity_v2__3d8e737071055655598d__line_endings_only,revision_v1_primary_v2_payload_fidelity_v2__3d8e737071055655598d,llama3_8b_instruct_q4_k_m,line_endings_only,False,3,False,True
revision_v1_primary_v2_payload_fidelity_v2__3d8e737071055655598d__declared_wrapper_removal,revision_v1_primary_v2_payload_fidelity_v2__3d8e737071055655598d,llama3_8b_instruct_q4_k_m,declared_wrapper_removal,False,3,False,False
revision_v1_primary_v2_payload_fidelity_v2__70422a061f8a57dfacd2__prefix_only,revision_v1_primary_v2_payload_fidelity_v2__70422a061f8a57dfacd2,mistral_7b_instruct_v0_3_q4_k_m,prefix_only,False,4,False,True
revision_v1_primary_v2_payload_fidelity_v2__70422a061f8a57dfacd2__outer_trim_only,revision_v1_primary_v2_payload_fidelity_v2__70422a061f8a57dfacd2,mistral_7b_instruct_v0_3_q4_k_m,outer_trim_only,False,4,True,True
revision_v1_primary_v2_payload_fidelity_v2__70422a061f8a57dfacd2__trailing_trim_only,revision_v1_primary_v2_payload_fidelity_v2__70422a061f8a57dfacd2,mistral_7b_instruct_v0_3_q4_k_m,trailing_trim_only,False,4,False,False
revision_v1_primary_v2_payload_fidelity_v2__70422a061f8a57dfacd2__line_endings_only,revision_v1_primary_v2_payload_fidelity_v2__70422a061f8a57dfacd2,mistral_7b_instruct_v0_3_q4_k_m,line_endings_only,False,4,False,False
revision_v1_primary_v2_payload_fidelity_v2__70422a061f8a57dfacd2__declared_wrapper_removal,revision_v1_primary_v2_payload_fidelity_v2__70422a061f8a57dfacd2,mistral_7b_instruct_v0_3_q4_k_m,declared_wrapper_removal,False,4,True,True
revision_v1_primary_v2_payload_fidelity_v2__dd9522ef99d2c56aaf0b__prefix_only,revision_v1_primary_v2_payload_fidelity_v2__dd9522ef99d2c56aaf0b,qwen2_5_7b_instruct_q4_k_m,prefix_only,True,8,False,True
revision_v1_primary_v2_payload_fidelity_v2__dd9522ef99d2c56aaf0b__outer_trim_only,revision_v1_primary_v2_payload_fidelity_v2__dd9522ef99d2c56aaf0b,qwen2_5_7b_instruct_q4_k_m,outer_trim_only,True,8,False,False
revision_v1_primary_v2_payload_fidelity_v2__dd9522ef99d2c56aaf0b__trailing_trim_only,revision_v1_primary_v2_payload_fidelity_v2__dd9522ef99d2c56aaf0b,qwen2_5_7b_instruct_q4_k_m,trailing_trim_only,True,8,True,True
revision_v1_primary_v2_payload_fidelity_v2__dd9522ef99d2c56aaf0b__line_endings_only,revision_v1_primary_v2_payload_fidelity_v2__dd9522ef99d2c56aaf0b,qwen2_5_7b_instruct_q4_k_m,line_endings_only,True,8,True,True
revision_v1_primary_v2_payload_fidelity_v2__dd9522ef99d2c56aaf0b__declared_wrapper_removal,revision_v1_primary_v2_payload_fidelity_v2__dd9522ef99d2c56aaf0b,qwen2_5_7b_instruct_q4_k_m,declared_wrapper_removal,True,8,False,False
revision_v1_primary_v2_payload_fidelity_v2__cc5e94e0e90374a7d025__prefix_only,revision_v1_primary_v2_payload_fidelity_v2__cc5e94e0e90374a7d025,qwen2_5_7b_instruct_q4_k_m,prefix_only,False,4,False,True
revision_v1_primary_v2_payload_fidelity_v2__cc5e94e0e90374a7d025__outer_trim_only,revision_v1_primary_v2_payload_fidelity_v2__cc5e94e0e90374a7d025,qwen2_5_7b_instruct_q4_k_m,outer_trim_only,False,4,False,False
revision_v1_primary_v2_payload_fidelity_v2__cc5e94e0e90374a7d025__trailing_trim_only,revision_v1_primary_v2_payload_fidelity_v2__cc5e94e0e90374a7d025,qwen2_5_7b_instruct_q4_k_m,trailing_trim_only,False,4,False,False
revision_v1_primary_v2_payload_fidelity_v2__cc5e94e0e90374a7d025__line_endings_only,revision_v1_primary_v2_payload_fidelity_v2__cc5e94e0e90374a7d025,qwen2_5_7b_instruct_q4_k_m,line_endings_only,False,4,False,False
revision_v1_primary_v2_payload_fidelity_v2__cc5e94e0e90374a7d025__declared_wrapper_removal,revision_v1_primary_v2_payload_fidelity_v2__cc5e94e0e90374a7d025,qwen2_5_7b_instruct_q4_k_m,declared_wrapper_removal,False,4,False,False
