name,status,charged_seconds,forecast_seconds,hard_limit_seconds,peak_process_memory_mib,exit_code,started_epoch,finished_epoch
pilot_initial_semantic,completed,8.409441603000232,120.0,600.0,578,0,1790112282.863124,1790112291.2725701
pilot_initial_qwen,completed,71.07383422100065,180.0,900.0,4546,0,1790112358.94788,1790112430.0217197
pilot_initial_mistral,failed,2.0398738389994833,180.0,900.0,0,1,1790112634.294777,1790112636.3346756
pilot_initial_mistral_corrected,completed,71.1970273170009,180.0,900.0,4510,0,1790112668.371683,1790112739.5687141
pilot_initial_llama,completed,69.31685570100126,180.0,900.0,4876,0,1790112815.9807699,1790112885.297631
pilot_amendment1_semantic,completed,6.252344163000089,60.0,180.0,550,0,1790113042.8763685,1790113049.128718
pilot_amendment1_qwen,completed,56.472175754999625,90.0,300.0,4544,0,1790113168.1415677,1790113224.613749
pilot_amendment1_mistral,completed,58.40544548899925,90.0,300.0,4508,0,1790113252.009351,1790113310.414802
pilot_amendment1_llama,completed,54.44870420400002,90.0,300.0,4814,0,1790113335.1676483,1790113389.6163595
transport_llama,completed,20.886840580000353,90.0,300.0,4814,0,1790113591.7318113,1790113612.6186569
transport_mistral,completed,16.659820844000933,90.0,300.0,4508,0,1790113612.8248603,1790113629.484685
transport_qwen,completed,20.85821036299967,90.0,300.0,4544,0,1790113629.6474738,1790113650.5056887
coherence_study_qwen,completed,4877.278519311001,8557.0,8677.0,4544,0,1790113682.887994,1790118560.1665158
coherence_study_mistral,completed,5356.2583262299995,9401.0,9521.0,4508,0,1790118560.3223028,1790123916.5806339
coherence_study_llama,completed,3316.840585615002,5887.0,6007.0,4814,0,1790123916.741029,1790127233.5816166
transport_reuse_check_llama,completed,33.485729503001494,90.0,300.0,4814,0,1790127241.7269833,1790127275.2127168
transport_reuse_check_mistral,completed,18.88010617299733,90.0,300.0,4508,0,1790127275.435463,1790127294.3155715
transport_reuse_check_qwen,completed,29.33965236900258,90.0,300.0,4544,0,1790127294.628321,1790127323.9679754
transport_reuse_check_queue_refusal,not_started_conservative_charge,0.086243987,,,0,1,,
