split_id,regime,detector_name,requested_kind,implementation_kind,held_out_value,analysis_unit,metric_source,bootstrap_unit,bootstrap_resamples_requested,test_payload_groups,roc_auc,roc_auc_bootstrap_valid,roc_auc_ci_low_95,roc_auc_ci_high_95,pr_auc,pr_auc_bootstrap_valid,pr_auc_ci_low_95,pr_auc_ci_high_95,balanced_accuracy,balanced_accuracy_bootstrap_valid,balanced_accuracy_ci_low_95,balanced_accuracy_ci_high_95,f1,f1_bootstrap_valid,f1_ci_low_95,f1_ci_high_95,sensitivity,sensitivity_bootstrap_valid,sensitivity_ci_low_95,sensitivity_ci_high_95,specificity,specificity_bootstrap_valid,specificity_ci_low_95,specificity_ci_high_95
held_out_template:casual_hobby_chat,held_out_template,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,casual_hobby_chat,payload_group,recomputed_from_predictions,payload_group_id,2000,80,0.9997159090909091,2000,0.999298692326542,0.9999634216298381,0.999720587527577,2000,0.9993164483788979,0.9999633997056183,0.9886363636363636,2000,0.9804591454272863,0.9956989247311827,0.9885844748858448,2000,0.9802629668683905,0.995689886911383,0.9840909090909091,2000,0.9681818181818181,0.9956521739130435,0.9931818181818182,2000,0.9851063829787234,1.0
held_out_template:casual_hobby_chat,held_out_template,published_textcnn_equivalent,text_cnn,text_cnn,casual_hobby_chat,payload_group,recomputed_from_predictions,payload_group_id,2000,80,0.9816709710743802,2000,0.9722294948352471,0.9893564968804641,0.9823576193006758,2000,0.9732628900727258,0.9897761742966543,0.9170454545454545,2000,0.8978260869565218,0.9352289438502674,0.9203925845147218,2000,0.9025411718359659,0.9374314522747195,0.9590909090909091,2000,0.9362637362637363,0.9788266253869969,0.875,2000,0.8434782608695652,0.9054975922953451
held_out_template:casual_neighborhood_chat,held_out_template,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,casual_neighborhood_chat,payload_group,recomputed_from_predictions,payload_group_id,2000,80,0.9992303719008264,2000,0.9982900124205335,0.9998572915813805,0.9992550586689719,2000,0.9983629122895699,0.9998599762741649,0.9761363636363636,2000,0.9639455602536998,0.9872129778134189,0.9756662804171494,2000,0.9626995954864807,0.9871073331399869,0.9568181818181818,2000,0.9325842696629213,0.9780279503105589,0.9954545454545455,2000,0.9883720930232558,1.0
held_out_template:casual_neighborhood_chat,held_out_template,published_textcnn_equivalent,text_cnn,text_cnn,casual_neighborhood_chat,payload_group,recomputed_from_predictions,payload_group_id,2000,80,0.9706998966942149,2000,0.958107063799458,0.9818471653159987,0.9640179800593833,2000,0.9460466950833988,0.9806647422720088,0.8602272727272727,2000,0.8344818007662835,0.8857225913621262,0.8751269035532995,2000,0.8546950796950797,0.8959323498549473,0.9795454545454545,2000,0.9648351648351648,0.9914893617021276,0.740909090909091,2000,0.6903172633817795,0.790364314400459
held_out_template:casual_weekend_chat,held_out_template,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,casual_weekend_chat,payload_group,recomputed_from_predictions,payload_group_id,2000,80,0.999896694214876,2000,0.9997135722819593,1.0,0.999896497111289,2000,0.9997130935955537,1.0,0.9897727272727272,2000,0.9829545454545454,0.9957446808510638,0.9896907216494846,2000,0.9826989619377162,0.9957264957264957,0.9818181818181818,2000,0.967816091954023,0.993103448275862,0.9977272727272727,2000,0.9928571428571429,1.0
held_out_template:casual_weekend_chat,held_out_template,published_textcnn_equivalent,text_cnn,text_cnn,casual_weekend_chat,payload_group,recomputed_from_predictions,payload_group_id,2000,80,0.957735020661157,2000,0.9417970429340877,0.971633333578719,0.95696905919746,2000,0.9399780652326787,0.9723441319095864,0.7943181818181818,2000,0.7612493622448979,0.8269662921348315,0.8267942583732057,2000,0.8043228518231884,0.8504859272335,0.9818181818181818,2000,0.9695652173913043,0.9927710843373494,0.6068181818181818,2000,0.5397786946736685,0.6714363354037266
held_out_template:explain_biological_process,held_out_template,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,explain_biological_process,payload_group,recomputed_from_predictions,payload_group_id,2000,80,0.9997210743801653,2000,0.9991179917208587,1.0,0.9997262407303565,2000,0.9991446638071704,1.0,0.9897727272727272,2000,0.9815207326892109,0.996591866700715,0.9896907216494846,2000,0.9812644433485072,0.9965802115698825,0.9818181818181818,2000,0.9659011485826002,0.9952954856361148,0.9977272727272727,2000,0.992854991394148,1.0
held_out_template:explain_biological_process,held_out_template,published_textcnn_equivalent,text_cnn,text_cnn,explain_biological_process,payload_group,recomputed_from_predictions,payload_group_id,2000,80,0.7204209710743802,2000,0.6879980275975387,0.751490413580366,0.6693642318239709,2000,0.6407446360356137,0.6991360354807488,0.5659090909090909,2000,0.5454519027484144,0.5866666666666667,0.6958598726114649,2000,0.6855823126497742,0.7065140515866469,0.9931818181818182,2000,0.9846153846153847,1.0,0.13863636363636364,2000,0.0977259513742072,0.17955120020429005
held_out_template:explain_everyday_system,held_out_template,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,explain_everyday_system,payload_group,recomputed_from_predictions,payload_group_id,2000,80,0.9994886363636364,2000,0.998719961357324,0.9999471676083012,0.9995332088883243,2000,0.9988402019587095,0.9999483405812459,0.9931818181818182,2000,0.9879508142459951,0.9977528089887641,0.9931350114416476,2000,0.9878038606581839,0.9977477477477478,0.9863636363636363,2000,0.97590162849199,0.9955056179775281,1.0,2000,1.0,1.0
held_out_template:explain_everyday_system,held_out_template,published_textcnn_equivalent,text_cnn,text_cnn,explain_everyday_system,payload_group,recomputed_from_predictions,payload_group_id,2000,80,0.9394834710743801,2000,0.9213869926337945,0.9564035470757302,0.9405093061330458,2000,0.9193802618690688,0.9582028217221024,0.7647727272727273,2000,0.7379236188357433,0.7914634146341464,0.8049010367577757,2000,0.7870347285181826,0.8237515577942868,0.9704545454545455,2000,0.9555555555555556,0.9849475806451613,0.5590909090909091,2000,0.5054945054945055,0.6111174242424242
