outcome,factor,level_first,level_second,analysis_unit,comparison_design,n_payloads_first,n_payloads_second,n_payloads_overlap,n_payloads_paired,mean_first,mean_second,mean_difference,mean_difference_ci_low,mean_difference_ci_high,confidence_level,bootstrap_unit,bootstrap_design,bootstrap_resamples,bootstrap_resamples_valid,primary_inference,inference_role,inferential_p_value_supported,replay_mode_scope,transformation_id_scope,mitigation_id_scope,language_scope,representation_name_scope,codec_id_scope,alphabet_size_B_scope,segmented_scope,token_filter_scope,tail_policy_scope,leadin_tokens_scope,evidence_status_scope,study_phase_scope,protocol_contract_revision_scope,result_schema_revision_scope,protocol_contract_revision,result_schema_revision,recovery_outcome,recovery_outcome_semantics,exact_recovery_compatibility_alias,exact_rank_replay_diagnostic_only,effect_type,risk_difference,risk_ratio,odds_ratio_haldane_anscombe,p_value_raw,test,p_value_holm,p_value_bh,model_id_scope,prompt_category_scope,payload_class_scope,hedges_g,topic_schedule_scope,segment_size_ranks_scope,view_scope,protocol_variant_scope
exact_recovery,protocol_variant,direct_subword_calgacus,nonseg_ascii_b16,payload,paired_payload,10,10,10,10,1.0,1.0,0.0,0.0,0.0,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,payload_fidelity_v2,payload_aware_result_v2,exact_payload_recovery,original_serialized_payload_bytes_sha256_v1,True,True,risk_difference,0.0,1.0,1.0,1.0,exact_mcnemar_binomial,1.0,1.0,llama3_8b_instruct_q4_k_m,casual_conversation,aes256_gcm_base64,,,,,
exact_recovery,protocol_variant,direct_subword_calgacus,nonseg_ascii_b8,payload,paired_payload,10,10,10,10,1.0,1.0,0.0,0.0,0.0,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,payload_fidelity_v2,payload_aware_result_v2,exact_payload_recovery,original_serialized_payload_bytes_sha256_v1,True,True,risk_difference,0.0,1.0,1.0,1.0,exact_mcnemar_binomial,1.0,1.0,llama3_8b_instruct_q4_k_m,casual_conversation,aes256_gcm_base64,,,,,
exact_recovery,protocol_variant,nonseg_ascii_b16,nonseg_ascii_b8,payload,paired_payload,10,10,10,10,1.0,1.0,0.0,0.0,0.0,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,payload_fidelity_v2,payload_aware_result_v2,exact_payload_recovery,original_serialized_payload_bytes_sha256_v1,True,True,risk_difference,0.0,1.0,1.0,1.0,exact_mcnemar_binomial,1.0,1.0,llama3_8b_instruct_q4_k_m,casual_conversation,aes256_gcm_base64,,,,,
mean_log_probability,protocol_variant,direct_subword_calgacus,nonseg_ascii_b16,payload,paired_payload,10,10,10,10,-7.362737230395332,-4.089029432891457,-3.2737077975038753,-3.486408218297126,-3.0550083129864563,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,,,,,,,mean_difference,,,,4.010076005035359e-10,paired_t,2.1814813467392354e-06,4.992755682900866e-09,llama3_8b_instruct_q4_k_m,casual_conversation,aes256_gcm_base64,-8.219862385848545,,,,
mean_log_probability,protocol_variant,direct_subword_calgacus,nonseg_ascii_b8,payload,paired_payload,10,10,10,10,-7.362737230395332,-3.375573791717238,-3.987163438678094,-4.238906687665749,-3.735347360925356,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,,,,,,,mean_difference,,,,2.849988244513369e-10,paired_t,1.559228568573264e-06,3.792506771125602e-09,llama3_8b_instruct_q4_k_m,casual_conversation,aes256_gcm_base64,-8.540903720532379,,,,
mean_log_probability,protocol_variant,nonseg_ascii_b16,nonseg_ascii_b8,payload,paired_payload,10,10,10,10,-4.089029432891457,-3.375573791717238,-0.7134556411742188,-0.8413148507244891,-0.5931101452586777,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,,,,,,,mean_difference,,,,2.169498766392053e-06,paired_t,0.010151084727948416,1.0380595230131555e-05,llama3_8b_instruct_q4_k_m,casual_conversation,aes256_gcm_base64,-3.0695677287446834,,,,
effective_payload_rate,protocol_variant,direct_subword_calgacus,nonseg_ascii_b16,payload,paired_payload,10,10,10,10,8.589531115617495,3.0,5.589531115617495,5.243299581481642,5.925975475687102,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,,,,,,,mean_difference,,,,2.5830305340577914e-10,paired_t,1.4144675204500465e-06,3.4797363504368513e-09,llama3_8b_instruct_q4_k_m,casual_conversation,aes256_gcm_base64,8.63562448418361,,,,
effective_payload_rate,protocol_variant,direct_subword_calgacus,nonseg_ascii_b8,payload,paired_payload,10,10,10,10,8.589531115617495,2.245614035087719,6.343917080529776,5.989995623913302,6.6646833574422315,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,,,,,,,mean_difference,,,,8.341893628898933e-11,paired_t,4.6464347512967054e-07,1.429969823806037e-09,llama3_8b_instruct_q4_k_m,casual_conversation,aes256_gcm_base64,9.801123660119636,,,,
effective_payload_rate,protocol_variant,nonseg_ascii_b16,nonseg_ascii_b8,payload,paired_payload,10,10,10,10,3.0,2.245614035087719,0.7543859649122808,0.7543859649122808,0.7543859649122808,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,False,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,,,,,,,mean_difference,,,,,unsupported_paired_t_numerical_degeneracy,,,llama3_8b_instruct_q4_k_m,casual_conversation,aes256_gcm_base64,,,,,
exact_recovery,protocol_variant,direct_subword_calgacus,nonseg_ascii_b16,payload,paired_payload,10,10,10,10,1.0,1.0,0.0,0.0,0.0,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,payload_fidelity_v2,payload_aware_result_v2,exact_payload_recovery,original_serialized_payload_bytes_sha256_v1,True,True,risk_difference,0.0,1.0,1.0,1.0,exact_mcnemar_binomial,1.0,1.0,llama3_8b_instruct_q4_k_m,casual_conversation,chacha20_poly1305_base64,,,,,
