plan_id,model_id,quantization,prompt_category,prompt_template_id,rendered_prompt_sha256,generation_method,random_seed,target_token_count,temperature,top_p,sampler,detector_outcomes_used,status
entropy_calibration__0ad6f74c92567b2773686212,llama3_8b_instruct_q4_k_m,Q4_K_M,personal_narrative_blog,narrative_small_discovery,52964bee279456f2a5a0627b34aa9cd55752c2f072fded95bd1212510c29df6b,ordinary_top_p_clean_development_trace,6118067511631445923,128,0.8,0.95,numpy_pcg64_serial_top_p_v1_token_id_tiebreak,False,planned_new_calibration_trace
entropy_calibration__2aea01aa5d7761231fcfe4d7,llama3_8b_instruct_q4_k_m,Q4_K_M,professional_communication,professional_project_update,7473dd7bb005a55b8394fc662f24a7686ff9933104dd1e6d1a14d1dcc10522ce,ordinary_top_p_clean_development_trace,7189625151551814388,128,0.8,0.95,numpy_pcg64_serial_top_p_v1_token_id_tiebreak,False,planned_new_calibration_trace
entropy_calibration__507890906f9d00aef4434fca,mistral_7b_instruct_v0_3_q4_k_m,Q4_K_M,forum_question_answer,forum_practical_answer,d98f437f192b0cd0887ea5e141d8919e238c6c9b4ad5cb377333b66130f81611,ordinary_top_p_clean_development_trace,8969124976573129420,128,0.8,0.95,numpy_pcg64_serial_top_p_v1_token_id_tiebreak,False,planned_new_calibration_trace
entropy_calibration__6806d05e97be0e7c385f34bb,qwen2_5_7b_instruct_q4_k_m,Q4_K_M,factual_explanatory,explain_weather_pattern,e4b41081f66e808afc61fce64d8f22efda184349e090cf36ca8481e2d845066d,ordinary_top_p_clean_development_trace,5420719009127770345,128,0.8,0.95,numpy_pcg64_serial_top_p_v1_token_id_tiebreak,False,planned_new_calibration_trace
entropy_calibration__765239335d1f183de91ef3d9,qwen2_5_7b_instruct_q4_k_m,Q4_K_M,professional_communication,professional_project_update,7473dd7bb005a55b8394fc662f24a7686ff9933104dd1e6d1a14d1dcc10522ce,ordinary_top_p_clean_development_trace,5907639194774906607,128,0.8,0.95,numpy_pcg64_serial_top_p_v1_token_id_tiebreak,False,planned_new_calibration_trace
entropy_calibration__7869c7fb260042ac39e49711,mistral_7b_instruct_v0_3_q4_k_m,Q4_K_M,personal_narrative_blog,narrative_small_discovery,52964bee279456f2a5a0627b34aa9cd55752c2f072fded95bd1212510c29df6b,ordinary_top_p_clean_development_trace,7206173654338654177,128,0.8,0.95,numpy_pcg64_serial_top_p_v1_token_id_tiebreak,False,planned_new_calibration_trace
entropy_calibration__80bb955db26a545795d0874d,llama3_8b_instruct_q4_k_m,Q4_K_M,recipe_procedure,procedure_simple_meal,be1b76d2087b45f3f44fb7e7106914ce95ad3de94127e8dc6a37dca178b35e82,ordinary_top_p_clean_development_trace,2600332974534561055,128,0.8,0.95,numpy_pcg64_serial_top_p_v1_token_id_tiebreak,False,planned_new_calibration_trace
entropy_calibration__90c588827d71b084d7a8a653,qwen2_5_7b_instruct_q4_k_m,Q4_K_M,personal_narrative_blog,narrative_small_discovery,52964bee279456f2a5a0627b34aa9cd55752c2f072fded95bd1212510c29df6b,ordinary_top_p_clean_development_trace,3922900145087801426,128,0.8,0.95,numpy_pcg64_serial_top_p_v1_token_id_tiebreak,False,planned_new_calibration_trace
entropy_calibration__919a506797cb9b9fa478494d,llama3_8b_instruct_q4_k_m,Q4_K_M,casual_conversation,casual_weekend_chat,ca8e8a8c6b105fb972923900cb2e9cc2b852ae04fd8f7d08451ab1b5d1209bde,ordinary_top_p_clean_development_trace,1173797280591569269,128,0.8,0.95,numpy_pcg64_serial_top_p_v1_token_id_tiebreak,False,planned_new_calibration_trace
entropy_calibration__ae982080f6120e62177f60b3,qwen2_5_7b_instruct_q4_k_m,Q4_K_M,casual_conversation,casual_weekend_chat,ca8e8a8c6b105fb972923900cb2e9cc2b852ae04fd8f7d08451ab1b5d1209bde,ordinary_top_p_clean_development_trace,2568700953782736856,128,0.8,0.95,numpy_pcg64_serial_top_p_v1_token_id_tiebreak,False,planned_new_calibration_trace
