artifact,authoritative_source,generation_command
figures/detector_low_fpr.pdf,source_tables/detector_main_metrics.csv,python scripts/finalize_revision_v3.py
figures/detector_model_family_generalization.pdf,source_tables/detector_main_metrics.csv,python scripts/finalize_revision_v3.py
figures/entropy_gate_capacity_recovery.pdf,source_tables/entropy_generation_summary.csv,.venv/bin/python scripts/analyze_revision_v3_generation.py
figures/entropy_gate_detector_performance.pdf,source_tables/model_backed_detector_subgroups.csv,.venv/bin/python scripts/finalize_revision_v3.py
figures/human_control_false_positives.pdf,source_tables/detector_human_metrics.csv,python scripts/finalize_revision_v3.py
figures/matched_quantization_detector_transfer.pdf,source_tables/model_backed_detector_metrics.csv,.venv/bin/python scripts/finalize_revision_v3.py
figures/matched_quantization_recovery.pdf,source_tables/quantization_generation_summary.csv,.venv/bin/python scripts/analyze_revision_v3_generation.py
figures/matched_quantization_sensitivity.pdf,source_tables/quantization_pair_comparison.csv,.venv/bin/python scripts/analyze_revision_v3_generation.py
figures/topic_conditioned_cover_variability.pdf,source_tables/topic_variability_pairs.csv,python scripts/finalize_revision_v3.py
manuscript_tables/deduplication.tex,deduplication/summary.json,python scripts/finalize_revision_v3.py
manuscript_tables/detector_low_fpr.tex,source_tables/detector_main_metrics.csv,python scripts/finalize_revision_v3.py
manuscript_tables/detector_main.tex,source_tables/detector_main_metrics.csv,python scripts/finalize_revision_v3.py
manuscript_tables/entropy_calibration_thresholds.tex,source_tables/entropy_calibration_thresholds.csv,.venv/bin/python scripts/analyze_revision_v3_generation.py
manuscript_tables/entropy_gate_by_model.tex,source_tables/entropy_generation_summary.csv,.venv/bin/python scripts/analyze_revision_v3_generation.py
manuscript_tables/entropy_gate_detectors.tex,source_tables/model_backed_detector_subgroups.csv,.venv/bin/python scripts/finalize_revision_v3.py
manuscript_tables/entropy_gate_forced_token_distribution.tex,source_tables/entropy_position_summary.csv,.venv/bin/python scripts/analyze_revision_v3_generation.py
manuscript_tables/entropy_gate_generation.tex,source_tables/entropy_generation_summary.csv,.venv/bin/python scripts/analyze_revision_v3_generation.py
manuscript_tables/entropy_gate_paired_changes.tex,source_tables/entropy_paired_difference_summary.csv,.venv/bin/python scripts/analyze_revision_v3_generation.py
manuscript_tables/entropy_gate_quality.tex,source_tables/entropy_rankcloak_control_difference_summary.csv,.venv/bin/python scripts/analyze_revision_v3_generation.py
manuscript_tables/human_controls.tex,source_tables/detector_human_metrics.csv,python scripts/finalize_revision_v3.py
manuscript_tables/matched_quantization_detectors.tex,source_tables/model_backed_detector_metrics.csv,.venv/bin/python scripts/finalize_revision_v3.py
manuscript_tables/matched_quantization_generation.tex,source_tables/quantization_generation_summary.csv;source_tables/quantization_pair_summary.csv,.venv/bin/python scripts/analyze_revision_v3_generation.py
manuscript_tables/recovery_modes.tex,source_tables/recovery_mode_comparison.csv,python scripts/finalize_revision_v3.py
manuscript_tables/topic_variability.tex,metrics/topic_variability_summary.json,python scripts/finalize_revision_v3.py
