row_id,candidate_id,prompt_template_id,word_count,character_count,message_text_sha256,canonical_text_sha256,source_record_id,source_record_sha256,source_category,source_dataset_revision,source_file_sha256,license_identifier,dedup_cluster_id,partition
human-HC-021b0f4686309c2536d69781,HC-021b0f4686309c2536d69781,forum_purchase_advice,145,812,021b0f4686309c2536d6978105bb455c654ee46498ce79491a87cc7387d86d71,b91f8a45d53efbb29b29f4cf8463a147baa2238de1d84b7cf244ddd7ca13a37b,jsonl-line-08853-6bff2168405436db,6bff2168405436dbd19ad481aa621f0ccc7b4031bb989a6eedfe20155937d6d8,open_qa,bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a,2df9083338b4abd6bceb5635764dab5d833b393b55759dffb0959b6fcbf794ec,CC-BY-SA-3.0,human-dedup-cluster-dbfb54c82fb494a897f2f8f1,human_test_only
human-HC-038180638a5bf28e58b63ddf,HC-038180638a5bf28e58b63ddf,procedure_simple_meal,89,487,038180638a5bf28e58b63ddfac517f678184df5cd6c483c39df1fe28f5c6cdf6,6f7aebee5f6fe139dd44d152cd87da1021f3753ac94f6b584835ec3fd194bdd5,jsonl-line-06078-db8ca578219cca33,db8ca578219cca3320b32e5969d5dc46519107c05f35e2b82c137c8b24839920,open_qa,bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a,2df9083338b4abd6bceb5635764dab5d833b393b55759dffb0959b6fcbf794ec,CC-BY-SA-3.0,human-dedup-cluster-7672907f9247cf5ade94547c,human_test_only
human-HC-0431965f909fc3cddd6ce444,HC-0431965f909fc3cddd6ce444,forum_purchase_advice,120,742,0431965f909fc3cddd6ce444cfbbbc8f5f01320e8b44139120cf408e7480d615,46f51ca08b4a5cb695e9af1c15ed25042d3757551d4fbf0101fbca1e2d73bb28,jsonl-line-14062-3ac544c049393829,3ac544c04939382953f0c1ccd1e4529b0ead7a59bd8130a65f9e946b6d44ff32,general_qa,bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a,2df9083338b4abd6bceb5635764dab5d833b393b55759dffb0959b6fcbf794ec,CC-BY-SA-3.0,human-dedup-cluster-4006f8ef80064ecf3825db21,human_test_only
human-HC-046b9118f98d827ad0f1d6ba,HC-046b9118f98d827ad0f1d6ba,explain_weather_pattern,63,367,046b9118f98d827ad0f1d6ba8ad3e46260c100d1650e5b825e234d810f2107b9,75175eaa642baf31da402e867cc238479c04c4ad75396da3f3079da16a86eec1,jsonl-line-06948-1d7deaa403be8ca0,1d7deaa403be8ca061eaad1555ccea0ca2e314d56f10289e7bf2cb01dea1b235,general_qa,bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a,2df9083338b4abd6bceb5635764dab5d833b393b55759dffb0959b6fcbf794ec,CC-BY-SA-3.0,human-dedup-cluster-38ffe47c31dbe948965ce7e6,human_test_only
human-HC-069d238d66a9eeeba9d2d40d,HC-069d238d66a9eeeba9d2d40d,explain_biological_process,191,1218,069d238d66a9eeeba9d2d40deddea112e5c4f2aa4ed02a78b963f2cb68a3b506,f3635b39f6cebf8d681b16cbbdc2cec4d77d1c09980183b7c881675c62cb0a71,jsonl-line-02448-4ddfb0030d97f8f8,4ddfb0030d97f8f892ce58ad0ceae9898002d23c80e7dc42a1ae32e53d540bb4,open_qa,bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a,2df9083338b4abd6bceb5635764dab5d833b393b55759dffb0959b6fcbf794ec,CC-BY-SA-3.0,human-dedup-cluster-e3b65c274ef19d880fae9d0a,human_test_only
human-HC-07b5355dbbd1594e72d2a8fa,HC-07b5355dbbd1594e72d2a8fa,procedure_home_task,214,1200,07b5355dbbd1594e72d2a8fa8384868737688a5e66623d146acd01591fb85d1d,b46acdb820546505df28c60b95230441f0d0d2e445fbcbdc3c7353ce5dfdb8d8,jsonl-line-06209-cfad34c1740086af,cfad34c1740086afa2f0119b23b57bb6245dfbd10fbb7404e83cd804d1e27514,creative_writing,bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a,2df9083338b4abd6bceb5635764dab5d833b393b55759dffb0959b6fcbf794ec,CC-BY-SA-3.0,human-dedup-cluster-2ebcbb70bce5b355adc64b42,human_test_only
human-HC-07daa8dadda9beaddc4a04a0,HC-07daa8dadda9beaddc4a04a0,explain_weather_pattern,63,359,07daa8dadda9beaddc4a04a01efbf379b87306d7ce2feaab2459f7ed17e44b2c,3f1854cf7e51b20d9d77899849b9debea70fb7d809e1a40760da84350a2aad14,jsonl-line-00197-132f83d7821ddfc8,132f83d7821ddfc884cbc60be29d2addb167c079d8e695f311a39000e2f23710,general_qa,bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a,2df9083338b4abd6bceb5635764dab5d833b393b55759dffb0959b6fcbf794ec,CC-BY-SA-3.0,human-dedup-cluster-ec9519a965ad76c2368bb452,human_test_only
human-HC-08e46c6a998888b056200ef1,HC-08e46c6a998888b056200ef1,procedure_garden_task,96,505,08e46c6a998888b056200ef1fec75df8999b4b91125e8366b5cf7b6dcad61d75,a8b0a5fe8604b0af13ae9dc61b881bd37a0c338104024fc09505917bd595e500,jsonl-line-01023-e11ae93815f0f640,e11ae93815f0f640223e9585084e2c0e5a4ded867bdd754f2b1f93986d6c9533,general_qa,bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a,2df9083338b4abd6bceb5635764dab5d833b393b55759dffb0959b6fcbf794ec,CC-BY-SA-3.0,human-dedup-cluster-fb6e67fe5af7d690e7686128,human_test_only
human-HC-0a3253fec12462ee13068ebd,HC-0a3253fec12462ee13068ebd,procedure_simple_meal,106,515,0a3253fec12462ee13068ebdf085099f47b6fe61dcb43a284ea7eb54d9131984,3dc81dc42fe4583819ed5c80b7c961f585b6125b56b99615d95c5f7342c30969,jsonl-line-09074-79b899995393dc1f,79b899995393dc1f94b7989282f696bc74bac6eaf63f2fc64549f9e2d50e11fc,general_qa,bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a,2df9083338b4abd6bceb5635764dab5d833b393b55759dffb0959b6fcbf794ec,CC-BY-SA-3.0,human-dedup-cluster-56e9989536fa0368d3fbb8c1,human_test_only
human-HC-0b0b827bf2f1c8b15522741c,HC-0b0b827bf2f1c8b15522741c,forum_practical_answer,101,579,0b0b827bf2f1c8b15522741c84d628d0be268140586e5a6a3db3eb48a0f5ef5c,4bb1f7ee54ac6c1d1e544811635cc8c78512b759bf0fe4b3614a192f79d849ac,jsonl-line-08020-17652f948478dca3,17652f948478dca3bcf6c75a8f73bddbca140deb10ada0ef5927ce3d62a8d3d2,general_qa,bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a,2df9083338b4abd6bceb5635764dab5d833b393b55759dffb0959b6fcbf794ec,CC-BY-SA-3.0,human-dedup-cluster-2c9eca20d57fa7a73f7efbc3,human_test_only
human-HC-0b4f9630a4d1feed9bae13aa,HC-0b4f9630a4d1feed9bae13aa,procedure_simple_meal,124,640,0b4f9630a4d1feed9bae13aa0ecb1259f03e4e4893754f0309e1a6833defbfe6,1a4764be251425ce2ef51118a5be0a2fdd0336f0a2344269b925b5a5fa2e7d73,jsonl-line-12027-41d09a6cbc9544e2,41d09a6cbc9544e2969a2eef9b1c85c2b9545056a4b8c2f23082e29fc2408dec,creative_writing,bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a,2df9083338b4abd6bceb5635764dab5d833b393b55759dffb0959b6fcbf794ec,CC-BY-SA-3.0,human-dedup-cluster-cb37f0bc8e102709a5f87591,human_test_only
