plan_id,pairing_unit_id,experiment,model_id,base_model,model_revision,quantization_package_revision,quantization,embedded_tokenizer_fixed,payload_name,payload_class,payload_split,representation_name,codec_id,prompt_template_id,label,population,trial_status,generation_required,random_seed,reference_q4_row_id,reference_q4_pair_id,reference_q4_trial_id,source_row_id,source_trial_id
quantization_trial__0015a3bf833eddda46c45970,quantization_pair__23f9732287300b006328ff49,matched_quantization_generalization,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,8911e8a47f92bac19d6f5c64a2e2095bd2f7d031,Q4_K_M,True,revision_v1_nonce_96_bit_hex_054,nonce_96_bit_hex,test,ascii_b16,nonseg_ascii_b16,procedure_simple_meal,0,ordinary_control,reused_exact_v2_q4,False,7796499845587371415,detector_pair__0a5dcbaddd3ef55f4ea18fdb__ordinary_control,detector_pair__0a5dcbaddd3ef55f4ea18fdb,revision_v1_primary_v2_payload_fidelity_v2__ab300e98dcee9e868012,detector_pair__0a5dcbaddd3ef55f4ea18fdb__ordinary_control,revision_v1_primary_v2_payload_fidelity_v2__ab300e98dcee9e868012
quantization_trial__001628fb3c89ab132f39580b,quantization_pair__be28da44b9227515a19b33bb,matched_quantization_generalization,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,8911e8a47f92bac19d6f5c64a2e2095bd2f7d031,Q4_K_M,True,revision_v1_uuid_v4_042,uuid_v4,validation,ascii_b8,nonseg_ascii_b8,explain_weather_pattern,1,rankcloak,reused_exact_v2_q4,False,7894301601844087218,detector_pair__279e942b09d6e6c37f231eea__rankcloak,detector_pair__279e942b09d6e6c37f231eea,revision_v1_primary_v2_payload_fidelity_v2__38a68a66ab9c3a9d1d53,detector_pair__279e942b09d6e6c37f231eea__rankcloak,revision_v1_primary_v2_payload_fidelity_v2__38a68a66ab9c3a9d1d53
quantization_trial__00236aacb00c1a32f4250621,quantization_pair__89bf50d83d95bfa0cfc0cd6b,matched_quantization_generalization,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,8911e8a47f92bac19d6f5c64a2e2095bd2f7d031,Q4_K_M,True,revision_v1_token_128_bit_hex_057,token_128_bit_hex,test,ascii_b8,nonseg_ascii_b8,professional_schedule_note,0,ordinary_control,reused_exact_v2_q4,False,7228244401525295094,detector_pair__9892cf4401179f56b5cd9d8f__ordinary_control,detector_pair__9892cf4401179f56b5cd9d8f,revision_v1_primary_v2_payload_fidelity_v2__81685ffc293ba6148881,detector_pair__9892cf4401179f56b5cd9d8f__ordinary_control,revision_v1_primary_v2_payload_fidelity_v2__81685ffc293ba6148881
quantization_trial__002821966201ec3dfd162d50,quantization_pair__a2e9673038c8bcb743683a5a,matched_quantization_generalization,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,8911e8a47f92bac19d6f5c64a2e2095bd2f7d031,Q4_K_M,True,revision_v1_aes256_gcm_base64_043,aes256_gcm_base64,validation,ascii_b16,nonseg_ascii_b16,professional_schedule_note,1,rankcloak,reused_exact_v2_q4,False,3022377264662195100,detector_pair__8186e9a021a857ce00436ae2__rankcloak,detector_pair__8186e9a021a857ce00436ae2,revision_v1_primary_v2_payload_fidelity_v2__ec9a2416747189a43db8,detector_pair__8186e9a021a857ce00436ae2__rankcloak,revision_v1_primary_v2_payload_fidelity_v2__ec9a2416747189a43db8
quantization_trial__003085799a10ba584731ff91,quantization_pair__96b1a55e13a77f420139f8c2,matched_quantization_generalization,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,8911e8a47f92bac19d6f5c64a2e2095bd2f7d031,Q4_K_M,True,revision_v1_sha256_hex_000,sha256_hex,train,ascii_b16,nonseg_ascii_b16,professional_schedule_note,0,ordinary_control,reused_exact_v2_q4,False,5605697688904042333,detector_pair__bc36e3a51929cbc85f4c3e7f__ordinary_control,detector_pair__bc36e3a51929cbc85f4c3e7f,revision_v1_primary_v2_payload_fidelity_v2__d5fcce210c4527079043,detector_pair__bc36e3a51929cbc85f4c3e7f__ordinary_control,revision_v1_primary_v2_payload_fidelity_v2__d5fcce210c4527079043
quantization_trial__003aaa8bb047f76fc60d62d1,quantization_pair__9e707bd3af161e8816d75a4e,matched_quantization_generalization,qwen2_5_7b_instruct_q8_0,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,8911e8a47f92bac19d6f5c64a2e2095bd2f7d031,Q8_0,True,revision_v1_nonce_96_bit_hex_013,nonce_96_bit_hex,train,ascii_b16,nonseg_ascii_b16,narrative_learning_moment,1,rankcloak,planned_new_q8_generation,True,8537775149631331877,detector_pair__9ad966a221fcc367ffb8ad80__rankcloak,detector_pair__9ad966a221fcc367ffb8ad80,revision_v1_primary_v2_payload_fidelity_v2__9ccb8538dbbf8f5ef713,,
quantization_trial__005c6dd70bbf67ed437958f9,quantization_pair__8d73fb31e42057a6504295c7,matched_quantization_generalization,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,8911e8a47f92bac19d6f5c64a2e2095bd2f7d031,Q4_K_M,True,revision_v1_chacha20_poly1305_base64_003,chacha20_poly1305_base64,train,ascii_b16,nonseg_ascii_b16,narrative_local_walk,1,rankcloak,reused_exact_v2_q4,False,8799490501763937643,detector_pair__94a12cabf91cd7200992c94f__rankcloak,detector_pair__94a12cabf91cd7200992c94f,revision_v1_primary_v2_payload_fidelity_v2__53d3f67e5c8190edbdec,detector_pair__94a12cabf91cd7200992c94f__rankcloak,revision_v1_primary_v2_payload_fidelity_v2__53d3f67e5c8190edbdec
quantization_trial__007559b43488dce001de680a,quantization_pair__3d1607085acdfc012bbfbb3a,matched_quantization_generalization,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,8911e8a47f92bac19d6f5c64a2e2095bd2f7d031,Q4_K_M,True,revision_v1_sha256_hex_030,sha256_hex,train,ascii_b16,nonseg_ascii_b16,professional_project_update,0,ordinary_control,reused_exact_v2_q4,False,9160529953438746489,detector_pair__102bcd3b5dfdfc66169ac992__ordinary_control,detector_pair__102bcd3b5dfdfc66169ac992,revision_v1_primary_v2_payload_fidelity_v2__8b6b676c54b23f6839b9,detector_pair__102bcd3b5dfdfc66169ac992__ordinary_control,revision_v1_primary_v2_payload_fidelity_v2__8b6b676c54b23f6839b9
quantization_trial__00815d0062bd651862e85d25,quantization_pair__5a28f62efcf748ad13ea6a38,matched_quantization_generalization,qwen2_5_7b_instruct_q8_0,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,8911e8a47f92bac19d6f5c64a2e2095bd2f7d031,Q8_0,True,revision_v1_token_128_bit_hex_056,token_128_bit_hex,test,ascii_b16,nonseg_ascii_b16,casual_hobby_chat,0,ordinary_control,planned_new_q8_generation,True,1454782811768142728,detector_pair__fdaf58ddc5e03e479c33ca0e__ordinary_control,detector_pair__fdaf58ddc5e03e479c33ca0e,revision_v1_primary_v2_payload_fidelity_v2__628abcf5799db55f4f16,,
quantization_trial__0089c04674eff8abb069d818,quantization_pair__6b92b0a56116452c9ef793d0,matched_quantization_generalization,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,8911e8a47f92bac19d6f5c64a2e2095bd2f7d031,Q4_K_M,True,revision_v1_hmac_sha256_hex_044,hmac_sha256_hex,validation,ascii_b8,nonseg_ascii_b8,narrative_small_discovery,0,ordinary_control,reused_exact_v2_q4,False,4371577760525761352,detector_pair__c50a8602ff120030c89038db__ordinary_control,detector_pair__c50a8602ff120030c89038db,revision_v1_primary_v2_payload_fidelity_v2__5b6125d89a071db4e66d,detector_pair__c50a8602ff120030c89038db__ordinary_control,revision_v1_primary_v2_payload_fidelity_v2__5b6125d89a071db4e66d
quantization_trial__00a400085bee496f1e3ad1bb,quantization_pair__2f7e3b6ba94682b15a82d95e,matched_quantization_generalization,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,8911e8a47f92bac19d6f5c64a2e2095bd2f7d031,Q4_K_M,True,revision_v1_ed25519_signature_base64_033,ed25519_signature_base64,train,ascii_b8,nonseg_ascii_b8,explain_everyday_system,1,rankcloak,reused_exact_v2_q4,False,4461301359229885637,detector_pair__172d1ae03e26a50c5da5b36a__rankcloak,detector_pair__172d1ae03e26a50c5da5b36a,revision_v1_primary_v2_payload_fidelity_v2__b0d898ad744a8bc698a6,detector_pair__172d1ae03e26a50c5da5b36a__rankcloak,revision_v1_primary_v2_payload_fidelity_v2__b0d898ad744a8bc698a6
quantization_trial__00aa7e850bc6047e01ee23f7,quantization_pair__cec706a0406ba9362a499337,matched_quantization_generalization,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,8911e8a47f92bac19d6f5c64a2e2095bd2f7d031,Q4_K_M,True,revision_v1_aes256_gcm_base64_010,aes256_gcm_base64,train,ascii_b8,nonseg_ascii_b8,narrative_local_walk,0,ordinary_control,reused_exact_v2_q4,False,5745231041787244476,detector_pair__917366de817ce3ad26e29f7a__ordinary_control,detector_pair__917366de817ce3ad26e29f7a,revision_v1_primary_v2_payload_fidelity_v2__70a6dda09556da9328d4,detector_pair__917366de817ce3ad26e29f7a__ordinary_control,revision_v1_primary_v2_payload_fidelity_v2__70a6dda09556da9328d4
quantization_trial__00bd9d996a2ca5bdf9fa2a65,quantization_pair__90d64dc1f5dc76031338ee45,matched_quantization_generalization,qwen2_5_7b_instruct_q8_0,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,8911e8a47f92bac19d6f5c64a2e2095bd2f7d031,Q8_0,True,revision_v1_sha256_hex_052,sha256_hex,test,ascii_b16,nonseg_ascii_b16,explain_weather_pattern,1,rankcloak,planned_new_q8_generation,True,6057761633349600794,detector_pair__22b6f287deb45facbdb99e3f__rankcloak,detector_pair__22b6f287deb45facbdb99e3f,revision_v1_primary_v2_payload_fidelity_v2__807a6711f81547e64887,,
quantization_trial__00da313af5bc30e27d675b49,quantization_pair__f2516198b6ba5b271b971c1e,matched_quantization_generalization,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,8911e8a47f92bac19d6f5c64a2e2095bd2f7d031,Q4_K_M,True,revision_v1_ed25519_signature_base64_048,ed25519_signature_base64,test,ascii_b16,nonseg_ascii_b16,forum_purchase_advice,1,rankcloak,reused_exact_v2_q4,False,5378952508439777183,detector_pair__c2135ed8a0eddbc0608ffbc8__rankcloak,detector_pair__c2135ed8a0eddbc0608ffbc8,revision_v1_primary_v2_payload_fidelity_v2__524972261c9751fcd01c,detector_pair__c2135ed8a0eddbc0608ffbc8__rankcloak,revision_v1_primary_v2_payload_fidelity_v2__524972261c9751fcd01c
quantization_trial__00fd802e4bb160e40b4992a0,quantization_pair__88d80a8c347e2f551c336ddc,matched_quantization_generalization,qwen2_5_7b_instruct_q8_0,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,8911e8a47f92bac19d6f5c64a2e2095bd2f7d031,Q8_0,True,revision_v1_hmac_sha256_hex_034,hmac_sha256_hex,train,ascii_b16,nonseg_ascii_b16,casual_hobby_chat,0,ordinary_control,planned_new_q8_generation,True,6922185928383873766,detector_pair__e01c1f109e91eb86c498659e__ordinary_control,detector_pair__e01c1f109e91eb86c498659e,revision_v1_primary_v2_payload_fidelity_v2__14bc45ecc4b6aae173ec,,
quantization_trial__010d6d869d30bf71945a15eb,quantization_pair__abb9ba25de77bd48483aa57e,matched_quantization_generalization,qwen2_5_7b_instruct_q8_0,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,8911e8a47f92bac19d6f5c64a2e2095bd2f7d031,Q8_0,True,revision_v1_token_128_bit_hex_047,token_128_bit_hex,validation,ascii_b16,nonseg_ascii_b16,procedure_garden_task,0,ordinary_control,planned_new_q8_generation,True,5645982893245521798,detector_pair__438bcaaf0933f1bdd8e22308__ordinary_control,detector_pair__438bcaaf0933f1bdd8e22308,revision_v1_primary_v2_payload_fidelity_v2__30a21e16d4ba7ab1b76b,,
quantization_trial__0157a54333e6f667cbaa073b,quantization_pair__b20e1eba1d42d70859fe3091,matched_quantization_generalization,qwen2_5_7b_instruct_q8_0,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,8911e8a47f92bac19d6f5c64a2e2095bd2f7d031,Q8_0,True,revision_v1_sha256_hex_026,sha256_hex,train,ascii_b8,nonseg_ascii_b8,procedure_garden_task,0,ordinary_control,planned_new_q8_generation,True,6224109147638194925,detector_pair__965afeed5f2ed191bfc7b841__ordinary_control,detector_pair__965afeed5f2ed191bfc7b841,revision_v1_primary_v2_payload_fidelity_v2__7ecf7eac95c483b9aa13,,
