archive_path,size_bytes,crc32
llm-rankcloak-ce853d42d6ba/,0,00000000
llm-rankcloak-ce853d42d6ba/.gitignore,867,223db331
llm-rankcloak-ce853d42d6ba/CITATION.cff,508,afdc986f
llm-rankcloak-ce853d42d6ba/LICENSE,1070,8d3c2c96
llm-rankcloak-ce853d42d6ba/README.md,19869,84122f8e
llm-rankcloak-ce853d42d6ba/analysis/,0,00000000
llm-rankcloak-ce853d42d6ba/analysis/revision_v1/,0,00000000
llm-rankcloak-ce853d42d6ba/analysis/revision_v1/confirmatory_model_plan.json,7552,68d4422a
llm-rankcloak-ce853d42d6ba/analysis/revision_v1/detector_confirmatory_plan.json,2079,3cc71463
llm-rankcloak-ce853d42d6ba/analysis/revision_v1/evidence_specs/,0,00000000
llm-rankcloak-ce853d42d6ba/analysis/revision_v1/evidence_specs/ablation_evidence_analysis.json,2010,bef01610
llm-rankcloak-ce853d42d6ba/analysis/revision_v1/evidence_specs/detector_leakage_sensitivity.json,1015,60bdc718
llm-rankcloak-ce853d42d6ba/analysis/revision_v1/evidence_specs/detector_supplementary_metrics.json,1083,91125a3a
llm-rankcloak-ce853d42d6ba/analysis/revision_v1/evidence_specs/final_evidence_records.json,72039,e5c62b85
llm-rankcloak-ce853d42d6ba/analysis/revision_v1/evidence_specs/multilingual_recovery_endpoint.json,1159,959b058b
llm-rankcloak-ce853d42d6ba/analysis/revision_v1/evidence_specs/primary_recovery_endpoint.json,782,20af7f40
llm-rankcloak-ce853d42d6ba/analysis/revision_v1/evidence_specs/robustness_coverage_map.json,4575,0801a3e5
llm-rankcloak-ce853d42d6ba/analysis/revision_v1/evidence_specs/topic_effect_extraction.json,2047,f27891d0
llm-rankcloak-ce853d42d6ba/analysis/revision_v1/fixtures/,0,00000000
llm-rankcloak-ce853d42d6ba/analysis/revision_v1/fixtures/all_success_trials.csv,688,9926762e
llm-rankcloak-ce853d42d6ba/analysis/revision_v1/fixtures/all_zero_artifact_features.csv,251,2f58e14d
llm-rankcloak-ce853d42d6ba/analysis/revision_v1/mixed_effects_specs.json,2536,7d1d580b
llm-rankcloak-ce853d42d6ba/analysis/revision_v1/r_environment.lock.json,1903,cfcdd406
llm-rankcloak-ce853d42d6ba/analysis/revision_v1/run_with_locked_r.sh,2038,d5422b85
llm-rankcloak-ce853d42d6ba/configs/,0,00000000
llm-rankcloak-ce853d42d6ba/configs/revision_v1/,0,00000000
llm-rankcloak-ce853d42d6ba/configs/revision_v1/ablations.json,2496,74b99b5a
llm-rankcloak-ce853d42d6ba/configs/revision_v1/config_manifest.json,1747,6121a4a2
llm-rankcloak-ce853d42d6ba/configs/revision_v1/detectors/,0,00000000
llm-rankcloak-ce853d42d6ba/configs/revision_v1/detectors/README.md,1652,137a056e
llm-rankcloak-ce853d42d6ba/configs/revision_v1/detectors/default.json,2021,b3512098
llm-rankcloak-ce853d42d6ba/configs/revision_v1/detectors/smoke.json,909,8a061527
llm-rankcloak-ce853d42d6ba/configs/revision_v1/models.json,2611,60d43520
llm-rankcloak-ce853d42d6ba/configs/revision_v1/multilingual.json,3200,deb4463a
llm-rankcloak-ce853d42d6ba/configs/revision_v1/primary.json,4282,1fc289b5
llm-rankcloak-ce853d42d6ba/configs/revision_v1/prompts.json,4730,57cc7b1c
llm-rankcloak-ce853d42d6ba/configs/revision_v1/robustness.json,3639,7ce315a8
llm-rankcloak-ce853d42d6ba/configs/revision_v1/statistics.json,2570,12248007
llm-rankcloak-ce853d42d6ba/configs/revision_v3/,0,00000000
llm-rankcloak-ce853d42d6ba/configs/revision_v3/analysis.json,2313,15345b9c
llm-rankcloak-ce853d42d6ba/configs/revision_v3/detectors.json,1306,63d09197
llm-rankcloak-ce853d42d6ba/configs/revision_v3/entropy_gate.json,3116,d26c3920
llm-rankcloak-ce853d42d6ba/configs/revision_v3/generation_requirements.json,5086,1fe13425
llm-rankcloak-ce853d42d6ba/configs/revision_v3/quantization.json,3026,b061a6bb
llm-rankcloak-ce853d42d6ba/configs/revision_v3/references.json,1471,d200d281
llm-rankcloak-ce853d42d6ba/environment/,0,00000000
llm-rankcloak-ce853d42d6ba/environment/revision_v1/,0,00000000
llm-rankcloak-ce853d42d6ba/environment/revision_v1/CHECKSUMS.sha256,766,da94c221
llm-rankcloak-ce853d42d6ba/environment/revision_v1/README.md,1813,055766e5
llm-rankcloak-ce853d42d6ba/environment/revision_v1/REPRODUCE.md,965,fc408a61
llm-rankcloak-ce853d42d6ba/environment/revision_v1/backend_cuda_hardware.json,5056,c833708f
llm-rankcloak-ce853d42d6ba/environment/revision_v1/bundle_status.json,306,2872e868
llm-rankcloak-ce853d42d6ba/environment/revision_v1/determinism.json,1429,40371d74
llm-rankcloak-ce853d42d6ba/environment/revision_v1/environment_manifest.json,1900,930f1561
llm-rankcloak-ce853d42d6ba/environment/revision_v1/python_environment.json,58075,86334437
llm-rankcloak-ce853d42d6ba/environment/revision_v1/r_environment.json,58106,ba05609e
llm-rankcloak-ce853d42d6ba/environment/revision_v1/requirements-lock.txt,2951,b6d12a2b
llm-rankcloak-ce853d42d6ba/environment/revision_v1/scientific_pins.json,34830,6d7d4875
llm-rankcloak-ce853d42d6ba/external_sources/,0,00000000
llm-rankcloak-ce853d42d6ba/external_sources/LlmStenoExplore/,0,00000000
llm-rankcloak-ce853d42d6ba/external_sources/LlmStenoExplore/README.md,626,972b913d
llm-rankcloak-ce853d42d6ba/human_study/,0,00000000
llm-rankcloak-ce853d42d6ba/human_study/README.md,5628,ce5e7f27
llm-rankcloak-ce853d42d6ba/human_study/analysis/,0,00000000
llm-rankcloak-ce853d42d6ba/human_study/analysis/ANALYSIS_PLAN.md,3342,c35cf8d7
llm-rankcloak-ce853d42d6ba/human_study/analysis/generate_synthetic_ratings.py,5468,3f718376
llm-rankcloak-ce853d42d6ba/human_study/analysis/ordinal_mixed_model.R,4907,b3bbf6b7
llm-rankcloak-ce853d42d6ba/human_study/config/,0,00000000
llm-rankcloak-ce853d42d6ba/human_study/config/design.json,1630,856390da
llm-rankcloak-ce853d42d6ba/human_study/config/placeholders.json,998,10538969
llm-rankcloak-ce853d42d6ba/human_study/config/power_design_grid.json,3992,f591f2e8
llm-rankcloak-ce853d42d6ba/human_study/config/power_scenarios.json,1342,d04e7b42
llm-rankcloak-ce853d42d6ba/human_study/config/power_scenarios_5ratings.json,1421,5ee4fac2
llm-rankcloak-ce853d42d6ba/human_study/controls/,0,00000000
llm-rankcloak-ce853d42d6ba/human_study/controls/.gitignore,162,a56e040b
llm-rankcloak-ce853d42d6ba/human_study/controls/PROVENANCE_AND_LICENSE.md,5213,32709cc7
llm-rankcloak-ce853d42d6ba/human_study/controls/README.md,5280,49f41e0a
llm-rankcloak-ce853d42d6ba/human_study/controls/category_profiles.json,7276,be1841e5
llm-rankcloak-ce853d42d6ba/human_study/controls/control_pipeline.py,49187,6bab5f7f
llm-rankcloak-ce853d42d6ba/human_study/controls/dolly_coverage_audit.json,4051,b53c7c9a
llm-rankcloak-ce853d42d6ba/human_study/controls/prepare_controls.py,4414,beb3da0e
llm-rankcloak-ce853d42d6ba/human_study/controls/review_schema.json,1702,a5d640f6
llm-rankcloak-ce853d42d6ba/human_study/controls/source_registry.json,4738,ccb9630f
llm-rankcloak-ce853d42d6ba/human_study/controls/target_schema.json,984,3673bb2c
llm-rankcloak-ce853d42d6ba/human_study/data/,0,00000000
llm-rankcloak-ce853d42d6ba/human_study/data/DATA_DICTIONARY.md,4865,047f889e
llm-rankcloak-ce853d42d6ba/human_study/data/EXCLUSION_PLAN.md,4019,73bb78c2
llm-rankcloak-ce853d42d6ba/human_study/fixtures/,0,00000000
llm-rankcloak-ce853d42d6ba/human_study/fixtures/README.md,585,93fb8933
llm-rankcloak-ce853d42d6ba/human_study/fixtures/synthetic_fixture_spec.json,237,425f48ed
llm-rankcloak-ce853d42d6ba/human_study/irb/,0,00000000
llm-rankcloak-ce853d42d6ba/human_study/irb/CONSENT_INFORMATION_SHEET.md,2431,a4467fa6
llm-rankcloak-ce853d42d6ba/human_study/irb/DEBRIEF_TEXT.md,1149,c003c1c0
llm-rankcloak-ce853d42d6ba/human_study/irb/DRAFT_PROTOCOL.md,9574,68d5703a
