row_id,text_sha256,label,payload_group_id,prompt_template_id,model_id,codec_id
detector_pair__a57e8848a083c4ff9b89b5c6__rankcloak,47436ed1c7df884afba7b223deba2edc30fc5e1efb1568fbe01c851b11a4d095,1,revision_v1_ed25519_signature_base64_017,casual_weekend_chat,llama3_8b_instruct_q4_k_m,direct_subword
detector_pair__a57e8848a083c4ff9b89b5c6__ordinary_control,b95220f25710a2f0b9543f342170dc6353ff3e6704073264e5d389982bcf9fe8,0,revision_v1_ed25519_signature_base64_017,casual_weekend_chat,llama3_8b_instruct_q4_k_m,direct_subword
detector_pair__44b260229edf3d5ef8096e88__rankcloak,ce1e219497efbeab8ab4448c44b41ed7d86f4e94d53af172d836813875bd5aa4,1,revision_v1_uuid_v4_015,professional_project_update,llama3_8b_instruct_q4_k_m,ascii_b8
detector_pair__44b260229edf3d5ef8096e88__ordinary_control,7beae78c41ab5e69a911d0e782f310622d67a9e1a746be7d8bd1cdd8e498f3ea,0,revision_v1_uuid_v4_015,professional_project_update,llama3_8b_instruct_q4_k_m,ascii_b8
detector_pair__14172731bd5494d8b234e3c1__rankcloak,096b952b16f09b3eb4cb72c7d2cf4783b9583cf2e63fac7a9dcad714922f651b,1,revision_v1_aes256_gcm_base64_009,forum_practical_answer,llama3_8b_instruct_q4_k_m,ascii_b16
detector_pair__14172731bd5494d8b234e3c1__ordinary_control,ee4c00b25836dc7a763e306da97767e407426958af48e4921f15e34a32f99827,0,revision_v1_aes256_gcm_base64_009,forum_practical_answer,llama3_8b_instruct_q4_k_m,ascii_b16
detector_pair__769ed1a81a9b5ffc0d5f957c__rankcloak,ae95ab7aa3071d9a5bc572b8ac33ff954cc056e209e2b41cb52cfe3b8697b582,1,revision_v1_sha256_hex_003,procedure_simple_meal,llama3_8b_instruct_q4_k_m,hex_nibble
detector_pair__769ed1a81a9b5ffc0d5f957c__ordinary_control,c411643ebab0a52800b20ddf364bcc26998f34a9b0d11f9296c2f839d6694a72,0,revision_v1_sha256_hex_003,procedure_simple_meal,llama3_8b_instruct_q4_k_m,hex_nibble
detector_pair__d26ec2a8b6a2eb38db51aa9c__rankcloak,0729bccd5dbda0d7819beca25e22a078f279ee2bf14f6f6c6ada28e295534f48,1,revision_v1_hmac_sha256_hex_015,narrative_small_discovery,llama3_8b_instruct_q4_k_m,hex_nibble
detector_pair__d26ec2a8b6a2eb38db51aa9c__ordinary_control,07ceb6a58d8f9180eb7613cf58ba49912ee43e1c995862455c1d0ab188f8b13d,0,revision_v1_hmac_sha256_hex_015,narrative_small_discovery,llama3_8b_instruct_q4_k_m,hex_nibble
detector_pair__0888559b36f0b39d2d0dd83b__rankcloak,d24c6c9ad56688d72fbe58699d58447abaf8e47150877ea8dd61f26899ab1968,1,revision_v1_hmac_sha256_hex_015,narrative_small_discovery,llama3_8b_instruct_q4_k_m,hex_nibble
detector_pair__0888559b36f0b39d2d0dd83b__ordinary_control,fc9b8caafeebed57e84cfb7fe616510d2781393dd7607ce124919a399df44c1a,0,revision_v1_hmac_sha256_hex_015,narrative_small_discovery,llama3_8b_instruct_q4_k_m,hex_nibble
detector_pair__df2abf55960cbf43239560f6__rankcloak,99ecbddd35d830cc96fb7d287ab9254c9f298a7ee3356959ba15217ba136d216,1,revision_v1_nonce_96_bit_hex_009,explain_weather_pattern,llama3_8b_instruct_q4_k_m,hex_nibble
detector_pair__df2abf55960cbf43239560f6__ordinary_control,d3877c89e642d2702990485c2c4fa40eeec57149ae9611b296006af7b6187304,0,revision_v1_nonce_96_bit_hex_009,explain_weather_pattern,llama3_8b_instruct_q4_k_m,hex_nibble
detector_pair__c9434342bc328ab04e982ed4__rankcloak,3184121426006c4325a76b1d923cc0a56863fc6c57fb3b8c115311db99175679,1,revision_v1_nonce_96_bit_hex_009,explain_weather_pattern,llama3_8b_instruct_q4_k_m,hex_nibble
detector_pair__c9434342bc328ab04e982ed4__ordinary_control,9657c1b869e99a1dedc8e1930ff5a373b09a2c47e2fff310ec348eecaa071cb3,0,revision_v1_nonce_96_bit_hex_009,explain_weather_pattern,llama3_8b_instruct_q4_k_m,hex_nibble
detector_pair__9546f3e28732530028ad12cd__rankcloak,38eabaf1abba5b255d0bec0724b67b7aea071491b26a9ea4b41490153e7cb64a,1,revision_v1_sha256_hex_000,casual_weekend_chat,llama3_8b_instruct_q4_k_m,hex_nibble
detector_pair__9546f3e28732530028ad12cd__ordinary_control,27c7f0c163c4e8dc3832551efa3849b420e9a515a48252de1741746149902074,0,revision_v1_sha256_hex_000,casual_weekend_chat,llama3_8b_instruct_q4_k_m,hex_nibble
detector_pair__77ccee32fe1661737d55265e__rankcloak,7a9b4674c5593ed69e00f2c38e9be18c52220e2ceacf7bb34c1da47ac7c8cee5,1,revision_v1_sha256_hex_000,casual_weekend_chat,llama3_8b_instruct_q4_k_m,hex_nibble
detector_pair__77ccee32fe1661737d55265e__ordinary_control,8e67ef64091ef5d1eef537e2c6d847d659df16b92620dc42186c677daf8ca518,0,revision_v1_sha256_hex_000,casual_weekend_chat,llama3_8b_instruct_q4_k_m,hex_nibble
detector_pair__cfafacb3c2c9a1f4d6e2bf46__rankcloak,ecdefac18d0c112a4b2d9878a2e372dc8e0686b2d19fcc4d89d39b165ed7b6b1,1,revision_v1_nonce_96_bit_hex_011,professional_project_update,llama3_8b_instruct_q4_k_m,hex_nibble
detector_pair__cfafacb3c2c9a1f4d6e2bf46__ordinary_control,3e1fd300d2762fefab3e7093617943d00a7e07f2cba6d0c58bb5f95a2a2bee02,0,revision_v1_nonce_96_bit_hex_011,professional_project_update,llama3_8b_instruct_q4_k_m,hex_nibble
