evidence_status,study_phase,model_id,protocol_variant,prompt_category,payload_class,replay_mode,transformation_id,mitigation_id,protocol_contract_revision,result_schema_revision,text_view,outcome,analysis_unit,mean,standard_deviation,median,n_payloads,bootstrap_resamples_requested,ci_low,ci_high,bootstrap_resamples_valid,confidence_level,view,hardware_id
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,llama3_8b_instruct_q4_k_m,ordinary_llm_control_forced_span,casual_conversation,sha256_hex,,,,payload_fidelity_v2,payload_aware_result_v2,forced_span,heldout_evaluator_log_probability,payload,-2.047214469190134,,-2.047214469190134,1,100,-2.047214469190134,-2.047214469190134,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,llama3_8b_instruct_q4_k_m,ordinary_llm_control_forced_span,factual_explanatory,nonce_96_bit_hex,,,,payload_fidelity_v2,payload_aware_result_v2,forced_span,heldout_evaluator_log_probability,payload,-3.068029338793399,,-3.068029338793399,1,100,-3.068029338793399,-3.068029338793399,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,llama3_8b_instruct_q4_k_m,ordinary_llm_control_forced_span,factual_explanatory,token_128_bit_hex,,,,payload_fidelity_v2,payload_aware_result_v2,forced_span,heldout_evaluator_log_probability,payload,-2.123906305675973,,-2.123906305675973,1,100,-2.123906305675973,-2.123906305675973,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,llama3_8b_instruct_q4_k_m,ordinary_llm_control_forced_span,forum_question_answer,nonce_96_bit_hex,,,,payload_fidelity_v2,payload_aware_result_v2,forced_span,heldout_evaluator_log_probability,payload,-1.5040139516064701,,-1.5040139516064701,1,100,-1.5040139516064701,-1.5040139516064701,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,llama3_8b_instruct_q4_k_m,ordinary_llm_control_forced_span,personal_narrative_blog,hmac_sha256_hex,,,,payload_fidelity_v2,payload_aware_result_v2,forced_span,heldout_evaluator_log_probability,payload,-1.451259745036441,,-1.451259745036441,1,100,-1.451259745036441,-1.451259745036441,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,llama3_8b_instruct_q4_k_m,ordinary_llm_control_forced_span,personal_narrative_blog,sha256_hex,,,,payload_fidelity_v2,payload_aware_result_v2,forced_span,heldout_evaluator_log_probability,payload,-1.618828575282981,,-1.618828575282981,1,100,-1.618828575282981,-1.618828575282981,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,llama3_8b_instruct_q4_k_m,ordinary_llm_control_forced_span,professional_communication,nonce_96_bit_hex,,,,payload_fidelity_v2,payload_aware_result_v2,forced_span,heldout_evaluator_log_probability,payload,-1.7098014043773162,,-1.7098014043773162,1,100,-1.7098014043773162,-1.7098014043773162,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,llama3_8b_instruct_q4_k_m,ordinary_llm_control_forced_span,recipe_procedure,token_128_bit_hex,,,,payload_fidelity_v2,payload_aware_result_v2,forced_span,heldout_evaluator_log_probability,payload,-2.598997557765973,,-2.598997557765973,1,100,-2.598997557765973,-2.598997557765973,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,llama3_8b_instruct_q4_k_m,ordinary_llm_control_full_message,casual_conversation,ed25519_signature_base64,,,,payload_fidelity_v2,payload_aware_result_v2,full_message,heldout_evaluator_log_probability,payload,-1.2787213264280641,,-1.2787213264280641,1,100,-1.2787213264280641,-1.2787213264280641,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,llama3_8b_instruct_q4_k_m,ordinary_llm_control_full_message,casual_conversation,sha256_hex,,,,payload_fidelity_v2,payload_aware_result_v2,full_message,heldout_evaluator_log_probability,payload,-1.304226059816004,,-1.304226059816004,1,100,-1.304226059816004,-1.304226059816004,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,llama3_8b_instruct_q4_k_m,ordinary_llm_control_full_message,factual_explanatory,nonce_96_bit_hex,,,,payload_fidelity_v2,payload_aware_result_v2,full_message,heldout_evaluator_log_probability,payload,-2.3873106274637372,,-2.3873106274637372,1,100,-2.3873106274637372,-2.3873106274637372,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,llama3_8b_instruct_q4_k_m,ordinary_llm_control_full_message,factual_explanatory,token_128_bit_hex,,,,payload_fidelity_v2,payload_aware_result_v2,full_message,heldout_evaluator_log_probability,payload,-1.442346631768825,,-1.442346631768825,1,100,-1.442346631768825,-1.442346631768825,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,llama3_8b_instruct_q4_k_m,ordinary_llm_control_full_message,forum_question_answer,aes256_gcm_base64,,,,payload_fidelity_v2,payload_aware_result_v2,full_message,heldout_evaluator_log_probability,payload,-1.29371901810978,,-1.29371901810978,1,100,-1.29371901810978,-1.29371901810978,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,llama3_8b_instruct_q4_k_m,ordinary_llm_control_full_message,forum_question_answer,nonce_96_bit_hex,,,,payload_fidelity_v2,payload_aware_result_v2,full_message,heldout_evaluator_log_probability,payload,-1.054555247411618,,-1.054555247411618,1,100,-1.054555247411618,-1.054555247411618,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,llama3_8b_instruct_q4_k_m,ordinary_llm_control_full_message,personal_narrative_blog,hmac_sha256_hex,,,,payload_fidelity_v2,payload_aware_result_v2,full_message,heldout_evaluator_log_probability,payload,-1.4320710919251431,,-1.4320710919251431,1,100,-1.4320710919251431,-1.4320710919251431,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,llama3_8b_instruct_q4_k_m,ordinary_llm_control_full_message,personal_narrative_blog,sha256_hex,,,,payload_fidelity_v2,payload_aware_result_v2,full_message,heldout_evaluator_log_probability,payload,-1.457026202332967,,-1.457026202332967,1,100,-1.457026202332967,-1.457026202332967,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,llama3_8b_instruct_q4_k_m,ordinary_llm_control_full_message,professional_communication,nonce_96_bit_hex,,,,payload_fidelity_v2,payload_aware_result_v2,full_message,heldout_evaluator_log_probability,payload,-0.8400991926383681,,-0.8400991926383681,1,100,-0.8400991926383681,-0.8400991926383681,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,llama3_8b_instruct_q4_k_m,ordinary_llm_control_full_message,professional_communication,uuid_v4,,,,payload_fidelity_v2,payload_aware_result_v2,full_message,heldout_evaluator_log_probability,payload,-1.207632328546398,,-1.207632328546398,1,100,-1.207632328546398,-1.207632328546398,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,llama3_8b_instruct_q4_k_m,ordinary_llm_control_full_message,recipe_procedure,sha256_hex,,,,payload_fidelity_v2,payload_aware_result_v2,full_message,heldout_evaluator_log_probability,payload,-1.4376970745552171,,-1.4376970745552171,1,100,-1.4376970745552171,-1.4376970745552171,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,llama3_8b_instruct_q4_k_m,ordinary_llm_control_full_message,recipe_procedure,token_128_bit_hex,,,,payload_fidelity_v2,payload_aware_result_v2,full_message,heldout_evaluator_log_probability,payload,-1.989821478992345,,-1.989821478992345,1,100,-1.989821478992345,-1.989821478992345,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,mistral_7b_instruct_v0_3_q4_k_m,ordinary_llm_control_forced_span,casual_conversation,nonce_96_bit_hex,,,,payload_fidelity_v2,payload_aware_result_v2,forced_span,heldout_evaluator_log_probability,payload,-2.545696229089015,,-2.545696229089015,1,100,-2.545696229089015,-2.545696229089015,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,mistral_7b_instruct_v0_3_q4_k_m,ordinary_llm_control_forced_span,factual_explanatory,sha256_hex,,,,payload_fidelity_v2,payload_aware_result_v2,forced_span,heldout_evaluator_log_probability,payload,-1.001856141120124,,-1.001856141120124,1,100,-1.001856141120124,-1.001856141120124,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,mistral_7b_instruct_v0_3_q4_k_m,ordinary_llm_control_forced_span,factual_explanatory,token_128_bit_hex,,,,payload_fidelity_v2,payload_aware_result_v2,forced_span,heldout_evaluator_log_probability,payload,-1.109892361721056,,-1.109892361721056,1,100,-1.109892361721056,-1.109892361721056,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,mistral_7b_instruct_v0_3_q4_k_m,ordinary_llm_control_forced_span,forum_question_answer,sha256_hex,,,,payload_fidelity_v2,payload_aware_result_v2,forced_span,heldout_evaluator_log_probability,payload,-1.363243078897478,,-1.363243078897478,1,100,-1.363243078897478,-1.363243078897478,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,mistral_7b_instruct_v0_3_q4_k_m,ordinary_llm_control_forced_span,personal_narrative_blog,nonce_96_bit_hex,,,,payload_fidelity_v2,payload_aware_result_v2,forced_span,heldout_evaluator_log_probability,payload,-2.355432719323904,,-2.355432719323904,1,100,-2.355432719323904,-2.355432719323904,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,mistral_7b_instruct_v0_3_q4_k_m,ordinary_llm_control_forced_span,personal_narrative_blog,token_128_bit_hex,,,,payload_fidelity_v2,payload_aware_result_v2,forced_span,heldout_evaluator_log_probability,payload,-2.425888268085729,,-2.425888268085729,1,100,-2.425888268085729,-2.425888268085729,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,mistral_7b_instruct_v0_3_q4_k_m,ordinary_llm_control_forced_span,recipe_procedure,token_128_bit_hex,,,,payload_fidelity_v2,payload_aware_result_v2,forced_span,heldout_evaluator_log_probability,payload,-2.398615287673187,,-2.398615287673187,1,100,-2.398615287673187,-2.398615287673187,0,0.95,,
exploratory_smoke_v3_payload_fidelity_v2_not_for_confirmatory_pooling,ordinary_llm_control_smoke_v3,mistral_7b_instruct_v0_3_q4_k_m,ordinary_llm_control_full_message,casual_conversation,ed25519_signature_base64,,,,payload_fidelity_v2,payload_aware_result_v2,full_message,heldout_evaluator_log_probability,payload,-1.376488960918284,,-1.376488960918284,1,100,-1.376488960918284,-1.376488960918284,0,0.95,,
