status,comparison_name,metric_name,group_a,group_b,n_a,n_b,mean_a,mean_b,difference_b_minus_a,ratio_b_over_a,bootstrap_ci_low_95,bootstrap_ci_high_95,notes
ok,nonseg_ascii_b8_vs_nonseg_ascii_b16,mean_token_log_probability,nonseg_ascii_b8,nonseg_ascii_b16,175,175,-3.4409367555584685,-3.9253224649943617,-0.4843857094358932,1.1407714654020942,-0.5309406488146834,-0.4363701704518719,positive difference means B=16 has a larger metric value
ok,nonseg_ascii_b16_vs_nonseg_hex_nibble_b16,mean_token_log_probability,nonseg_ascii_b16_hex_payloads,nonseg_hex_nibble_b16,125,125,-3.8734408060837544,-4.623335382796098,-0.7498945767123435,1.1935990800568153,-0.8309202912224836,-0.6710940879297357,hex payloads only
ok,nonseg_ascii_b8_vs_nonseg_ascii_b16,generated_token_count,nonseg_ascii_b8,nonseg_ascii_b16,175,175,132.85714285714286,99.42857142857143,-33.42857142857143,0.7483870967741936,-41.537285714285694,-25.131000000000014,positive difference means B=16 has a larger metric value
ok,nonseg_ascii_b16_vs_nonseg_hex_nibble_b16,generated_token_count,nonseg_ascii_b16_hex_payloads,nonseg_hex_nibble_b16,125,125,99.2,49.6,-49.6,0.5,-56.96319999999999,-42.5584,hex payloads only
ok,nonseg_ascii_b8_vs_nonseg_ascii_b16,artifact_count_total,nonseg_ascii_b8,nonseg_ascii_b16,175,175,0.6,0.5085714285714286,-0.09142857142857141,0.8476190476190476,-0.2571428571428571,0.08014285714285697,positive difference means B=16 has a larger metric value
ok,nonseg_ascii_b16_vs_nonseg_hex_nibble_b16,artifact_count_total,nonseg_ascii_b16_hex_payloads,nonseg_hex_nibble_b16,125,125,0.512,0.368,-0.14400000000000002,0.71875,-0.31199999999999994,0.02400000000000002,hex payloads only
ok,segmented_single_topic_vs_multi_topic,full_message_mean_log_probability_mean,segmented_single_topic,segmented_multi_topic,25,25,-1.5269887048752582,-1.483518059721141,0.04347064515411714,0.9715317834275216,-0.020587837513104362,0.10842565095808547,segmented hex payloads only
ok,forced_prefix_vs_full_message,mean_log_probability,forced_prefix,full_message,75,75,-5.381083336046413,-1.4941966739586978,3.8868866620877154,0.27767580998968755,3.7595636632594185,4.025195433360756,paired structure is summarized as an independent bootstrap for this pilot
ok,segmented_single_topic_vs_multi_topic,full_message_artifact_count_mean,segmented_single_topic,segmented_multi_topic,25,25,0.17,0.14166666666666666,-0.02833333333333335,0.8333333333333333,-0.11166666666666664,0.05337499999999997,segmented hex payloads only
ok,forced_prefix_vs_full_message,mean_log_probability,forced_prefix,full_message,75,75,-5.381083336046413,-1.4941966739586978,3.8868866620877154,0.27767580998968755,3.7595636632594185,4.025195433360756,paired structure is summarized as an independent bootstrap for this pilot
ok,segmented_single_topic_vs_multi_topic,total_full_message_token_count,segmented_single_topic,segmented_multi_topic,25,25,258.68,249.76,-8.920000000000016,0.9655172413793103,-59.216999999999985,40.00599999999999,segmented hex payloads only
ok,forced_prefix_vs_full_message,mean_log_probability,forced_prefix,full_message,75,75,-5.381083336046413,-1.4941966739586978,3.8868866620877154,0.27767580998968755,3.7595636632594185,4.025195433360756,paired structure is summarized as an independent bootstrap for this pilot
ok,legacy_unfiltered_vs_filtered_pilot,full_message_mean_log_probability_mean,unfiltered,safe_text_filter_v1,6,4,-1.3328877200606175,-1.381828746777508,-0.0489410267168906,1.0367180415726727,-0.2242872797133828,0.13029345289574848,imported from results/rankcloak_segmented_quality_controls
ok,legacy_unfiltered_vs_filtered_pilot,full_message_artifact_count_mean,unfiltered,safe_text_filter_v1,6,4,0.16666666666666666,0.0,-0.16666666666666666,0.0,-0.22916666666666666,-0.08333333333333333,imported from results/rankcloak_segmented_quality_controls
