status,split_name,detector_name,dataset_name,feature_set,auc,accuracy,precision,recall,f1,train_rows,test_rows,notes
ok,random_stratified,threshold_mean_token_log_probability,detector_forced_prefix,mean_token_log_probability,1.0,1.0,1.0,1.0,1.0,319,172,Dependency-free threshold baseline; higher score means lower token log probability.
ok,random_stratified,logistic_regression,detector_forced_prefix,numeric_cover_features,1.0,1.0,1.0,1.0,1.0,319,172,Lightweight sklearn feature detector; no text content features.
ok,random_stratified,random_forest,detector_forced_prefix,numeric_cover_features,1.0,1.0,1.0,1.0,1.0,319,172,Lightweight sklearn feature detector; no text content features.
ok,leave_one_prompt_family_out:grocery_planning,threshold_mean_token_log_probability,detector_forced_prefix,mean_token_log_probability,1.0,1.0,1.0,1.0,1.0,446,45,Dependency-free threshold baseline; higher score means lower token log probability.
ok,leave_one_prompt_family_out:grocery_planning,logistic_regression,detector_forced_prefix,numeric_cover_features,1.0,1.0,1.0,1.0,1.0,446,45,Lightweight sklearn feature detector; no text content features.
ok,leave_one_prompt_family_out:grocery_planning,random_forest,detector_forced_prefix,numeric_cover_features,1.0,1.0,1.0,1.0,1.0,446,45,Lightweight sklearn feature detector; no text content features.
ok,leave_one_prompt_family_out:plant_care,threshold_mean_token_log_probability,detector_forced_prefix,mean_token_log_probability,1.0,1.0,1.0,1.0,1.0,456,35,Dependency-free threshold baseline; higher score means lower token log probability.
ok,leave_one_prompt_family_out:plant_care,logistic_regression,detector_forced_prefix,numeric_cover_features,1.0,1.0,1.0,1.0,1.0,456,35,Lightweight sklearn feature detector; no text content features.
ok,leave_one_prompt_family_out:plant_care,random_forest,detector_forced_prefix,numeric_cover_features,1.0,1.0,1.0,1.0,1.0,456,35,Lightweight sklearn feature detector; no text content features.
ok,leave_one_prompt_family_out:recipe,threshold_mean_token_log_probability,detector_forced_prefix,mean_token_log_probability,1.0,1.0,1.0,1.0,1.0,165,326,Dependency-free threshold baseline; higher score means lower token log probability.
ok,leave_one_prompt_family_out:recipe,logistic_regression,detector_forced_prefix,numeric_cover_features,1.0,1.0,1.0,1.0,1.0,165,326,Lightweight sklearn feature detector; no text content features.
ok,leave_one_prompt_family_out:recipe,random_forest,detector_forced_prefix,numeric_cover_features,1.0,1.0,1.0,1.0,1.0,165,326,Lightweight sklearn feature detector; no text content features.
ok,leave_one_prompt_family_out:recipe_forum_exchange,threshold_mean_token_log_probability,detector_forced_prefix,mean_token_log_probability,1.0,1.0,1.0,1.0,1.0,406,85,Dependency-free threshold baseline; higher score means lower token log probability.
ok,leave_one_prompt_family_out:recipe_forum_exchange,logistic_regression,detector_forced_prefix,numeric_cover_features,1.0,1.0,1.0,1.0,1.0,406,85,Lightweight sklearn feature detector; no text content features.
ok,leave_one_prompt_family_out:recipe_forum_exchange,random_forest,detector_forced_prefix,numeric_cover_features,1.0,1.0,1.0,1.0,1.0,406,85,Lightweight sklearn feature detector; no text content features.
ok,random_stratified,threshold_mean_token_log_probability,detector_full_message,mean_token_log_probability,1.0,0.6952662721893491,1.0,0.6869300911854104,0.8144144144144144,628,338,Dependency-free threshold baseline; higher score means lower token log probability.
ok,random_stratified,logistic_regression,detector_full_message,numeric_cover_features,1.0,1.0,1.0,1.0,1.0,628,338,Lightweight sklearn feature detector; no text content features.
ok,random_stratified,random_forest,detector_full_message,numeric_cover_features,1.0,1.0,1.0,1.0,1.0,628,338,Lightweight sklearn feature detector; no text content features.
ok,leave_one_prompt_family_out:grocery_planning,threshold_mean_token_log_probability,detector_full_message,mean_token_log_probability,1.0,0.9,1.0,0.8962962962962963,0.9453124999999999,826,140,Dependency-free threshold baseline; higher score means lower token log probability.
ok,leave_one_prompt_family_out:grocery_planning,logistic_regression,detector_full_message,numeric_cover_features,1.0,1.0,1.0,1.0,1.0,826,140,Lightweight sklearn feature detector; no text content features.
ok,leave_one_prompt_family_out:grocery_planning,random_forest,detector_full_message,numeric_cover_features,1.0,1.0,1.0,1.0,1.0,826,140,Lightweight sklearn feature detector; no text content features.
ok,leave_one_prompt_family_out:plant_care,threshold_mean_token_log_probability,detector_full_message,mean_token_log_probability,1.0,0.8923076923076924,1.0,0.888,0.940677966101695,836,130,Dependency-free threshold baseline; higher score means lower token log probability.
ok,leave_one_prompt_family_out:plant_care,logistic_regression,detector_full_message,numeric_cover_features,1.0,1.0,1.0,1.0,1.0,836,130,Lightweight sklearn feature detector; no text content features.
ok,leave_one_prompt_family_out:plant_care,random_forest,detector_full_message,numeric_cover_features,1.0,1.0,1.0,1.0,1.0,836,130,Lightweight sklearn feature detector; no text content features.
