trial_id,protocol_variant,payload_name,payload_class,payload_kind,representation_name,segment_size,segment_count,message_count,topic_schedule_name,leadin_policy,leadin_token_count,tail_policy,actual_tail_token_count_mean,token_filter_name,total_forced_rank_count,total_forced_prefix_token_count,total_full_message_token_count,total_full_message_character_count,exact_recovery,generation_seconds,recovery_seconds,forced_prefix_mean_log_probability_mean,forced_prefix_repetition_mean,forced_prefix_punctuation_fraction_mean,forced_prefix_artifact_count_mean,full_message_mean_log_probability_mean,full_message_repetition_mean,full_message_punctuation_fraction_mean,full_message_artifact_count_mean,model_repo_id,model_filename,model_path_relative,notes
segmented_hex_single_topic_sentence_tail_filtered__paper_sha256_hex_000__raw_hex_nibbles__seg8__single_recipe_long__none__safe_text__101c2ff265,segmented_hex_single_topic_sentence_tail_filtered,paper_sha256_hex_000,sha256_hex,sha256_hex,raw_hex_nibbles,8,8,8,single_recipe_long,none,0,sentence_tail_min20_max60,31.75,safe_text_filter_v1,64,64,318,1433,True,7.752202943000157,1.2802417259990762,-4.523686984943472,0.0,0.0594774413388543,0.375,-1.439893029591507,0.1726601738656089,0.0386412014479881,0.375,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only
segmented_hex_multi_topic_sentence_tail_filtered__paper_sha256_hex_000__raw_hex_nibbles__seg8__mixed_recipe_forum_blog_grocery_plant__ca6f7532aa,segmented_hex_multi_topic_sentence_tail_filtered,paper_sha256_hex_000,sha256_hex,sha256_hex,raw_hex_nibbles,8,8,8,mixed_recipe_forum_blog_grocery_plant,none,0,sentence_tail_min20_max60,36.25,safe_text_filter_v1,64,64,354,1510,True,8.45090171999982,1.0977831920026802,-4.948465120362887,0.0,0.0231722102410389,0.0,-1.3952716157921348,0.2265822923462188,0.0291893715953433,0.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only
segmented_hex_multi_topic_leadin8_sentence_tail_filtered__paper_sha256_hex_000__raw_hex_nibbles__seg8__mixed_recipe_forum_blog_groce__60d86c8fab,segmented_hex_multi_topic_leadin8_sentence_tail_filtered,paper_sha256_hex_000,sha256_hex,sha256_hex,raw_hex_nibbles,8,8,8,mixed_recipe_forum_blog_grocery_plant,greedy_leadin8,8,sentence_tail_min20_max60,33.125,safe_text_filter_v1,64,64,393,1748,False,9.238512410996918,1.7951623630033282,-5.822812199979194,0.0,0.0214808611547741,0.0,-1.4580335539959617,0.1952973609518867,0.0390763655277173,0.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only
segmented_hex_single_topic_sentence_tail_filtered__paper_sha256_hex_001__raw_hex_nibbles__seg8__single_recipe_long__none__safe_text__e6b7112bc5,segmented_hex_single_topic_sentence_tail_filtered,paper_sha256_hex_001,sha256_hex,sha256_hex,raw_hex_nibbles,8,8,8,single_recipe_long,none,0,sentence_tail_min20_max60,31.875,safe_text_filter_v1,64,64,319,1430,False,7.661148062998109,1.2606966859966633,-5.266121322926793,0.0,0.038686602258334,0.0,-1.6329551948385927,0.1562232208341794,0.0287653698049048,0.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only
segmented_hex_multi_topic_sentence_tail_filtered__paper_sha256_hex_001__raw_hex_nibbles__seg8__mixed_recipe_forum_blog_grocery_plant__75519a03ec,segmented_hex_multi_topic_sentence_tail_filtered,paper_sha256_hex_001,sha256_hex,sha256_hex,raw_hex_nibbles,8,8,8,mixed_recipe_forum_blog_grocery_plant,none,0,sentence_tail_min20_max60,28.25,safe_text_filter_v1,64,64,290,1222,True,6.927670555003715,1.0948568700005126,-5.254927678991706,0.0,0.0628043046049006,0.25,-1.6378058684219012,0.1380349778679271,0.0500796458092881,0.25,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only
segmented_hex_multi_topic_leadin8_sentence_tail_filtered__paper_sha256_hex_001__raw_hex_nibbles__seg8__mixed_recipe_forum_blog_groce__d569e36c38,segmented_hex_multi_topic_leadin8_sentence_tail_filtered,paper_sha256_hex_001,sha256_hex,sha256_hex,raw_hex_nibbles,8,8,8,mixed_recipe_forum_blog_grocery_plant,greedy_leadin8,8,sentence_tail_min20_max60,27.875,safe_text_filter_v1,64,64,351,1570,True,8.275366036006744,1.80204120599592,-6.224963200507176,0.015625,0.0089285714285714,0.0,-1.6198976101918334,0.1700776592518938,0.0310389533247035,0.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only
segmented_hex_single_topic_sentence_tail_filtered__paper_sha256_hex_002__raw_hex_nibbles__seg8__single_recipe_long__none__safe_text__3b3a8df1b6,segmented_hex_single_topic_sentence_tail_filtered,paper_sha256_hex_002,sha256_hex,sha256_hex,raw_hex_nibbles,8,8,8,single_recipe_long,none,0,sentence_tail_min20_max60,39.0,safe_text_filter_v1,64,64,376,1610,True,9.003590151998651,1.2940808559942525,-4.84465452290165,0.03125,0.0676396576094156,0.25,-1.3628985851758957,0.166541479556688,0.034079225980681,0.25,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only
segmented_hex_multi_topic_sentence_tail_filtered__paper_sha256_hex_002__raw_hex_nibbles__seg8__mixed_recipe_forum_blog_grocery_plant__37e7074edd,segmented_hex_multi_topic_sentence_tail_filtered,paper_sha256_hex_002,sha256_hex,sha256_hex,raw_hex_nibbles,8,8,8,mixed_recipe_forum_blog_grocery_plant,none,0,sentence_tail_min20_max60,34.0,safe_text_filter_v1,64,64,336,1419,True,7.992607451004005,1.1104174539977976,-4.98045209041477,0.046875,0.0654165557182798,0.125,-1.5263672410892395,0.1253741249097171,0.0348612301537503,0.125,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only
segmented_hex_multi_topic_leadin8_sentence_tail_filtered__paper_sha256_hex_002__raw_hex_nibbles__seg8__mixed_recipe_forum_blog_groce__e9032960f3,segmented_hex_multi_topic_leadin8_sentence_tail_filtered,paper_sha256_hex_002,sha256_hex,sha256_hex,raw_hex_nibbles,8,8,8,mixed_recipe_forum_blog_grocery_plant,greedy_leadin8,8,sentence_tail_min20_max60,29.125,safe_text_filter_v1,64,64,361,1581,True,8.454988142002549,1.802264012989326,-6.120516633832219,0.0,0.0320348875336087,0.0,-1.5682662354914043,0.1562235675583982,0.0358491252323136,0.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only
segmented_hex_single_topic_sentence_tail_filtered__paper_sha256_hex_003__raw_hex_nibbles__seg8__single_recipe_long__none__safe_text__e6b0d3f65b,segmented_hex_single_topic_sentence_tail_filtered,paper_sha256_hex_003,sha256_hex,sha256_hex,raw_hex_nibbles,8,8,8,single_recipe_long,none,0,sentence_tail_min20_max60,31.25,safe_text_filter_v1,64,64,314,1428,False,7.694483914998273,1.2869170010017117,-5.07956718738108,0.0,0.05332071329583,0.0,-1.6847741746379692,0.1697128638040582,0.0353459521598605,0.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only
segmented_hex_multi_topic_sentence_tail_filtered__paper_sha256_hex_003__raw_hex_nibbles__seg8__mixed_recipe_forum_blog_grocery_plant__4a2a78efa0,segmented_hex_multi_topic_sentence_tail_filtered,paper_sha256_hex_003,sha256_hex,sha256_hex,raw_hex_nibbles,8,8,8,mixed_recipe_forum_blog_grocery_plant,none,0,sentence_tail_min20_max60,34.125,safe_text_filter_v1,64,64,337,1265,True,7.7935779050058045,1.0910115129991027,-5.072844445233579,0.015625,0.0311294986756093,0.0,-1.479467960838813,0.2408055065821726,0.0397873781789738,0.0,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only
