model_id,stratum_model_id,multiplicity_family,contrast,estimate,standard_error,statistic,p_value_raw,p_value_holm,ci_low,ci_high,adjustment,scale,fixed_effects_fallback,effect_semantics,analysis_status,new_model_fit_performed
primary_artifact_counts,llama3_8b_instruct_q4_k_m,artifact_protocol_within_model,segmented_hex_multi_topic / segmented_hex_single_topic,1.27636055310556,0.08816726309737,3.532469838981,0.0004116971857728,0.0032935774861825,1.1147432579614,1.46140938721905,holm,response,False,multi_topic_divided_by_single_topic_expected_artifact_count_rate,exploratory_post_outcome_locked_contrast_extraction,False
primary_artifact_counts,mistral_7b_instruct_v0_3_q4_k_m,artifact_protocol_within_model,segmented_hex_multi_topic / segmented_hex_single_topic,1.01518850770746,0.0927351399845825,0.165021301669375,0.868927215606665,1.0,0.848772667035505,1.21423291089343,holm,response,False,multi_topic_divided_by_single_topic_expected_artifact_count_rate,exploratory_post_outcome_locked_contrast_extraction,False
primary_artifact_counts,qwen2_5_7b_instruct_q4_k_m,artifact_protocol_within_model,segmented_hex_multi_topic / segmented_hex_single_topic,0.95714684809575,0.0989987673219983,-0.423455285238485,0.671963115951506,1.0,0.781515952562019,1.17224745805419,holm,response,False,multi_topic_divided_by_single_topic_expected_artifact_count_rate,exploratory_post_outcome_locked_contrast_extraction,False
primary_cover_log_probability,llama3_8b_instruct_q4_k_m,continuous_protocol_within_model,segmented_hex_multi_topic - segmented_hex_single_topic,-0.0221396413944403,0.0492755083828008,-0.449303155280443,0.653212981944644,1.0,-0.118717863144631,0.0744385803557507,holm,model,False,multi_topic_minus_single_topic_cover_mean_log_probability,exploratory_post_outcome_locked_contrast_extraction,False
primary_cover_log_probability,mistral_7b_instruct_v0_3_q4_k_m,continuous_protocol_within_model,segmented_hex_multi_topic - segmented_hex_single_topic,0.0163467497867686,0.0492755083828008,0.331741879957433,0.740084174138571,1.0,-0.0802314719634225,0.11292497153696,holm,model,False,multi_topic_minus_single_topic_cover_mean_log_probability,exploratory_post_outcome_locked_contrast_extraction,False
primary_cover_log_probability,qwen2_5_7b_instruct_q4_k_m,continuous_protocol_within_model,segmented_hex_multi_topic - segmented_hex_single_topic,0.0188126002941881,0.0492755083828008,0.381783991918274,0.702621593582798,1.0,-0.0777656214560031,0.115390822044379,holm,model,False,multi_topic_minus_single_topic_cover_mean_log_probability,exploratory_post_outcome_locked_contrast_extraction,False
primary_effective_artifact_rate,llama3_8b_instruct_q4_k_m,continuous_protocol_within_model,segmented_hex_multi_topic - segmented_hex_single_topic,0.012473257956027,0.0446931796385309,0.279086385370387,0.780178531093603,1.0,-0.0751237644900724,0.100070280402126,holm,model,False,multi_topic_minus_single_topic_effective_artifact_bits_per_full_token,exploratory_post_outcome_locked_contrast_extraction,False
primary_effective_artifact_rate,mistral_7b_instruct_v0_3_q4_k_m,continuous_protocol_within_model,segmented_hex_multi_topic - segmented_hex_single_topic,0.0067919511692058,0.0446931796385309,0.151968403772963,0.879211856301207,1.0,-0.0808050712768935,0.0943889736153052,holm,model,False,multi_topic_minus_single_topic_effective_artifact_bits_per_full_token,exploratory_post_outcome_locked_contrast_extraction,False
primary_effective_artifact_rate,qwen2_5_7b_instruct_q4_k_m,continuous_protocol_within_model,segmented_hex_multi_topic - segmented_hex_single_topic,-0.015822433554129,0.0446931796385309,-0.35402344791974,0.723321310857087,1.0,-0.103419456000228,0.0717745888919704,holm,model,False,multi_topic_minus_single_topic_effective_artifact_bits_per_full_token,exploratory_post_outcome_locked_contrast_extraction,False
primary_heldout_evaluator_log_probability,llama3_8b_instruct_q4_k_m,continuous_protocol_within_model,segmented_hex_multi_topic - segmented_hex_single_topic,-0.0128008446606685,0.0595040635127068,-0.215125554541917,0.829669430663292,1.0,-0.129426666079358,0.103824976758021,holm,model,False,multi_topic_minus_single_topic_heldout_evaluator_log_probability,exploratory_post_outcome_locked_contrast_extraction,False
primary_heldout_evaluator_log_probability,mistral_7b_instruct_v0_3_q4_k_m,continuous_protocol_within_model,segmented_hex_multi_topic - segmented_hex_single_topic,0.0120456770185562,0.0595040635127068,0.202434528122333,0.839577037591984,1.0,-0.104580144400133,0.128671498437245,holm,model,False,multi_topic_minus_single_topic_heldout_evaluator_log_probability,exploratory_post_outcome_locked_contrast_extraction,False
primary_heldout_evaluator_log_probability,qwen2_5_7b_instruct_q4_k_m,continuous_protocol_within_model,segmented_hex_multi_topic - segmented_hex_single_topic,0.0247105674304346,0.0595040635127068,0.415275293344593,0.677940385619149,1.0,-0.0919152539882546,0.141336388849124,holm,model,False,multi_topic_minus_single_topic_heldout_evaluator_log_probability,exploratory_post_outcome_locked_contrast_extraction,False
primary_payload_throughput,llama3_8b_instruct_q4_k_m,continuous_protocol_within_model,segmented_hex_multi_topic - segmented_hex_single_topic,0.0183040583197939,0.0175774699454821,1.04133634570649,0.297719473871149,0.595438947742297,-0.0161471497126861,0.052755266352274,holm,model,False,multi_topic_minus_single_topic_log_payload_bits_per_second,exploratory_post_outcome_locked_contrast_extraction,False
primary_payload_throughput,mistral_7b_instruct_v0_3_q4_k_m,continuous_protocol_within_model,segmented_hex_multi_topic - segmented_hex_single_topic,0.0264706146154082,0.0175774699454821,1.5059399730171,0.13208258387376,0.396247751621281,-0.0079805934170719,0.0609218226478882,holm,model,False,multi_topic_minus_single_topic_log_payload_bits_per_second,exploratory_post_outcome_locked_contrast_extraction,False
primary_payload_throughput,qwen2_5_7b_instruct_q4_k_m,continuous_protocol_within_model,segmented_hex_multi_topic - segmented_hex_single_topic,-0.0093781310082731,0.0175774699454821,-0.533531335132998,0.593665825856786,0.595438947742297,-0.0438293390407532,0.0250730770242069,holm,model,False,multi_topic_minus_single_topic_log_payload_bits_per_second,exploratory_post_outcome_locked_contrast_extraction,False
