codec_id,control_id,evidence_status,label,language,model_id,pair_id,payload_class,payload_group_id,preprocess_schema_version,prompt_category,prompt_template_id,protocol_variant,representation_name,row_id,source_trial_id,view,normalized_text_sha256,dedup_cluster_id,partition,generation_study,evaluation_id,study_source,gate_level,quantization,plan_id,experimental_cell_id
nonseg_ascii_b8,revision_v1_primary_v2_payload_fidelity_v2__50b93708e6df0b87fb5b,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,0,en,qwen2_5_7b_instruct_q4_k_m,detector_pair__0000066e727745276ff40e0a,sha256_hex,revision_v1_sha256_hex_032,2.0,recipe_procedure,procedure_simple_meal,nonseg_ascii_b8,ascii_b8,detector_pair__0000066e727745276ff40e0a__ordinary_control,revision_v1_primary_v2_payload_fidelity_v2__c268c0fd098dab2a9fec,full_message,95efccfaf1cd18be9db7dc968839af8f2431aed3ec8b998004c665c26126fcb6,locked-dedup-cluster-172137bb97b31f4b7db6b7ae,train,entropy,entropy_gates,historical_deduplicated_fit,not_applicable_historical_fit,historical_mixed_q4,,
nonseg_ascii_b8,revision_v1_primary_v2_payload_fidelity_v2__50b93708e6df0b87fb5b,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,1,en,qwen2_5_7b_instruct_q4_k_m,detector_pair__0000066e727745276ff40e0a,sha256_hex,revision_v1_sha256_hex_032,2.0,recipe_procedure,procedure_simple_meal,nonseg_ascii_b8,ascii_b8,detector_pair__0000066e727745276ff40e0a__rankcloak,revision_v1_primary_v2_payload_fidelity_v2__c268c0fd098dab2a9fec,full_message,62f6e894b48718cba9cc3463b0516578d2f3f53abb7584c31b69d487916a5ba3,locked-dedup-cluster-172137bb97b31f4b7db6b7ae,train,entropy,entropy_gates,historical_deduplicated_fit,not_applicable_historical_fit,historical_mixed_q4,,
nonseg_ascii_b8,revision_v1_primary_v2_payload_fidelity_v2__805b71d94ca3fb553764,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,0,en,llama3_8b_instruct_q4_k_m,detector_pair__0018cc4c9c3cb54377b73846,ed25519_signature_base64,revision_v1_ed25519_signature_base64_013,2.0,forum_question_answer,forum_practical_answer,nonseg_ascii_b8,ascii_b8,detector_pair__0018cc4c9c3cb54377b73846__ordinary_control,revision_v1_primary_v2_payload_fidelity_v2__7ee7e8b7489a20092e89,full_message,e6dd39d5a3bff0c9ab234d0eb566a1a3c2e24fd8b94c795f1a183dba4a7e11fd,locked-dedup-cluster-4e034b2df94f3bce3978af77,train,entropy,entropy_gates,historical_deduplicated_fit,not_applicable_historical_fit,historical_mixed_q4,,
nonseg_ascii_b8,revision_v1_primary_v2_payload_fidelity_v2__805b71d94ca3fb553764,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,1,en,llama3_8b_instruct_q4_k_m,detector_pair__0018cc4c9c3cb54377b73846,ed25519_signature_base64,revision_v1_ed25519_signature_base64_013,2.0,forum_question_answer,forum_practical_answer,nonseg_ascii_b8,ascii_b8,detector_pair__0018cc4c9c3cb54377b73846__rankcloak,revision_v1_primary_v2_payload_fidelity_v2__7ee7e8b7489a20092e89,full_message,0bf307ce0f628e83929530af795d9d1a0071ac4f5b3c14734799d440c2fc6adf,locked-dedup-cluster-4e034b2df94f3bce3978af77,train,entropy,entropy_gates,historical_deduplicated_fit,not_applicable_historical_fit,historical_mixed_q4,,
segmented_hex_single_topic,revision_v1_primary_v2_payload_fidelity_v2__8d2d4ef33baa8a973294,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,0,en,llama3_8b_instruct_q4_k_m,detector_pair__001cad66367e929f07fb8a19,nonce_96_bit_hex,revision_v1_nonce_96_bit_hex_017,2.0,professional_communication,professional_schedule_note,segmented_hex_single_topic,hex_nibble,detector_pair__001cad66367e929f07fb8a19__ordinary_control,revision_v1_primary_v2_payload_fidelity_v2__28d347f8f8f174690b52,forced_span,ddc666b704da03aab60312eb63266c3c5149ffd20fc6edf8be08947accc0cefa,locked-dedup-cluster-db1d53788ffd0e16bf61276b,train,entropy,entropy_gates,historical_deduplicated_fit,not_applicable_historical_fit,historical_mixed_q4,,
segmented_hex_single_topic,revision_v1_primary_v2_payload_fidelity_v2__8d2d4ef33baa8a973294,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,1,en,llama3_8b_instruct_q4_k_m,detector_pair__001cad66367e929f07fb8a19,nonce_96_bit_hex,revision_v1_nonce_96_bit_hex_017,2.0,professional_communication,professional_schedule_note,segmented_hex_single_topic,hex_nibble,detector_pair__001cad66367e929f07fb8a19__rankcloak,revision_v1_primary_v2_payload_fidelity_v2__28d347f8f8f174690b52,forced_span,57a9fa4b11ff53e3e5b9e286886ec839a50427cdaffaa33cc8eb3a5d8514a2a0,locked-dedup-cluster-db1d53788ffd0e16bf61276b,train,entropy,entropy_gates,historical_deduplicated_fit,not_applicable_historical_fit,historical_mixed_q4,,
nonseg_ascii_b16,revision_v1_primary_v2_payload_fidelity_v2__a208f03330d9d9ca02eb,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,0,en,llama3_8b_instruct_q4_k_m,detector_pair__001fe3b7c77bdf4e6d97d27f,token_128_bit_hex,revision_v1_token_128_bit_hex_034,2.0,professional_communication,professional_process_email,nonseg_ascii_b16,ascii_b16,detector_pair__001fe3b7c77bdf4e6d97d27f__ordinary_control,revision_v1_primary_v2_payload_fidelity_v2__3a8bff538cf6a4973324,full_message,de1f781afb04924e0b96bfc33e56a1b9385dbc50a9206f145db1d481711c795c,locked-dedup-cluster-b6d3dd8af22bd58f505e4b2e,train,entropy,entropy_gates,historical_deduplicated_fit,not_applicable_historical_fit,historical_mixed_q4,,
nonseg_ascii_b16,revision_v1_primary_v2_payload_fidelity_v2__a208f03330d9d9ca02eb,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,1,en,llama3_8b_instruct_q4_k_m,detector_pair__001fe3b7c77bdf4e6d97d27f,token_128_bit_hex,revision_v1_token_128_bit_hex_034,2.0,professional_communication,professional_process_email,nonseg_ascii_b16,ascii_b16,detector_pair__001fe3b7c77bdf4e6d97d27f__rankcloak,revision_v1_primary_v2_payload_fidelity_v2__3a8bff538cf6a4973324,full_message,25d6c120dba920e0ac0c925d684e6302e13ba2fa5fac0c7752e163e6d578dcf1,locked-dedup-cluster-b6d3dd8af22bd58f505e4b2e,train,entropy,entropy_gates,historical_deduplicated_fit,not_applicable_historical_fit,historical_mixed_q4,,
nonseg_hex_nibble_b16,revision_v1_primary_v2_payload_fidelity_v2__14069ae186f24f570987,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,0,en,llama3_8b_instruct_q4_k_m,detector_pair__00201f4a2673f834e3dd945e,token_128_bit_hex,revision_v1_token_128_bit_hex_035,2.0,forum_question_answer,forum_learning_answer,nonseg_hex_nibble_b16,hex_nibble,detector_pair__00201f4a2673f834e3dd945e__ordinary_control,revision_v1_primary_v2_payload_fidelity_v2__c638ba077c4ab4fdfaeb,full_message,57fbb81702b81a20ced8003be1e9a3fd745c4472333ab6c26fd7c608e652da4d,locked-dedup-cluster-c13bf33bc6062b1033844049,train,entropy,entropy_gates,historical_deduplicated_fit,not_applicable_historical_fit,historical_mixed_q4,,
nonseg_hex_nibble_b16,revision_v1_primary_v2_payload_fidelity_v2__14069ae186f24f570987,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,1,en,llama3_8b_instruct_q4_k_m,detector_pair__00201f4a2673f834e3dd945e,token_128_bit_hex,revision_v1_token_128_bit_hex_035,2.0,forum_question_answer,forum_learning_answer,nonseg_hex_nibble_b16,hex_nibble,detector_pair__00201f4a2673f834e3dd945e__rankcloak,revision_v1_primary_v2_payload_fidelity_v2__c638ba077c4ab4fdfaeb,full_message,e3c65621b29ef87b9c658ec2ff91743638b53b088b27e307a711bf95e4e5e357,locked-dedup-cluster-c13bf33bc6062b1033844049,train,entropy,entropy_gates,historical_deduplicated_fit,not_applicable_historical_fit,historical_mixed_q4,,
