dedup_cluster_id,partition,row_count,positive_rows,negative_rows,payload_group_count,row_ids_sha256
dedup-cluster-00190ab339967308d13aeb9a,test,48,24,24,1,5917c82dbb702a652632a0c87f7e778381459731db9c68d03c682035d24e763c
dedup-cluster-00eccca339b70a566fc600ea,validation,18,9,9,1,525ba723a908597f44093c983186914b325ad712f9ad1e84228854b7f088430c
dedup-cluster-02069e60ee294b6b19cc3fda,test,18,9,9,1,345b4ae920ae9d254ab19ee49e3588758dbd390d556214e58bee6661135f8b34
dedup-cluster-02520044ca48813bb14ebc78,validation,18,9,9,1,8d9cdace7a0ff93f3d9bb4a0071f5af986525179b683a6d3631319f23a5d029f
dedup-cluster-0383747dd5a5f8a5f4e4e52b,train,18,9,9,1,5a1e176b104edf376011e862f1929c6568b4228c7d254ad77bbc6b3cd8e4eda9
dedup-cluster-03b12c24b75fd163404d55e4,train,18,9,9,1,11b0c0dac0b23ee363d855de075e89e00920ae9638af96b2940d1da0cbaafe70
dedup-cluster-03d1f8caa28ff2627b36b98f,train,48,24,24,1,90dcfb9a27d365403c910b1e86688af48a4de6acc1f2a5a66a66c523f2ddb554
dedup-cluster-0401b1baba09fb1c1437ea35,validation,48,24,24,1,ff79dc5c73008608fb0913b1198a63cce84097a91bd0e4de3d3ada33a558ba14
dedup-cluster-047b2cb5417d30901a590a18,test,18,9,9,1,5f60f4b2f119e1b37ed9f86963faf01292742aafeb515b15ca583bba57a3eddb
dedup-cluster-054651d73ab2fcb750307ee7,test,48,24,24,1,435866a4e04d9b449cc27475945375899fad1eaf9c2adba7d05139c3d17c1ca1
dedup-cluster-058fda41f3207b53b75ba98b,train,48,24,24,1,f7914c14176fb5b6803f16639d61bb560f06bc9ef3c3bd4471591abd12930dbb
dedup-cluster-0597144dc6356aef849f0b73,test,18,9,9,1,b933e50076225fa8ca9d2f5a5ef7625a1ba30708c94d47f019f63a7fb2240fc4
dedup-cluster-064db5ffad9ed683b6e0fdbd,validation,48,24,24,1,e6a15a75e2f15324e031ae1c9316a33dd06e55827a0e7a027a875e104a5584a4
dedup-cluster-07152d65b441d025c2de854b,test,48,24,24,1,1fbed8e164b929dcda9674305b2c65334ab7fe4b00831bbccf9e9dfe65d84a10
