near_pair_number,left_position,right_position,left_row_id,right_row_id,left_payload_group_id,right_payload_group_id,same_payload_group,left_label,right_label,cosine_similarity,threshold
1,291,4741,detector_pair__d9d1a32015a054ab76155810__ordinary_control,detector_pair__f62c2a148006bbabd4f01f8a__ordinary_control,revision_v1_sha256_hex_018,revision_v1_chacha20_poly1305_base64_030,False,0,0,0.9769366979598999,0.95
2,291,4569,detector_pair__d9d1a32015a054ab76155810__ordinary_control,detector_pair__43b6d23f1dfbc632200775e3__ordinary_control,revision_v1_sha256_hex_018,revision_v1_chacha20_poly1305_base64_001,False,0,0,0.9725717902183533,0.95
3,291,292,detector_pair__d9d1a32015a054ab76155810__ordinary_control,detector_pair__648ab58c3042d3f83cb682e2__rankcloak,revision_v1_sha256_hex_018,revision_v1_sha256_hex_018,True,0,1,0.9639910459518433,0.95
4,292,4741,detector_pair__648ab58c3042d3f83cb682e2__rankcloak,detector_pair__f62c2a148006bbabd4f01f8a__ordinary_control,revision_v1_sha256_hex_018,revision_v1_chacha20_poly1305_base64_030,False,1,0,0.9690816402435303,0.95
5,292,4569,detector_pair__648ab58c3042d3f83cb682e2__rankcloak,detector_pair__43b6d23f1dfbc632200775e3__ordinary_control,revision_v1_sha256_hex_018,revision_v1_chacha20_poly1305_base64_001,False,1,0,0.9640026092529297,0.95
6,653,2833,detector_pair__ebc18488db65b6ae0c192516__ordinary_control,detector_pair__cf60ade4ada0f167a7789989__ordinary_control,revision_v1_sha256_hex_040,revision_v1_nonce_96_bit_hex_057,False,0,0,0.9950351119041443,0.95
7,653,3599,detector_pair__ebc18488db65b6ae0c192516__ordinary_control,detector_pair__73d5cdf69eee9fbc6323ad6b__ordinary_control,revision_v1_sha256_hex_040,revision_v1_token_128_bit_hex_044,False,0,0,0.9950351119041443,0.95
8,653,5093,detector_pair__ebc18488db65b6ae0c192516__ordinary_control,detector_pair__3cbe3ce25acbd2b468b67be1__ordinary_control,revision_v1_sha256_hex_040,revision_v1_ed25519_signature_base64_028,False,0,0,0.9950351119041443,0.95
9,653,3608,detector_pair__ebc18488db65b6ae0c192516__ordinary_control,detector_pair__4dd411be27136f30f789a52d__rankcloak,revision_v1_sha256_hex_040,revision_v1_token_128_bit_hex_045,False,0,1,0.9902358055114746,0.95
10,653,3419,detector_pair__ebc18488db65b6ae0c192516__ordinary_control,detector_pair__aa24cf8a1d6cdcbedd6bb63c__ordinary_control,revision_v1_sha256_hex_040,revision_v1_token_128_bit_hex_033,False,0,0,0.9557781219482422,0.95
11,873,4741,detector_pair__ed8ea75b5a9cfb139b4c1dbc__ordinary_control,detector_pair__f62c2a148006bbabd4f01f8a__ordinary_control,revision_v1_sha256_hex_054,revision_v1_chacha20_poly1305_base64_030,False,0,0,0.9523540735244751,0.95
12,968,972,detector_pair__dea0f4b95c081228b09392e6__rankcloak,detector_pair__35bbc228fa6f6fd00e34c16c__rankcloak,revision_v1_hmac_sha256_hex_000,revision_v1_hmac_sha256_hex_000,True,1,1,0.9880768656730652,0.95
13,1576,1580,detector_pair__42e8e2dccc503dd587fb6111__rankcloak,detector_pair__e86482cfa7f56711cb68ed06__rankcloak,revision_v1_hmac_sha256_hex_038,revision_v1_hmac_sha256_hex_038,True,1,1,0.9685763716697693,0.95
14,1995,1999,detector_pair__d22200bf773d70187f5b7a8b__ordinary_control,detector_pair__837086f83f27a68ac1fa1bc0__ordinary_control,revision_v1_nonce_96_bit_hex_004,revision_v1_nonce_96_bit_hex_004,True,0,0,0.9737399220466614,0.95
15,2833,3599,detector_pair__cf60ade4ada0f167a7789989__ordinary_control,detector_pair__73d5cdf69eee9fbc6323ad6b__ordinary_control,revision_v1_nonce_96_bit_hex_057,revision_v1_token_128_bit_hex_044,False,0,0,1.0,0.95
16,2833,5093,detector_pair__cf60ade4ada0f167a7789989__ordinary_control,detector_pair__3cbe3ce25acbd2b468b67be1__ordinary_control,revision_v1_nonce_96_bit_hex_057,revision_v1_ed25519_signature_base64_028,False,0,0,1.0,0.95
17,2833,3608,detector_pair__cf60ade4ada0f167a7789989__ordinary_control,detector_pair__4dd411be27136f30f789a52d__rankcloak,revision_v1_nonce_96_bit_hex_057,revision_v1_token_128_bit_hex_045,False,0,1,0.9934456944465637,0.95
