exact_group_number,normalized_text_sha256,participating_row_count,participating_pair_ids,retained_pair_id,removed_pair_ids
1,0ddb5bd38c8c0af8fe3e580954b3fa2c194c2fb5368bddde1fa6d83d8232498f,3,entropy_pair__76e784464ea835c48964d402;entropy_pair__913f4e5254bcdb973486fec4;entropy_pair__a4e9244178cc73b3d5ee34dc,entropy_pair__76e784464ea835c48964d402,entropy_pair__913f4e5254bcdb973486fec4;entropy_pair__a4e9244178cc73b3d5ee34dc
2,167595aa4533100c5e7c4ef44fba020a7e33912efd38b9dce51996975e3da6d2,2,entropy_pair__36e6dc7df66449384e830bda;entropy_pair__73c6873bbecacdda3a8b83ed,entropy_pair__36e6dc7df66449384e830bda,entropy_pair__73c6873bbecacdda3a8b83ed
3,3ecae96c2bb17858dc309185d971dd8660055cd7f1d1d12fcc037a97668f75af,2,entropy_pair__0847e1e5d3a0f0c92ea76f0f;entropy_pair__0c118f90599e018c894231da,entropy_pair__0847e1e5d3a0f0c92ea76f0f,entropy_pair__0c118f90599e018c894231da
4,3faf0c913da7bd0d967dd65d81ecbc8237a780284488bf3fcf469836331053ea,2,entropy_pair__143245cb5cb9abd04bba0611;entropy_pair__bc20f3a1e8e87f9716e88e84,entropy_pair__143245cb5cb9abd04bba0611,entropy_pair__bc20f3a1e8e87f9716e88e84
5,4a196421512d49d33cc55ca138cae684a86c9d338044fe1a2aed29ee6cc8f7af,2,entropy_pair__1a78a9ca36db9e44566d643a;entropy_pair__aa657ea5756675b0a9dd7018,entropy_pair__1a78a9ca36db9e44566d643a,entropy_pair__aa657ea5756675b0a9dd7018
6,4a54fb1fd297d2d422a08b378929d6c4bba382d17582e3f43b46244e1623c342,2,entropy_pair__9cd21d27606c1456a86a97f8;entropy_pair__c376a5877c5d91abc84adb74,entropy_pair__9cd21d27606c1456a86a97f8,entropy_pair__c376a5877c5d91abc84adb74
7,4ca6f5a627ea31ae77dee4fa54e32373fa8eb9bf3f9a2bc89bac9389ee3bbeac,2,entropy_pair__1ba06fa76927eb8b6a7a9985;entropy_pair__65b06785823fa7265d5d1cec,entropy_pair__1ba06fa76927eb8b6a7a9985,entropy_pair__65b06785823fa7265d5d1cec
8,68cea8b93c7acaf8cc68a1ec4a007e72d74c996a6cc87319f33e0905d702cb7f,2,entropy_pair__9cd21d27606c1456a86a97f8;entropy_pair__c376a5877c5d91abc84adb74,entropy_pair__9cd21d27606c1456a86a97f8,entropy_pair__c376a5877c5d91abc84adb74
9,6ff85e78f80cc339b3426e973cd0f2b698f1454d65e4ff25e0b196269435e86f,2,entropy_pair__19d096a8839f33b4d8ebda58;entropy_pair__c5adc20a8b5d154a113994d1,entropy_pair__19d096a8839f33b4d8ebda58,entropy_pair__c5adc20a8b5d154a113994d1
10,7e4f1c433bf092875640458c9c56bbfe8bd5019a7f8512258259f4bee633eadf,2,entropy_pair__0847e1e5d3a0f0c92ea76f0f;entropy_pair__0c118f90599e018c894231da,entropy_pair__0847e1e5d3a0f0c92ea76f0f,entropy_pair__0c118f90599e018c894231da
11,81b195c6e4566b9eb5b284730ece2a0a9aa6612648f314e14fccbf73f2482ce4,2,entropy_pair__19d096a8839f33b4d8ebda58;entropy_pair__c5adc20a8b5d154a113994d1,entropy_pair__19d096a8839f33b4d8ebda58,entropy_pair__c5adc20a8b5d154a113994d1
12,91574ef8f59a647da14fd5a228fa7706ecffa6bd6f8b56fd0709332faa5ec21a,3,entropy_pair__7a2ba1b540088c4c0f392e36;entropy_pair__7f7bbf6ef96e78ca86a2aa61;entropy_pair__ca58af342ce404e0283c7c7a,entropy_pair__7a2ba1b540088c4c0f392e36,entropy_pair__7f7bbf6ef96e78ca86a2aa61;entropy_pair__ca58af342ce404e0283c7c7a
13,a71fa7cc0885a44144443d5e9eae860a2e8fe361c84c04ae43258d61396828dd,2,entropy_pair__633816f3426961b0f3ff1462;entropy_pair__6e4dba34294b01a49590e4ec,entropy_pair__633816f3426961b0f3ff1462,entropy_pair__6e4dba34294b01a49590e4ec
14,b4f904b1dc0538e45670d7dd05e4c8e43f46b9c763d42ed6d868eecf035bd08b,2,entropy_pair__b97de4951fe164bc63d92616;entropy_pair__c8871608aa27430479494127,entropy_pair__b97de4951fe164bc63d92616,entropy_pair__c8871608aa27430479494127
15,c2079a2cba4b8baf3dc34b3cb61143f3f044eb95719106e1fa8cdb0720452604,2,entropy_pair__43a6058397a10bdd3624b8f0;entropy_pair__4efcc3605ab78e159ef9f305,entropy_pair__43a6058397a10bdd3624b8f0,entropy_pair__4efcc3605ab78e159ef9f305
16,cb57f49f1c65f9b55358ba3d0f5e69b7ee264a54fa67858dd99b8574b9292ef8,2,entropy_pair__1ba06fa76927eb8b6a7a9985;entropy_pair__65b06785823fa7265d5d1cec,entropy_pair__1ba06fa76927eb8b6a7a9985,entropy_pair__65b06785823fa7265d5d1cec
17,cf957b3494e7c85c0e9929d0be29be8dde8d0fe81dbd45710e6bd38cf0cf6d99,2,entropy_pair__36e6dc7df66449384e830bda;entropy_pair__73c6873bbecacdda3a8b83ed,entropy_pair__36e6dc7df66449384e830bda,entropy_pair__73c6873bbecacdda3a8b83ed
18,e0439a0a372118fb3aae508a2a53b4a363c21073c5c81c67769452f9d08ee208,2,entropy_pair__633816f3426961b0f3ff1462;entropy_pair__6e4dba34294b01a49590e4ec,entropy_pair__633816f3426961b0f3ff1462,entropy_pair__6e4dba34294b01a49590e4ec
19,e91930dcc73cb067c6d79de41a090678041efb2f635b118ceefe176c42a2ff1b,2,entropy_pair__b97de4951fe164bc63d92616;entropy_pair__c8871608aa27430479494127,entropy_pair__b97de4951fe164bc63d92616,entropy_pair__c8871608aa27430479494127
