row_id,pair_id,payload_group_id,normalized_text_sha256,dedup_cluster_id,partition,label,model_id,codec_id,payload_class,prompt_template_id
detector_pair__0000066e727745276ff40e0a__ordinary_control,detector_pair__0000066e727745276ff40e0a,revision_v1_sha256_hex_032,95efccfaf1cd18be9db7dc968839af8f2431aed3ec8b998004c665c26126fcb6,dedup-cluster-172137bb97b31f4b7db6b7ae,train,0,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,sha256_hex,procedure_simple_meal
detector_pair__0000066e727745276ff40e0a__rankcloak,detector_pair__0000066e727745276ff40e0a,revision_v1_sha256_hex_032,62f6e894b48718cba9cc3463b0516578d2f3f53abb7584c31b69d487916a5ba3,dedup-cluster-172137bb97b31f4b7db6b7ae,train,1,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,sha256_hex,procedure_simple_meal
detector_pair__00018c387c36257f2f471da9__ordinary_control,detector_pair__00018c387c36257f2f471da9,revision_v1_uuid_v4_037,a9456d8cc16f54a0bd7de6d4813f5d6aacf1dca351ef09db151efde3766ece62,dedup-cluster-43af11f5d2e1ab75fc7f8cd0,test,0,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,uuid_v4,professional_project_update
detector_pair__00018c387c36257f2f471da9__rankcloak,detector_pair__00018c387c36257f2f471da9,revision_v1_uuid_v4_037,591b6f31d577c4595010282335d4348ccb24413884d5fcab2c242a8745870aaf,dedup-cluster-43af11f5d2e1ab75fc7f8cd0,test,1,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,uuid_v4,professional_project_update
detector_pair__00055c3d167dc6bc61868d7b__ordinary_control,detector_pair__00055c3d167dc6bc61868d7b,revision_v1_sha256_hex_003,f6a4252a3df305dbe52313b7917a34213f207b08a1220f2885a8653ad8650374,dedup-cluster-edb55174b9706234846d446a,train,0,qwen2_5_7b_instruct_q4_k_m,nonseg_hex_nibble_b16,sha256_hex,narrative_local_walk
detector_pair__00055c3d167dc6bc61868d7b__rankcloak,detector_pair__00055c3d167dc6bc61868d7b,revision_v1_sha256_hex_003,fa81aa7b9f82b5040cdb684bf476d7f4db9cc7cb475e5225b190efdfe002ecb0,dedup-cluster-edb55174b9706234846d446a,train,1,qwen2_5_7b_instruct_q4_k_m,nonseg_hex_nibble_b16,sha256_hex,narrative_local_walk
detector_pair__0018cc4c9c3cb54377b73846__ordinary_control,detector_pair__0018cc4c9c3cb54377b73846,revision_v1_ed25519_signature_base64_013,e6dd39d5a3bff0c9ab234d0eb566a1a3c2e24fd8b94c795f1a183dba4a7e11fd,dedup-cluster-4e034b2df94f3bce3978af77,train,0,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,ed25519_signature_base64,forum_practical_answer
detector_pair__0018cc4c9c3cb54377b73846__rankcloak,detector_pair__0018cc4c9c3cb54377b73846,revision_v1_ed25519_signature_base64_013,0bf307ce0f628e83929530af795d9d1a0071ac4f5b3c14734799d440c2fc6adf,dedup-cluster-4e034b2df94f3bce3978af77,train,1,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,ed25519_signature_base64,forum_practical_answer
detector_pair__001cad66367e929f07fb8a19__ordinary_control,detector_pair__001cad66367e929f07fb8a19,revision_v1_nonce_96_bit_hex_017,ddc666b704da03aab60312eb63266c3c5149ffd20fc6edf8be08947accc0cefa,dedup-cluster-db1d53788ffd0e16bf61276b,train,0,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,nonce_96_bit_hex,professional_schedule_note
detector_pair__001cad66367e929f07fb8a19__rankcloak,detector_pair__001cad66367e929f07fb8a19,revision_v1_nonce_96_bit_hex_017,57a9fa4b11ff53e3e5b9e286886ec839a50427cdaffaa33cc8eb3a5d8514a2a0,dedup-cluster-db1d53788ffd0e16bf61276b,train,1,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,nonce_96_bit_hex,professional_schedule_note
