stage,dimension,level,row_count
original,label,0,7920
original,label,1,7920
original,model_id,llama3_8b_instruct_q4_k_m,5280
original,model_id,mistral_7b_instruct_v0_3_q4_k_m,5280
original,model_id,qwen2_5_7b_instruct_q4_k_m,5280
original,codec_id,direct_subword_calgacus,2880
original,codec_id,nonseg_ascii_b16,2880
original,codec_id,nonseg_ascii_b8,2880
original,codec_id,nonseg_hex_nibble_b16,1440
original,codec_id,segmented_hex_multi_topic,2880
original,codec_id,segmented_hex_single_topic,2880
original,payload_class,aes256_gcm_base64,1080
original,payload_class,chacha20_poly1305_base64,1080
original,payload_class,ed25519_signature_base64,1080
original,payload_class,hmac_sha256_hex,2880
original,payload_class,nonce_96_bit_hex,2880
original,payload_class,sha256_hex,2880
original,payload_class,token_128_bit_hex,2880
original,payload_class,uuid_v4,1080
original,prompt_template_id,casual_hobby_chat,880
original,prompt_template_id,casual_neighborhood_chat,880
original,prompt_template_id,casual_weekend_chat,880
original,prompt_template_id,explain_biological_process,880
original,prompt_template_id,explain_everyday_system,880
original,prompt_template_id,explain_weather_pattern,880
original,prompt_template_id,forum_learning_answer,880
original,prompt_template_id,forum_practical_answer,880
original,prompt_template_id,forum_purchase_advice,880
original,prompt_template_id,narrative_learning_moment,880
original,prompt_template_id,narrative_local_walk,880
original,prompt_template_id,narrative_small_discovery,880
original,prompt_template_id,procedure_garden_task,880
original,prompt_template_id,procedure_home_task,880
original,prompt_template_id,procedure_simple_meal,880
original,prompt_template_id,professional_process_email,880
original,prompt_template_id,professional_project_update,880
original,prompt_template_id,professional_schedule_note,880
deduplicated,label,0,7919
deduplicated,label,1,7919
deduplicated,model_id,llama3_8b_instruct_q4_k_m,5280
deduplicated,model_id,mistral_7b_instruct_v0_3_q4_k_m,5278
deduplicated,model_id,qwen2_5_7b_instruct_q4_k_m,5280
deduplicated,codec_id,direct_subword_calgacus,2880
deduplicated,codec_id,nonseg_ascii_b16,2880
deduplicated,codec_id,nonseg_ascii_b8,2880
deduplicated,codec_id,nonseg_hex_nibble_b16,1438
deduplicated,codec_id,segmented_hex_multi_topic,2880
deduplicated,codec_id,segmented_hex_single_topic,2880
deduplicated,payload_class,aes256_gcm_base64,1080
deduplicated,payload_class,chacha20_poly1305_base64,1080
deduplicated,payload_class,ed25519_signature_base64,1080
deduplicated,payload_class,hmac_sha256_hex,2880
deduplicated,payload_class,nonce_96_bit_hex,2878
deduplicated,payload_class,sha256_hex,2880
deduplicated,payload_class,token_128_bit_hex,2880
deduplicated,payload_class,uuid_v4,1080
deduplicated,prompt_template_id,casual_hobby_chat,880
deduplicated,prompt_template_id,casual_neighborhood_chat,880
deduplicated,prompt_template_id,casual_weekend_chat,880
deduplicated,prompt_template_id,explain_biological_process,880
deduplicated,prompt_template_id,explain_everyday_system,880
deduplicated,prompt_template_id,explain_weather_pattern,880
deduplicated,prompt_template_id,forum_learning_answer,880
deduplicated,prompt_template_id,forum_practical_answer,880
deduplicated,prompt_template_id,forum_purchase_advice,880
deduplicated,prompt_template_id,narrative_learning_moment,880
deduplicated,prompt_template_id,narrative_local_walk,880
deduplicated,prompt_template_id,narrative_small_discovery,880
deduplicated,prompt_template_id,procedure_garden_task,880
deduplicated,prompt_template_id,procedure_home_task,880
deduplicated,prompt_template_id,procedure_simple_meal,880
deduplicated,prompt_template_id,professional_process_email,880
deduplicated,prompt_template_id,professional_project_update,878
deduplicated,prompt_template_id,professional_schedule_note,880
train,label,0,4952
train,label,1,4952
train,model_id,llama3_8b_instruct_q4_k_m,3302
train,model_id,mistral_7b_instruct_v0_3_q4_k_m,3300
train,model_id,qwen2_5_7b_instruct_q4_k_m,3302
train,codec_id,direct_subword_calgacus,1692
train,codec_id,nonseg_ascii_b16,1692
train,codec_id,nonseg_ascii_b8,1692
train,codec_id,nonseg_hex_nibble_b16,964
train,codec_id,segmented_hex_multi_topic,1932
train,codec_id,segmented_hex_single_topic,1932
train,payload_class,aes256_gcm_base64,540
train,payload_class,chacha20_poly1305_base64,540
train,payload_class,ed25519_signature_base64,558
train,payload_class,hmac_sha256_hex,1968
train,payload_class,nonce_96_bit_hex,1918
train,payload_class,sha256_hex,1920
train,payload_class,token_128_bit_hex,1920
train,payload_class,uuid_v4,540
train,prompt_template_id,casual_hobby_chat,556
train,prompt_template_id,casual_neighborhood_chat,546
train,prompt_template_id,casual_weekend_chat,552
train,prompt_template_id,explain_biological_process,542
train,prompt_template_id,explain_everyday_system,550
train,prompt_template_id,explain_weather_pattern,548
train,prompt_template_id,forum_learning_answer,556
train,prompt_template_id,forum_practical_answer,552
train,prompt_template_id,forum_purchase_advice,554
train,prompt_template_id,narrative_learning_moment,554
train,prompt_template_id,narrative_local_walk,546
train,prompt_template_id,narrative_small_discovery,546
train,prompt_template_id,procedure_garden_task,558
train,prompt_template_id,procedure_home_task,544
train,prompt_template_id,procedure_simple_meal,546
train,prompt_template_id,professional_process_email,546
train,prompt_template_id,professional_project_update,556
train,prompt_template_id,professional_schedule_note,552
validation,label,0,1476
validation,label,1,1476
validation,model_id,llama3_8b_instruct_q4_k_m,984
validation,model_id,mistral_7b_instruct_v0_3_q4_k_m,984
validation,model_id,qwen2_5_7b_instruct_q4_k_m,984
validation,codec_id,direct_subword_calgacus,594
validation,codec_id,nonseg_ascii_b16,594
validation,codec_id,nonseg_ascii_b8,594
validation,codec_id,nonseg_hex_nibble_b16,234
validation,codec_id,segmented_hex_multi_topic,468
validation,codec_id,segmented_hex_single_topic,468
validation,payload_class,aes256_gcm_base64,270
validation,payload_class,chacha20_poly1305_base64,270
validation,payload_class,ed25519_signature_base64,270
validation,payload_class,hmac_sha256_hex,480
validation,payload_class,nonce_96_bit_hex,480
validation,payload_class,sha256_hex,480
validation,payload_class,token_128_bit_hex,432
validation,payload_class,uuid_v4,270
validation,prompt_template_id,casual_hobby_chat,160
validation,prompt_template_id,casual_neighborhood_chat,162
validation,prompt_template_id,casual_weekend_chat,154
validation,prompt_template_id,explain_biological_process,160
validation,prompt_template_id,explain_everyday_system,174
validation,prompt_template_id,explain_weather_pattern,166
validation,prompt_template_id,forum_learning_answer,162
validation,prompt_template_id,forum_practical_answer,168
validation,prompt_template_id,forum_purchase_advice,154
validation,prompt_template_id,narrative_learning_moment,172
validation,prompt_template_id,narrative_local_walk,162
