near_pair_number,left_position,right_position,left_row_id,right_row_id,left_payload_group_id,right_payload_group_id,same_payload_group,left_label,right_label,cosine_similarity,threshold
1,371,2297,detector_pair__06c04e4ffb6e50e698a3f876__rankcloak,detector_pair__3254af7504033dc849ca926c__rankcloak,revision_v1_sha256_hex_028,revision_v1_uuid_v4_005,False,1,1,0.9999999403953552,0.95
2,654,4770,detector_pair__0d2feb58264e97727b62716d__ordinary_control,detector_pair__65f641a48c34b928a59a369e__ordinary_control,revision_v1_nonce_96_bit_hex_056,revision_v1_nonce_96_bit_hex_038,False,0,0,0.9813397526741028,0.95
3,654,4550,detector_pair__0d2feb58264e97727b62716d__ordinary_control,detector_pair__61e2bc3abf585d85b5484d83__ordinary_control,revision_v1_nonce_96_bit_hex_056,revision_v1_nonce_96_bit_hex_038,False,0,0,0.9647804498672485,0.95
4,806,8966,detector_pair__10b180cb50c3cba5e89e373b__ordinary_control,detector_pair__bfe74909c89591c16b2b831b__ordinary_control,revision_v1_nonce_96_bit_hex_034,revision_v1_nonce_96_bit_hex_016,False,0,0,0.9544358849525452,0.95
5,1209,11743,detector_pair__19c220c733b33ed332dc5baa__rankcloak,detector_pair__f9db83cc35ecfed7c6e10180__rankcloak,revision_v1_token_128_bit_hex_000,revision_v1_nonce_96_bit_hex_026,False,1,1,0.997299313545227,0.95
6,1209,2515,detector_pair__19c220c733b33ed332dc5baa__rankcloak,detector_pair__36b4cf7c4eed5a9557721563__rankcloak,revision_v1_token_128_bit_hex_000,revision_v1_nonce_96_bit_hex_026,False,1,1,0.9966232776641846,0.95
7,1209,7913,detector_pair__19c220c733b33ed332dc5baa__rankcloak,detector_pair__a9f71380d26eb8d2f49a16e2__rankcloak,revision_v1_token_128_bit_hex_000,revision_v1_sha256_hex_042,False,1,1,0.9902626276016235,0.95
8,1209,10709,detector_pair__19c220c733b33ed332dc5baa__rankcloak,detector_pair__e43e89ac1fba6db8a90419da__rankcloak,revision_v1_token_128_bit_hex_000,revision_v1_hmac_sha256_hex_033,False,1,1,0.9891217947006226,0.95
9,1253,5103,detector_pair__1ab5731aa3746ffeef3736ed__rankcloak,detector_pair__6d5568e44190fb00f34814f8__rankcloak,revision_v1_hmac_sha256_hex_043,revision_v1_hmac_sha256_hex_043,True,1,1,0.950715959072113,0.95
10,2515,11743,detector_pair__36b4cf7c4eed5a9557721563__rankcloak,detector_pair__f9db83cc35ecfed7c6e10180__rankcloak,revision_v1_nonce_96_bit_hex_026,revision_v1_nonce_96_bit_hex_026,True,1,1,0.9985132217407227,0.95
11,2515,10709,detector_pair__36b4cf7c4eed5a9557721563__rankcloak,detector_pair__e43e89ac1fba6db8a90419da__rankcloak,revision_v1_nonce_96_bit_hex_026,revision_v1_hmac_sha256_hex_033,False,1,1,0.9926512837409973,0.95
12,2515,7913,detector_pair__36b4cf7c4eed5a9557721563__rankcloak,detector_pair__a9f71380d26eb8d2f49a16e2__rankcloak,revision_v1_nonce_96_bit_hex_026,revision_v1_sha256_hex_042,False,1,1,0.9891878366470337,0.95
13,3185,10915,detector_pair__42e8e2dccc503dd587fb6111__rankcloak,detector_pair__e86482cfa7f56711cb68ed06__rankcloak,revision_v1_hmac_sha256_hex_038,revision_v1_hmac_sha256_hex_038,True,1,1,0.9686101078987122,0.95
14,3238,11572,detector_pair__43b6d23f1dfbc632200775e3__ordinary_control,detector_pair__f62c2a148006bbabd4f01f8a__ordinary_control,revision_v1_chacha20_poly1305_base64_001,revision_v1_chacha20_poly1305_base64_030,False,0,0,0.9888005256652832,0.95
15,3238,10204,detector_pair__43b6d23f1dfbc632200775e3__ordinary_control,detector_pair__d9d1a32015a054ab76155810__ordinary_control,revision_v1_chacha20_poly1305_base64_001,revision_v1_sha256_hex_018,False,0,0,0.972524881362915,0.95
16,3238,4699,detector_pair__43b6d23f1dfbc632200775e3__ordinary_control,detector_pair__648ab58c3042d3f83cb682e2__rankcloak,revision_v1_chacha20_poly1305_base64_001,revision_v1_sha256_hex_018,False,0,1,0.963849663734436,0.95
17,4550,11464,detector_pair__61e2bc3abf585d85b5484d83__ordinary_control,detector_pair__f39cd7adca8539d94f09e09a__ordinary_control,revision_v1_nonce_96_bit_hex_038,revision_v1_nonce_96_bit_hex_020,False,0,0,0.9815046787261963,0.95
18,4699,11572,detector_pair__648ab58c3042d3f83cb682e2__rankcloak,detector_pair__f62c2a148006bbabd4f01f8a__ordinary_control,revision_v1_sha256_hex_018,revision_v1_chacha20_poly1305_base64_030,False,1,0,0.9686685800552368,0.95
19,4699,10204,detector_pair__648ab58c3042d3f83cb682e2__rankcloak,detector_pair__d9d1a32015a054ab76155810__ordinary_control,revision_v1_sha256_hex_018,revision_v1_sha256_hex_018,True,1,0,0.9634999632835388,0.95
20,4770,11464,detector_pair__65f641a48c34b928a59a369e__ordinary_control,detector_pair__f39cd7adca8539d94f09e09a__ordinary_control,revision_v1_nonce_96_bit_hex_038,revision_v1_nonce_96_bit_hex_020,False,0,0,0.964067280292511,0.95
21,5488,9760,detector_pair__761ad38b5fdde48a5b6a9c8d__ordinary_control,detector_pair__d0d2942b7ea9413b20cae06a__ordinary_control,revision_v1_nonce_96_bit_hex_046,revision_v1_nonce_96_bit_hex_028,False,0,0,0.9581899046897888,0.95
22,5852,7344,detector_pair__7da00419a47a083916ffbe23__ordinary_control,detector_pair__9e760b4e3d1b9389c694919c__ordinary_control,revision_v1_nonce_96_bit_hex_034,revision_v1_nonce_96_bit_hex_016,False,0,0,0.9876073002815247,0.95
23,7104,7206,detector_pair__996f64a4b102d775b3ddcdf0__ordinary_control,detector_pair__9b6c0f9e36410e3300d1c44b__ordinary_control,revision_v1_uuid_v4_050,revision_v1_token_128_bit_hex_039,False,0,0,0.9658899307250977,0.95
24,7913,11743,detector_pair__a9f71380d26eb8d2f49a16e2__rankcloak,detector_pair__f9db83cc35ecfed7c6e10180__rankcloak,revision_v1_sha256_hex_042,revision_v1_nonce_96_bit_hex_026,False,1,1,0.989703357219696,0.95
25,7913,10709,detector_pair__a9f71380d26eb8d2f49a16e2__rankcloak,detector_pair__e43e89ac1fba6db8a90419da__rankcloak,revision_v1_sha256_hex_042,revision_v1_hmac_sha256_hex_033,False,1,1,0.9816974401473999,0.95
26,8928,10300,detector_pair__bf08b994ceb18d2853f699ee__ordinary_control,detector_pair__db794072ed4fa8f2cc00c7c8__ordinary_control,revision_v1_nonce_96_bit_hex_031,revision_v1_nonce_96_bit_hex_031,True,0,0,0.9949333071708679,0.95
27,10204,11572,detector_pair__d9d1a32015a054ab76155810__ordinary_control,detector_pair__f62c2a148006bbabd4f01f8a__ordinary_control,revision_v1_sha256_hex_018,revision_v1_chacha20_poly1305_base64_030,False,0,0,0.9766106605529785,0.95
28,10709,11743,detector_pair__e43e89ac1fba6db8a90419da__rankcloak,detector_pair__f9db83cc35ecfed7c6e10180__rankcloak,revision_v1_hmac_sha256_hex_033,revision_v1_nonce_96_bit_hex_026,False,1,1,0.9912146925926208,0.95
29,11190,11572,detector_pair__ed8ea75b5a9cfb139b4c1dbc__ordinary_control,detector_pair__f62c2a148006bbabd4f01f8a__ordinary_control,revision_v1_sha256_hex_054,revision_v1_chacha20_poly1305_base64_030,False,0,0,0.9520013332366943,0.95
30,12024,12363,entropy_generated__entropy_trial__008cf9d822bbce2de9cdf4a0,entropy_generated__entropy_trial__7acc163d4251bac86a13bd46,revision_v1_hmac_sha256_hex_003,revision_v1_hmac_sha256_hex_003,True,0,0,0.9647656083106995,0.95
31,12027,12422,entropy_generated__entropy_trial__018029304d78cb5994214720,entropy_generated__entropy_trial__8f0e985b8f3f6cc6be1bf1f8,revision_v1_chacha20_poly1305_base64_003,revision_v1_chacha20_poly1305_base64_003,True,0,0,0.978447437286377,0.95
32,12027,12350,entropy_generated__entropy_trial__018029304d78cb5994214720,entropy_generated__entropy_trial__77685019aadc7681614e0a2f,revision_v1_chacha20_poly1305_base64_003,revision_v1_chacha20_poly1305_base64_003,True,0,0,0.9673911929130554,0.95
33,12031,12666,entropy_generated__entropy_trial__03b7e27c95e72ae0892a4c49,entropy_generated__entropy_trial__f0c30fa8cddcf1ffc737616b,revision_v1_chacha20_poly1305_base64_003,revision_v1_chacha20_poly1305_base64_003,True,0,0,0.9860546588897705,0.95
34,12031,12530,entropy_generated__entropy_trial__03b7e27c95e72ae0892a4c49,entropy_generated__entropy_trial__b6792f50b6484ed034fe7353,revision_v1_chacha20_poly1305_base64_003,revision_v1_chacha20_poly1305_base64_003,True,0,0,0.9803189039230347,0.95
35,12038,12222,entropy_generated__entropy_trial__0541630e1f16623d47d699ac,entropy_generated__entropy_trial__481bbebfb540abb731272f92,revision_v1_sha256_hex_003,revision_v1_sha256_hex_003,True,0,0,0.9731167554855347,0.95
36,12039,12630,entropy_generated__entropy_trial__05c767f2f0cf9a31f5b11fe5,entropy_generated__entropy_trial__e264eb7b4b8d835bd604c142,revision_v1_ed25519_signature_base64_041,revision_v1_ed25519_signature_base64_041,True,0,0,0.9816568493843079,0.95
37,12039,12463,entropy_generated__entropy_trial__05c767f2f0cf9a31f5b11fe5,entropy_generated__entropy_trial__9cc2a5b2da50d2273bf20a2f,revision_v1_ed25519_signature_base64_041,revision_v1_ed25519_signature_base64_041,True,0,0,0.9634409546852112,0.95
38,12052,12289,entropy_generated__entropy_trial__0c66f80324a27be9d3f7caa5,entropy_generated__entropy_trial__5f8f7b05631fb68ec448b68b,revision_v1_chacha20_poly1305_base64_041,revision_v1_chacha20_poly1305_base64_041,True,0,0,0.9956589341163635,0.95
39,12054,12186,entropy_generated__entropy_trial__0ce636dc9b8edefc8ff4d2e4,entropy_generated__entropy_trial__3d73ce9aea5ebdf50d9fc8f2,revision_v1_nonce_96_bit_hex_003,revision_v1_nonce_96_bit_hex_003,True,0,0,0.963036060333252,0.95
40,12056,12244,entropy_generated__entropy_trial__0d7afaa2f34791cd18c2bbed,entropy_generated__entropy_trial__51f09771dc1986b41ff9d94d,revision_v1_token_128_bit_hex_003,revision_v1_token_128_bit_hex_003,True,0,0,0.9537214040756226,0.95
41,12074,12126,entropy_generated__entropy_trial__1420cdde5de7bca869f14165,entropy_generated__entropy_trial__27d137efc838eb6821fac4d6,revision_v1_nonce_96_bit_hex_041,revision_v1_nonce_96_bit_hex_041,True,0,0,0.9618576169013977,0.95
42,12150,12471,entropy_generated__entropy_trial__303a65ee627f220815abc49a,entropy_generated__entropy_trial__9e1b15602390523c4153f2de,revision_v1_aes256_gcm_base64_041,revision_v1_aes256_gcm_base64_041,True,0,0,0.9553393125534058,0.95
