dedup_cluster_id,payload_group_count,row_count,positive_rows,negative_rows,payload_group_ids
dedup-cluster-00190ab339967308d13aeb9a,1,48,24,24,revision_v1_token_128_bit_hex_037
dedup-cluster-00eccca339b70a566fc600ea,1,18,9,9,revision_v1_ed25519_signature_base64_041
dedup-cluster-02069e60ee294b6b19cc3fda,1,18,9,9,revision_v1_chacha20_poly1305_base64_028
dedup-cluster-02520044ca48813bb14ebc78,1,18,9,9,revision_v1_aes256_gcm_base64_003
dedup-cluster-0383747dd5a5f8a5f4e4e52b,1,18,9,9,revision_v1_ed25519_signature_base64_048
dedup-cluster-03b12c24b75fd163404d55e4,1,18,9,9,revision_v1_ed25519_signature_base64_037
dedup-cluster-03d1f8caa28ff2627b36b98f,1,48,24,24,revision_v1_token_128_bit_hex_038
dedup-cluster-0401b1baba09fb1c1437ea35,1,48,24,24,revision_v1_nonce_96_bit_hex_011
dedup-cluster-047b2cb5417d30901a590a18,1,18,9,9,revision_v1_chacha20_poly1305_base64_013
dedup-cluster-054651d73ab2fcb750307ee7,1,48,24,24,revision_v1_token_128_bit_hex_023
dedup-cluster-058fda41f3207b53b75ba98b,1,48,24,24,revision_v1_nonce_96_bit_hex_036
dedup-cluster-0597144dc6356aef849f0b73,1,18,9,9,revision_v1_chacha20_poly1305_base64_007
dedup-cluster-064db5ffad9ed683b6e0fdbd,1,48,24,24,revision_v1_sha256_hex_035
dedup-cluster-07152d65b441d025c2de854b,1,48,24,24,revision_v1_nonce_96_bit_hex_030
dedup-cluster-0752d0b0dd5ea7836db78543,1,48,24,24,revision_v1_nonce_96_bit_hex_010
dedup-cluster-087cbaaa2408a99991319532,1,18,9,9,revision_v1_uuid_v4_052
dedup-cluster-089a5c41a6187c40edeb1a0c,1,48,24,24,revision_v1_nonce_96_bit_hex_007
dedup-cluster-09ed2aa6b13db6df0ab6756d,1,18,9,9,revision_v1_ed25519_signature_base64_042
dedup-cluster-0a09c663faa5a6e644901d76,1,48,24,24,revision_v1_sha256_hex_016
dedup-cluster-0a53df1782d32b924a429e87,1,18,9,9,revision_v1_uuid_v4_040
dedup-cluster-0a8b6ea76ea0423642f3bdd9,1,18,9,9,revision_v1_chacha20_poly1305_base64_037
dedup-cluster-0a8f44c5367ba05788bb8a3a,1,18,9,9,revision_v1_aes256_gcm_base64_022
dedup-cluster-0b53467e512d7aed40a8b7c5,1,48,24,24,revision_v1_hmac_sha256_hex_035
dedup-cluster-0b9033a94dff4651877d3659,1,48,24,24,revision_v1_nonce_96_bit_hex_012
dedup-cluster-0bb540b13755daa6529f643f,1,18,9,9,revision_v1_aes256_gcm_base64_006
dedup-cluster-0d14bae63cd1e6e73dd0fa7a,1,48,24,24,revision_v1_nonce_96_bit_hex_022
dedup-cluster-0de80089e8762fad04cb9524,1,18,9,9,revision_v1_ed25519_signature_base64_046
dedup-cluster-0eb47bf23cdaa7b54a0335a2,1,48,24,24,revision_v1_token_128_bit_hex_055
dedup-cluster-0f86d19fbad1d704affd1c2e,1,18,9,9,revision_v1_aes256_gcm_base64_007
dedup-cluster-0fa6270b95556a3e58f35a88,1,18,9,9,revision_v1_chacha20_poly1305_base64_049
dedup-cluster-10e3c842a989d98c8ff753d6,1,18,9,9,revision_v1_uuid_v4_022
dedup-cluster-11f5b39b924fa5ce9c6957c7,1,18,9,9,revision_v1_uuid_v4_031
dedup-cluster-1309181ed8aa479328b3f0a7,1,18,9,9,revision_v1_aes256_gcm_base64_004
dedup-cluster-133b7f7eae3c4fc7f563ffcd,1,48,24,24,revision_v1_nonce_96_bit_hex_055
dedup-cluster-140196bfa49032b4c4241f50,1,48,24,24,revision_v1_hmac_sha256_hex_029
dedup-cluster-14033d311aabb429c68455ab,1,18,9,9,revision_v1_chacha20_poly1305_base64_035
dedup-cluster-142c2029f559e610965db0fc,1,18,9,9,revision_v1_uuid_v4_028
dedup-cluster-14c615419b059ddd7c4aa006,1,18,9,9,revision_v1_ed25519_signature_base64_024
dedup-cluster-1506e6709eb11ec4c3c86331,2,66,33,33,revision_v1_token_128_bit_hex_039;revision_v1_uuid_v4_050
dedup-cluster-158163f6d98ce5c7077c5cb3,1,48,24,24,revision_v1_sha256_hex_011
dedup-cluster-15c72e9e7a44d0d2aa787f2d,1,18,9,9,revision_v1_ed25519_signature_base64_035
dedup-cluster-1618adfec5a51e2d2c4f669d,1,18,9,9,revision_v1_uuid_v4_019
dedup-cluster-163493858dcf66d022a7fe90,1,48,24,24,revision_v1_hmac_sha256_hex_027
dedup-cluster-1658921bbd26cede8f32a38a,1,18,9,9,revision_v1_ed25519_signature_base64_033
dedup-cluster-17076ff9269019d74c924b01,1,48,24,24,revision_v1_nonce_96_bit_hex_047
dedup-cluster-172137bb97b31f4b7db6b7ae,1,48,24,24,revision_v1_sha256_hex_032
dedup-cluster-1781dfd7668b363d8d97f42e,1,18,9,9,revision_v1_uuid_v4_014
dedup-cluster-17900f3eff20bb84e24fa1da,1,48,24,24,revision_v1_token_128_bit_hex_021
dedup-cluster-17b404c37b394d8d4a9e904d,1,18,9,9,revision_v1_chacha20_poly1305_base64_026
dedup-cluster-19dcf15b574892a0afa24b9b,1,48,24,24,revision_v1_token_128_bit_hex_010
dedup-cluster-1a58c45e1a5617daccb29f6e,1,18,9,9,revision_v1_aes256_gcm_base64_035
dedup-cluster-1a88735e2967b1b509e24d6b,1,48,24,24,revision_v1_token_128_bit_hex_015
dedup-cluster-1aad62135c7a4ea593d27bdb,1,18,9,9,revision_v1_ed25519_signature_base64_014
dedup-cluster-1ad3df916a9f0ee2bcfba8d6,1,18,9,9,revision_v1_uuid_v4_027
dedup-cluster-1ae66c809db7c888edc24849,1,48,24,24,revision_v1_sha256_hex_020
dedup-cluster-1b00f31aa1e45ecbdc304bed,1,18,9,9,revision_v1_uuid_v4_039
dedup-cluster-1bddae7f3b8e5c7a818a92d2,6,258,129,129,revision_v1_ed25519_signature_base64_028;revision_v1_nonce_96_bit_hex_057;revision_v1_sha256_hex_040;revision_v1_token_128_bit_hex_033;revision_v1_token_128_bit_hex_044;revision_v1_token_128_bit_hex_045
dedup-cluster-1bfe0b32bac3fbfe62622c65,1,18,9,9,revision_v1_ed25519_signature_base64_056
dedup-cluster-1c027e58a52b7519b2a571c6,1,48,24,24,revision_v1_token_128_bit_hex_031
dedup-cluster-1c5e48cb2077e92f40c9b731,1,18,9,9,revision_v1_chacha20_poly1305_base64_020
dedup-cluster-1d1bea482f900a9bc2d26310,1,48,24,24,revision_v1_nonce_96_bit_hex_037
dedup-cluster-1d730332b470450b93b8b767,1,48,24,24,revision_v1_hmac_sha256_hex_006
dedup-cluster-1e608c8c5860067de2774eaa,1,18,9,9,revision_v1_uuid_v4_008
dedup-cluster-1e85096517059ca2585e10f1,1,48,24,24,revision_v1_nonce_96_bit_hex_044
dedup-cluster-1ee4b534cd708fac58a4e520,1,18,9,9,revision_v1_ed25519_signature_base64_036
dedup-cluster-1f1d3eb2576a9b41181f7d48,1,18,9,9,revision_v1_ed25519_signature_base64_006
dedup-cluster-1faeac26a4e77e13b8350697,1,18,9,9,revision_v1_aes256_gcm_base64_024
dedup-cluster-1fbc53be5b90e4fb2159f7ea,1,18,9,9,revision_v1_ed25519_signature_base64_018
dedup-cluster-20f1129c0dccafc381ccb8ab,1,48,24,24,revision_v1_hmac_sha256_hex_005
dedup-cluster-21724430ac9765521f1234e5,1,48,24,24,revision_v1_token_128_bit_hex_056
dedup-cluster-21c1f1723b6238ac14216880,1,18,9,9,revision_v1_uuid_v4_042
dedup-cluster-21fa4e155104085745014555,1,18,9,9,revision_v1_uuid_v4_012
dedup-cluster-23688669a27f472f3b4c7be0,1,18,9,9,revision_v1_uuid_v4_038
dedup-cluster-237faafa65b49354f2811074,1,18,9,9,revision_v1_chacha20_poly1305_base64_042
dedup-cluster-23821a91b342f8bd757bd354,1,18,9,9,revision_v1_aes256_gcm_base64_009
dedup-cluster-24417433e41542e23709f998,1,18,9,9,revision_v1_aes256_gcm_base64_054
dedup-cluster-2447f2f757732f18a1468db2,1,18,9,9,revision_v1_aes256_gcm_base64_044
dedup-cluster-2474b2a532180733b2583cc4,1,18,9,9,revision_v1_uuid_v4_059
dedup-cluster-258822e2bc498a71b7653506,1,48,24,24,revision_v1_nonce_96_bit_hex_045
dedup-cluster-25ae348877bb99733ecb8289,1,48,24,24,revision_v1_token_128_bit_hex_028
dedup-cluster-25e8125b00cb0a0fe72d530a,1,48,24,24,revision_v1_token_128_bit_hex_049
dedup-cluster-264514c281dbf7eaf3db5a9b,1,48,24,24,revision_v1_nonce_96_bit_hex_008
dedup-cluster-26a129b97d4ffc80e5e758e5,1,18,9,9,revision_v1_chacha20_poly1305_base64_006
dedup-cluster-26d0e390c431894214a50804,1,18,9,9,revision_v1_chacha20_poly1305_base64_004
dedup-cluster-2742a41454b76598cec25032,1,18,9,9,revision_v1_aes256_gcm_base64_039
dedup-cluster-285942776c1fc81e3d79c586,1,48,24,24,revision_v1_token_128_bit_hex_029
