row_id,pair_id,payload_group_id,label,partition,model_id,codec_id,payload_class,prompt_template_id,representation_name,generation_study,evaluation_id,study_source,gate_level,quantization,plan_id,pairing_unit_id,normalized_text_sha256,dedup_cluster_id
quantization_generated__quantization_trial__0015a3bf833eddda46c45970,detector_pair__0a5dcbaddd3ef55f4ea18fdb,revision_v1_nonce_96_bit_hex_054,0,test,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,nonce_96_bit_hex,procedure_simple_meal,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q4_K_M,quantization_trial__0015a3bf833eddda46c45970,quantization_pair__23f9732287300b006328ff49,f70b6f04b5f4ee8732cba129b7cb219c0890b4b2c5feb14039e4bb9367db5c32,locked-dedup-cluster-7c650d38321313478e14a048
quantization_generated__quantization_trial__00236aacb00c1a32f4250621,detector_pair__9892cf4401179f56b5cd9d8f,revision_v1_token_128_bit_hex_057,0,test,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,token_128_bit_hex,professional_schedule_note,ascii_b8,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q4_K_M,quantization_trial__00236aacb00c1a32f4250621,quantization_pair__89bf50d83d95bfa0cfc0cd6b,a2cc30f8d4822fd6be8ddce5436e0350313dcd2506a7d8041e4918573a41f6ae,locked-dedup-cluster-e303bfe023e32c25389ebaf9
quantization_generated__quantization_trial__003aaa8bb047f76fc60d62d1,detector_pair__9ad966a221fcc367ffb8ad80,revision_v1_nonce_96_bit_hex_013,1,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b16,nonce_96_bit_hex,narrative_learning_moment,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__003aaa8bb047f76fc60d62d1,quantization_pair__9e707bd3af161e8816d75a4e,9034d3fdcee9be3b0d60851504a1c303122789ec2d6919f948fab55e95ac3f7f,locked-dedup-cluster-95e2f27c2b585a3d4fdfda70
quantization_generated__quantization_trial__00da313af5bc30e27d675b49,detector_pair__c2135ed8a0eddbc0608ffbc8,revision_v1_ed25519_signature_base64_048,1,test,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,ed25519_signature_base64,forum_purchase_advice,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q4_K_M,quantization_trial__00da313af5bc30e27d675b49,quantization_pair__f2516198b6ba5b271b971c1e,4d5ae924453cddb23e18a688ffec7315eaeae2f1bf9286138f94a3209fbcec1e,locked-dedup-cluster-0383747dd5a5f8a5f4e4e52b
quantization_generated__quantization_trial__00fd802e4bb160e40b4992a0,detector_pair__e01c1f109e91eb86c498659e,revision_v1_hmac_sha256_hex_034,0,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b16,hmac_sha256_hex,casual_hobby_chat,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__00fd802e4bb160e40b4992a0,quantization_pair__88d80a8c347e2f551c336ddc,68775f2f39f556f5728da31892962f88291ec1b161ec7dcd751cbb7fbd0a74c3,locked-dedup-cluster-e448157f9945d3e1cba1600b
quantization_generated__quantization_trial__010d6d869d30bf71945a15eb,detector_pair__438bcaaf0933f1bdd8e22308,revision_v1_token_128_bit_hex_047,0,validation,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b16,token_128_bit_hex,procedure_garden_task,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__010d6d869d30bf71945a15eb,quantization_pair__abb9ba25de77bd48483aa57e,3f19990cd9c13f2a1c4880eb66749e81aa55d73bbf25a42b3be74a1c7480a6e7,locked-dedup-cluster-403c836b92dc86a3f953e63f
quantization_generated__quantization_trial__0157a54333e6f667cbaa073b,detector_pair__965afeed5f2ed191bfc7b841,revision_v1_sha256_hex_026,0,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b8,sha256_hex,procedure_garden_task,ascii_b8,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__0157a54333e6f667cbaa073b,quantization_pair__b20e1eba1d42d70859fe3091,ccd1af16bc4f9e97f2b3a2bfb714a9a888eb2572e79d3d0d9de8f4f0890bddb6,locked-dedup-cluster-58ca8ceb2539f670c4e1a986
quantization_generated__quantization_trial__0182daf05295feb4a86d59e9,detector_pair__bc6e060c11ae410233a924c4,revision_v1_ed25519_signature_base64_001,0,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b16,ed25519_signature_base64,procedure_garden_task,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__0182daf05295feb4a86d59e9,quantization_pair__b402d69c94bcd44db859603a,2d3651a88767b3db73973e7f85da391e83e50f25782821eba3c57307735c5147,locked-dedup-cluster-5b9dd88bf5e7e73a8e168e80
quantization_generated__quantization_trial__01949f71b1b762d88eb29e4e,detector_pair__a27248dc26ca1edf145930d0,revision_v1_uuid_v4_056,1,test,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,uuid_v4,professional_process_email,ascii_b8,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q4_K_M,quantization_trial__01949f71b1b762d88eb29e4e,quantization_pair__70064a9d4a67fa1169af50db,4074b5b40a19cf94a251eda3d7deeddc5a6323e62846675950b402dc9d205446,locked-dedup-cluster-f9ad8da8cff8f544eb822985
quantization_generated__quantization_trial__01a64a5d1e06b0119f2133c7,detector_pair__3f56575b6729bf0769e0b2fc,revision_v1_nonce_96_bit_hex_040,0,validation,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b16,nonce_96_bit_hex,professional_project_update,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__01a64a5d1e06b0119f2133c7,quantization_pair__c7c2aed76945d33880c04423,ec1acdf552d0fee8b56649ca0bd3e116c07e438014dbfd4ee4d869858cfe484a,locked-dedup-cluster-2f91866a4152689c8a27b0ea
