codec_id,control_id,evidence_status,label,language,model_id,pair_id,payload_class,payload_group_id,preprocess_schema_version,prompt_category,prompt_template_id,protocol_variant,representation_name,row_id,source_trial_id,view,normalized_text_sha256,dedup_cluster_id,partition,generation_study,evaluation_id,study_source,gate_level,quantization,plan_id,experimental_cell_id,removal_reason
segmented_hex_multi_topic,revision_v1_primary_v2_payload_fidelity_v2__8a634e8c1d25014ec54e,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,0,en,llama3_8b_instruct_q4_k_m,detector_pair__017013d3f228e1dc756c5635,sha256_hex,revision_v1_sha256_hex_040,2.0,personal_narrative_blog,narrative_small_discovery,segmented_hex_multi_topic,hex_nibble,detector_pair__017013d3f228e1dc756c5635__ordinary_control,revision_v1_primary_v2_payload_fidelity_v2__06ca61126c06d5d60033,forced_span,353deb010778dbd27385dab09d8e6f54a57a71101e8105816f3b4e3fbd566470,dedup-cluster-1bddae7f3b8e5c7a818a92d2,train,entropy,entropy_gates,historical_deduplicated_fit,not_applicable_historical_fit,historical_mixed_q4,,,near_duplicate_cross_partition_complete_payload_group
segmented_hex_multi_topic,revision_v1_primary_v2_payload_fidelity_v2__8a634e8c1d25014ec54e,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,1,en,llama3_8b_instruct_q4_k_m,detector_pair__017013d3f228e1dc756c5635,sha256_hex,revision_v1_sha256_hex_040,2.0,personal_narrative_blog,narrative_small_discovery,segmented_hex_multi_topic,hex_nibble,detector_pair__017013d3f228e1dc756c5635__rankcloak,revision_v1_primary_v2_payload_fidelity_v2__06ca61126c06d5d60033,forced_span,28b461bfd350469b74d25a0b9082438ea69b90e4fbb13283521cdd300dc60e7d,dedup-cluster-1bddae7f3b8e5c7a818a92d2,train,entropy,entropy_gates,historical_deduplicated_fit,not_applicable_historical_fit,historical_mixed_q4,,,near_duplicate_cross_partition_complete_payload_group
nonseg_ascii_b8,revision_v1_primary_v2_payload_fidelity_v2__ff1a5d9436151c051c3b,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,0,en,mistral_7b_instruct_v0_3_q4_k_m,detector_pair__017427b79452ef7c3c9b0ff5,token_128_bit_hex,revision_v1_token_128_bit_hex_033,2.0,forum_question_answer,forum_purchase_advice,nonseg_ascii_b8,ascii_b8,detector_pair__017427b79452ef7c3c9b0ff5__ordinary_control,revision_v1_primary_v2_payload_fidelity_v2__77e7b8586904293697b8,full_message,4352bac8319e117aa14a79324320a74a88cbb3bb2bd27fdc0d53556a5c48a982,dedup-cluster-1bddae7f3b8e5c7a818a92d2,train,entropy,entropy_gates,historical_deduplicated_fit,not_applicable_historical_fit,historical_mixed_q4,,,near_duplicate_cross_partition_complete_payload_group
nonseg_ascii_b8,revision_v1_primary_v2_payload_fidelity_v2__ff1a5d9436151c051c3b,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,1,en,mistral_7b_instruct_v0_3_q4_k_m,detector_pair__017427b79452ef7c3c9b0ff5,token_128_bit_hex,revision_v1_token_128_bit_hex_033,2.0,forum_question_answer,forum_purchase_advice,nonseg_ascii_b8,ascii_b8,detector_pair__017427b79452ef7c3c9b0ff5__rankcloak,revision_v1_primary_v2_payload_fidelity_v2__77e7b8586904293697b8,full_message,0d8c9757ba47b0ae53b3a8ca4dc97baa68806f975b5c3239288050d5fce3463b,dedup-cluster-1bddae7f3b8e5c7a818a92d2,train,entropy,entropy_gates,historical_deduplicated_fit,not_applicable_historical_fit,historical_mixed_q4,,,near_duplicate_cross_partition_complete_payload_group
nonseg_ascii_b8,revision_v1_primary_v2_payload_fidelity_v2__4c6bef4437604e9216a6,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,0,en,mistral_7b_instruct_v0_3_q4_k_m,detector_pair__022aa1b675ca488949a54661,token_128_bit_hex,revision_v1_token_128_bit_hex_044,2.0,professional_communication,professional_project_update,nonseg_ascii_b8,ascii_b8,detector_pair__022aa1b675ca488949a54661__ordinary_control,revision_v1_primary_v2_payload_fidelity_v2__2f02d4c9df29e5d9ee46,full_message,fa367ffadd867b3c4829fe812f44160df8491e731b1b72a8eacb81b78fa236ea,dedup-cluster-1bddae7f3b8e5c7a818a92d2,train,entropy,entropy_gates,historical_deduplicated_fit,not_applicable_historical_fit,historical_mixed_q4,,,near_duplicate_cross_partition_complete_payload_group
nonseg_ascii_b8,revision_v1_primary_v2_payload_fidelity_v2__4c6bef4437604e9216a6,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,1,en,mistral_7b_instruct_v0_3_q4_k_m,detector_pair__022aa1b675ca488949a54661,token_128_bit_hex,revision_v1_token_128_bit_hex_044,2.0,professional_communication,professional_project_update,nonseg_ascii_b8,ascii_b8,detector_pair__022aa1b675ca488949a54661__rankcloak,revision_v1_primary_v2_payload_fidelity_v2__2f02d4c9df29e5d9ee46,full_message,bc667b17847dfad8bd41fba251b3c2c2879bff23a6f6e63e3555bcd856d54369,dedup-cluster-1bddae7f3b8e5c7a818a92d2,train,entropy,entropy_gates,historical_deduplicated_fit,not_applicable_historical_fit,historical_mixed_q4,,,near_duplicate_cross_partition_complete_payload_group
direct_subword_calgacus,revision_v1_primary_v2_payload_fidelity_v2__4d14c1cd9cfe60896c2e,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,0,en,mistral_7b_instruct_v0_3_q4_k_m,detector_pair__066619ae38781f44532d68df,token_128_bit_hex,revision_v1_token_128_bit_hex_002,2.0,professional_communication,professional_process_email,direct_subword_calgacus,direct_subword,detector_pair__066619ae38781f44532d68df__ordinary_control,revision_v1_primary_v2_payload_fidelity_v2__a597560ebfcaa7cd9a35,full_message,313b68cdef67236eaeec993b7ad6e30dc439893b293b0b1c8e4fe9972512f1e3,dedup-cluster-35b6105f6e012664ee7fb95a,train,entropy,entropy_gates,historical_deduplicated_fit,not_applicable_historical_fit,historical_mixed_q4,,,near_duplicate_cross_partition_complete_payload_group
direct_subword_calgacus,revision_v1_primary_v2_payload_fidelity_v2__4d14c1cd9cfe60896c2e,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,1,en,mistral_7b_instruct_v0_3_q4_k_m,detector_pair__066619ae38781f44532d68df,token_128_bit_hex,revision_v1_token_128_bit_hex_002,2.0,professional_communication,professional_process_email,direct_subword_calgacus,direct_subword,detector_pair__066619ae38781f44532d68df__rankcloak,revision_v1_primary_v2_payload_fidelity_v2__a597560ebfcaa7cd9a35,full_message,0ee164c59d591bbb1e8bbfc4d78024377ac2bf70e7a828fafd7f274c8ef339a7,dedup-cluster-35b6105f6e012664ee7fb95a,train,entropy,entropy_gates,historical_deduplicated_fit,not_applicable_historical_fit,historical_mixed_q4,,,near_duplicate_cross_partition_complete_payload_group
segmented_hex_multi_topic,revision_v1_primary_v2_payload_fidelity_v2__5eb2fc5c26faa3f9e694,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,0,en,mistral_7b_instruct_v0_3_q4_k_m,detector_pair__08cba3e2a2e5aaf307ab5cc8,token_128_bit_hex,revision_v1_token_128_bit_hex_044,2.0,professional_communication,professional_project_update,segmented_hex_multi_topic,hex_nibble,detector_pair__08cba3e2a2e5aaf307ab5cc8__ordinary_control,revision_v1_primary_v2_payload_fidelity_v2__9ded4b8756698c5bbb32,forced_span,872e68953fbcfb72049bc57f71458154b27510790652033ca8a7f45ef023b77e,dedup-cluster-1bddae7f3b8e5c7a818a92d2,train,entropy,entropy_gates,historical_deduplicated_fit,not_applicable_historical_fit,historical_mixed_q4,,,near_duplicate_cross_partition_complete_payload_group
segmented_hex_multi_topic,revision_v1_primary_v2_payload_fidelity_v2__5eb2fc5c26faa3f9e694,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,1,en,mistral_7b_instruct_v0_3_q4_k_m,detector_pair__08cba3e2a2e5aaf307ab5cc8,token_128_bit_hex,revision_v1_token_128_bit_hex_044,2.0,professional_communication,professional_project_update,segmented_hex_multi_topic,hex_nibble,detector_pair__08cba3e2a2e5aaf307ab5cc8__rankcloak,revision_v1_primary_v2_payload_fidelity_v2__9ded4b8756698c5bbb32,forced_span,454f8c6a7d7c31b2311a96fac99ba0cdded18f9a3e337dccde30b5831faf0f08,dedup-cluster-1bddae7f3b8e5c7a818a92d2,train,entropy,entropy_gates,historical_deduplicated_fit,not_applicable_historical_fit,historical_mixed_q4,,,near_duplicate_cross_partition_complete_payload_group
