dedup_cluster_id,partition,payload_group_count,row_count,positive_rows,negative_rows,payload_group_ids
locked-dedup-cluster-00eccca339b70a566fc600ea,test,1,32,16,16,revision_v1_ed25519_signature_base64_041
locked-dedup-cluster-02520044ca48813bb14ebc78,test,1,34,17,17,revision_v1_aes256_gcm_base64_003
locked-dedup-cluster-0383747dd5a5f8a5f4e4e52b,train,1,18,9,9,revision_v1_ed25519_signature_base64_048
locked-dedup-cluster-03b12c24b75fd163404d55e4,train,1,18,9,9,revision_v1_ed25519_signature_base64_037
locked-dedup-cluster-03d1f8caa28ff2627b36b98f,train,1,48,24,24,revision_v1_token_128_bit_hex_038
locked-dedup-cluster-0401b1baba09fb1c1437ea35,validation,1,48,24,24,revision_v1_nonce_96_bit_hex_011
locked-dedup-cluster-058fda41f3207b53b75ba98b,train,1,48,24,24,revision_v1_nonce_96_bit_hex_036
locked-dedup-cluster-064db5ffad9ed683b6e0fdbd,validation,1,48,24,24,revision_v1_sha256_hex_035
locked-dedup-cluster-0752d0b0dd5ea7836db78543,train,1,48,24,24,revision_v1_nonce_96_bit_hex_010
locked-dedup-cluster-087cbaaa2408a99991319532,validation,1,18,9,9,revision_v1_uuid_v4_052
locked-dedup-cluster-09ed2aa6b13db6df0ab6756d,train,1,18,9,9,revision_v1_ed25519_signature_base64_042
locked-dedup-cluster-0a8b6ea76ea0423642f3bdd9,train,1,18,9,9,revision_v1_chacha20_poly1305_base64_037
locked-dedup-cluster-0a8f44c5367ba05788bb8a3a,train,1,18,9,9,revision_v1_aes256_gcm_base64_022
locked-dedup-cluster-0b9033a94dff4651877d3659,train,1,48,24,24,revision_v1_nonce_96_bit_hex_012
locked-dedup-cluster-0bb540b13755daa6529f643f,train,1,18,9,9,revision_v1_aes256_gcm_base64_006
locked-dedup-cluster-0de80089e8762fad04cb9524,validation,1,18,9,9,revision_v1_ed25519_signature_base64_046
locked-dedup-cluster-0eb47bf23cdaa7b54a0335a2,validation,1,48,24,24,revision_v1_token_128_bit_hex_055
locked-dedup-cluster-0fa6270b95556a3e58f35a88,train,1,18,9,9,revision_v1_chacha20_poly1305_base64_049
locked-dedup-cluster-10e3c842a989d98c8ff753d6,train,1,18,9,9,revision_v1_uuid_v4_022
locked-dedup-cluster-11f5b39b924fa5ce9c6957c7,train,1,18,9,9,revision_v1_uuid_v4_031
locked-dedup-cluster-133b7f7eae3c4fc7f563ffcd,train,1,48,24,24,revision_v1_nonce_96_bit_hex_055
locked-dedup-cluster-140196bfa49032b4c4241f50,train,1,48,24,24,revision_v1_hmac_sha256_hex_029
locked-dedup-cluster-14033d311aabb429c68455ab,train,1,18,9,9,revision_v1_chacha20_poly1305_base64_035
locked-dedup-cluster-142c2029f559e610965db0fc,train,1,18,9,9,revision_v1_uuid_v4_028
locked-dedup-cluster-14c615419b059ddd7c4aa006,train,1,18,9,9,revision_v1_ed25519_signature_base64_024
locked-dedup-cluster-1506e6709eb11ec4c3c86331,train,2,66,33,33,revision_v1_token_128_bit_hex_039;revision_v1_uuid_v4_050
locked-dedup-cluster-158163f6d98ce5c7077c5cb3,train,1,48,24,24,revision_v1_sha256_hex_011
locked-dedup-cluster-15c72e9e7a44d0d2aa787f2d,train,1,18,9,9,revision_v1_ed25519_signature_base64_035
locked-dedup-cluster-1618adfec5a51e2d2c4f669d,train,1,18,9,9,revision_v1_uuid_v4_019
locked-dedup-cluster-163493858dcf66d022a7fe90,train,1,48,24,24,revision_v1_hmac_sha256_hex_027
locked-dedup-cluster-1658921bbd26cede8f32a38a,validation,1,18,9,9,revision_v1_ed25519_signature_base64_033
locked-dedup-cluster-17076ff9269019d74c924b01,train,1,48,24,24,revision_v1_nonce_96_bit_hex_047
locked-dedup-cluster-172137bb97b31f4b7db6b7ae,train,1,48,24,24,revision_v1_sha256_hex_032
