plan_id,experimental_cell_id,model_id,payload_name,payload_class,representation_name,prompt_template_id,gate_level,requested_ranks,consumed_ranks,remaining_ranks,tokens_used,token_budget,payload_completion,threshold_bits,eligible_fraction,mean_entropy_bits,mean_entropy_margin_bits,longest_below_start,longest_below_stop,longest_below_length,first_low_progress_window_start,low_progress_window_definition,capacity_failure,selection_role,source_path,source_sha256
entropy_trial__1019b5cade7e5b86277d14f8,entropy_cell__b4dd6955d2588a9777ba0da2,qwen2_5_7b_instruct_q4_k_m,revision_v1_sha256_hex_041,sha256_hex,ascii_b16,professional_project_update,moderate,128,128,0,204,768,True,1.3619193336989834,0.6274509803921569,2.1836140291167316,0.8216946954177482,22,30,8,,first full 32 positions with at most 2 consumed ranks,,matched_moderate,results/revision_v3/generation/raw/entropy/qwen2_5_7b_instruct_q4_k_m/entropy_trial__1019b5cade7e5b86277d14f8.json,573ee2e6ee331b877e96599b806ed774f12c6489a1f118da1ac91a30f96c80c9
entropy_trial__2b5e682d0007193b56249891,entropy_cell__0335e08e2f5515b25f2c8056,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_hmac_sha256_hex_003,hmac_sha256_hex,ascii_b16,explain_everyday_system,strict,128,110,18,768,768,False,1.9175505039890282,0.14322916666666666,0.8891897315181123,-1.0283607724709158,382,432,50,271,first full 32 positions with at most 2 consumed ranks,maximum_generated_tokens_reached_before_payload_completion,strict_failure,results/revision_v3/generation/raw/entropy/mistral_7b_instruct_v0_3_q4_k_m/entropy_trial__2b5e682d0007193b56249891.json,f3d87a8e52c0e5dfec5efe7f53b9a1cc8e230dd7e671d3291519e0da8a388563
entropy_trial__383f9a8c5997f522387af4d9,entropy_cell__822d5554590d2114c6d47104,qwen2_5_7b_instruct_q4_k_m,revision_v1_token_128_bit_hex_003,token_128_bit_hex,ascii_b16,explain_everyday_system,ungated,64,64,0,64,64,True,,1.0,2.9025329903969994,,0,0,0,,first full 32 positions with at most 2 consumed ranks,,matched_ungated,results/revision_v3/generation/raw/entropy/qwen2_5_7b_instruct_q4_k_m/entropy_trial__383f9a8c5997f522387af4d9.json,7cc20390b43ac731567e1a9fc9945f0b4018a453435beabb1b66c45ffc5e0320
entropy_trial__3e728079d9569def3018a4fe,entropy_cell__4165252300fa0539cfe260dc,qwen2_5_7b_instruct_q4_k_m,revision_v1_sha256_hex_003,sha256_hex,ascii_b16,explain_everyday_system,moderate,128,128,0,196,768,True,1.3619193336989834,0.6530612244897959,2.0605249366537493,0.6986056029547658,151,157,6,,first full 32 positions with at most 2 consumed ranks,,matched_moderate,results/revision_v3/generation/raw/entropy/qwen2_5_7b_instruct_q4_k_m/entropy_trial__3e728079d9569def3018a4fe.json,4c5516c4543ca578f2ed24e41d893671a84c8b7567b90b4ce37cd945b3cb2148
entropy_trial__4260abe0ff9d9bb19b971362,entropy_cell__822d5554590d2114c6d47104,qwen2_5_7b_instruct_q4_k_m,revision_v1_token_128_bit_hex_003,token_128_bit_hex,ascii_b16,explain_everyday_system,moderate,64,64,0,93,384,True,1.3619193336989834,0.6881720430107527,2.0122477477568244,0.6503284140578409,25,31,6,,first full 32 positions with at most 2 consumed ranks,,matched_moderate,results/revision_v3/generation/raw/entropy/qwen2_5_7b_instruct_q4_k_m/entropy_trial__4260abe0ff9d9bb19b971362.json,03100cac70749c77b7674592927959849190b6c7438003ed294a2a2aaa1ea92a
entropy_trial__448d04f6e62e4c75b366b814,entropy_cell__0335e08e2f5515b25f2c8056,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_hmac_sha256_hex_003,hmac_sha256_hex,ascii_b16,explain_everyday_system,moderate,128,128,0,188,768,True,0.966861238282291,0.6808510638297872,2.1231829977414156,1.1563217594591246,139,145,6,,first full 32 positions with at most 2 consumed ranks,,matched_moderate,results/revision_v3/generation/raw/entropy/mistral_7b_instruct_v0_3_q4_k_m/entropy_trial__448d04f6e62e4c75b366b814.json,bc02b99ee5532fe5601ef6f485e6b4d65fe9b31e3ab6994b77c463e35b639682
entropy_trial__46aecf56a25cd045b329f0ef,entropy_cell__b323b59ca2f3c8b049e420ad,qwen2_5_7b_instruct_q4_k_m,revision_v1_hmac_sha256_hex_041,hmac_sha256_hex,ascii_b16,professional_project_update,ungated,128,128,0,128,128,True,,1.0,2.7554722164303302,,0,0,0,,first full 32 positions with at most 2 consumed ranks,,matched_ungated,results/revision_v3/generation/raw/entropy/qwen2_5_7b_instruct_q4_k_m/entropy_trial__46aecf56a25cd045b329f0ef.json,7597fa40fa5cea1008b8d2feb5060560400737fad3b1abf1a865954d69129567
entropy_trial__65fa991a5caba02457a5ff2a,entropy_cell__b323b59ca2f3c8b049e420ad,qwen2_5_7b_instruct_q4_k_m,revision_v1_hmac_sha256_hex_041,hmac_sha256_hex,ascii_b16,professional_project_update,moderate,128,128,0,166,768,True,1.3619193336989834,0.7710843373493976,2.635943041074281,1.2740237073752976,22,26,4,,first full 32 positions with at most 2 consumed ranks,,matched_moderate,results/revision_v3/generation/raw/entropy/qwen2_5_7b_instruct_q4_k_m/entropy_trial__65fa991a5caba02457a5ff2a.json,6e5d60ddaf6bd0c6b9836370f3ff41bcb95f3035f7223b174d48b57c768859d8
entropy_trial__68a19cb7863d84e222e9545c,entropy_cell__4165252300fa0539cfe260dc,qwen2_5_7b_instruct_q4_k_m,revision_v1_sha256_hex_003,sha256_hex,ascii_b16,explain_everyday_system,ungated,128,128,0,128,128,True,,1.0,2.9762705053709966,,0,0,0,,first full 32 positions with at most 2 consumed ranks,,matched_ungated,results/revision_v3/generation/raw/entropy/qwen2_5_7b_instruct_q4_k_m/entropy_trial__68a19cb7863d84e222e9545c.json,44d6aaf73d9a8f0e3cbeb8a7fa32a0d1644ef50be424c72278deb050b449e270
entropy_trial__7a501c8e9eb327d50bad30d9,entropy_cell__fedb9cd4cca604a661152132,qwen2_5_7b_instruct_q4_k_m,revision_v1_chacha20_poly1305_base64_041,chacha20_poly1305_base64,ascii_b16,professional_project_update,moderate,128,128,0,166,768,True,1.3619193336989834,0.7710843373493976,2.6778062200152255,1.315886886316242,50,53,3,,first full 32 positions with at most 2 consumed ranks,,matched_moderate,results/revision_v3/generation/raw/entropy/qwen2_5_7b_instruct_q4_k_m/entropy_trial__7a501c8e9eb327d50bad30d9.json,2fe98a5c0374849aeefd551d7903856761210f1dd388fee27719b3a284d1f9de
entropy_trial__8aee3f48293ad5394ea38525,entropy_cell__0335e08e2f5515b25f2c8056,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_hmac_sha256_hex_003,hmac_sha256_hex,ascii_b16,explain_everyday_system,ungated,128,128,0,128,128,True,,1.0,3.376585173064073,,0,0,0,,first full 32 positions with at most 2 consumed ranks,,matched_ungated,results/revision_v3/generation/raw/entropy/mistral_7b_instruct_v0_3_q4_k_m/entropy_trial__8aee3f48293ad5394ea38525.json,7732950c28bbba87f4db6a6e790b54bda85768008d452362803cf78a6c78d011
entropy_trial__93aee317cd29dda082df9e36,entropy_cell__426f7c565df6f75c2e9b03a8,qwen2_5_7b_instruct_q4_k_m,revision_v1_uuid_v4_041,uuid_v4,ascii_b16,professional_project_update,strict,72,72,0,350,432,True,2.4325573188780316,0.2057142857142857,1.478154411090705,-0.9544029077873266,174,209,35,13,first full 32 positions with at most 2 consumed ranks,,identity_selected_strict_success,results/revision_v3/generation/raw/entropy/qwen2_5_7b_instruct_q4_k_m/entropy_trial__93aee317cd29dda082df9e36.json,301f052c3f345efb1ebcd56a411c96476db7fbcf7d4f77f401b4a705c13db132
entropy_trial__941eed91360afbdc8a26bf09,entropy_cell__b4dd6955d2588a9777ba0da2,qwen2_5_7b_instruct_q4_k_m,revision_v1_sha256_hex_041,sha256_hex,ascii_b16,professional_project_update,strict,128,116,12,768,768,False,2.4325573188780316,0.15104166666666666,1.037256310555535,-1.3953010083224966,419,582,163,30,first full 32 positions with at most 2 consumed ranks,maximum_generated_tokens_reached_before_payload_completion,strict_failure,results/revision_v3/generation/raw/entropy/qwen2_5_7b_instruct_q4_k_m/entropy_trial__941eed91360afbdc8a26bf09.json,e786f8d4f1678fb20305fc29fd428d8f2811b215b3307dc55bcf330673f14734
entropy_trial__9ae150681b7e7347c8241d5a,entropy_cell__822d5554590d2114c6d47104,qwen2_5_7b_instruct_q4_k_m,revision_v1_token_128_bit_hex_003,token_128_bit_hex,ascii_b16,explain_everyday_system,strict,64,54,10,384,384,False,2.4325573188780316,0.140625,1.1502391645692678,-1.2823181543087638,36,75,39,23,first full 32 positions with at most 2 consumed ranks,maximum_generated_tokens_reached_before_payload_completion,strict_failure,results/revision_v3/generation/raw/entropy/qwen2_5_7b_instruct_q4_k_m/entropy_trial__9ae150681b7e7347c8241d5a.json,0f04a42b4d8d8f4ae346ce2456eaa586a4d6ec4fac6d01b56ac766e53be28362
entropy_trial__a2981193f295f0c404dba3c5,entropy_cell__c9bef797c5b774d1c465a433,qwen2_5_7b_instruct_q4_k_m,revision_v1_chacha20_poly1305_base64_003,chacha20_poly1305_base64,ascii_b16,explain_everyday_system,strict,128,128,0,254,768,True,2.4325573188780316,0.5039370078740157,2.5431742180926373,0.11061689921460571,183,193,10,,first full 32 positions with at most 2 consumed ranks,,identity_selected_strict_success,results/revision_v3/generation/raw/entropy/qwen2_5_7b_instruct_q4_k_m/entropy_trial__a2981193f295f0c404dba3c5.json,347c364eafbc035ea3baa53835d166227f10ae87b891b53b572d67252b04bb24
entropy_trial__a9ff67133eeaa189fa8be8b1,entropy_cell__4165252300fa0539cfe260dc,qwen2_5_7b_instruct_q4_k_m,revision_v1_sha256_hex_003,sha256_hex,ascii_b16,explain_everyday_system,strict,128,106,22,768,768,False,2.4325573188780316,0.13802083333333334,1.1254165735743602,-1.3071407453036714,322,357,35,93,first full 32 positions with at most 2 consumed ranks,maximum_generated_tokens_reached_before_payload_completion,strict_failure,results/revision_v3/generation/raw/entropy/qwen2_5_7b_instruct_q4_k_m/entropy_trial__a9ff67133eeaa189fa8be8b1.json,14e0e1e29a2f3ee18c6af1a0044dec10af3cdedcda232a52d4decf4a02c83ba8
entropy_trial__ab3521d3c492336682b70695,entropy_cell__b4dd6955d2588a9777ba0da2,qwen2_5_7b_instruct_q4_k_m,revision_v1_sha256_hex_041,sha256_hex,ascii_b16,professional_project_update,ungated,128,128,0,128,128,True,,1.0,2.96974475011424,,0,0,0,,first full 32 positions with at most 2 consumed ranks,,matched_ungated,results/revision_v3/generation/raw/entropy/qwen2_5_7b_instruct_q4_k_m/entropy_trial__ab3521d3c492336682b70695.json,7903a3694ad9a00bc6d96fd7b5aed48eef63374e99f70eacb7b5be4892c90364
entropy_trial__c21384a6f6d4d87efd47211f,entropy_cell__fedb9cd4cca604a661152132,qwen2_5_7b_instruct_q4_k_m,revision_v1_chacha20_poly1305_base64_041,chacha20_poly1305_base64,ascii_b16,professional_project_update,ungated,128,128,0,128,128,True,,1.0,3.044530958040114,,0,0,0,,first full 32 positions with at most 2 consumed ranks,,matched_ungated,results/revision_v3/generation/raw/entropy/qwen2_5_7b_instruct_q4_k_m/entropy_trial__c21384a6f6d4d87efd47211f.json,e2e083cfcde07eb77c4b556ab00933fe2d102aade60208c060d6fe4d4705706e
