boundary_id,trial_id,payload_name,payload_class,model_id,protocol_variant,segment_index,context_sha256,prompt_template_id,forced_token_count,tail_token_count,full_token_count,source_path,source_record_sha256,eligible_ordinary_prefixes,structurally_eligible
revision_v1_primary_v2_payload_fidelity_v2__5d057d92811c5972d226__segment_0,revision_v1_primary_v2_payload_fidelity_v2__5d057d92811c5972d226,revision_v1_sha256_hex_000,sha256_hex,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,0,42048cc2c1346e047690ef46436371e8a737946098cb0550b8dfbdc43ad4da8e,casual_weekend_chat,8,14,22,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,05632dc6bf6e1e7f4ae91e559504c7c5e1ada1faebf0b265b333b6fc4359c8ec,114,True
revision_v1_primary_v2_payload_fidelity_v2__5d057d92811c5972d226__segment_1,revision_v1_primary_v2_payload_fidelity_v2__5d057d92811c5972d226,revision_v1_sha256_hex_000,sha256_hex,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,1,42048cc2c1346e047690ef46436371e8a737946098cb0550b8dfbdc43ad4da8e,casual_weekend_chat,8,100,108,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,05632dc6bf6e1e7f4ae91e559504c7c5e1ada1faebf0b265b333b6fc4359c8ec,99,True
revision_v1_primary_v2_payload_fidelity_v2__5d057d92811c5972d226__segment_2,revision_v1_primary_v2_payload_fidelity_v2__5d057d92811c5972d226,revision_v1_sha256_hex_000,sha256_hex,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,2,42048cc2c1346e047690ef46436371e8a737946098cb0550b8dfbdc43ad4da8e,casual_weekend_chat,8,28,36,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,05632dc6bf6e1e7f4ae91e559504c7c5e1ada1faebf0b265b333b6fc4359c8ec,103,True
revision_v1_primary_v2_payload_fidelity_v2__5d057d92811c5972d226__segment_3,revision_v1_primary_v2_payload_fidelity_v2__5d057d92811c5972d226,revision_v1_sha256_hex_000,sha256_hex,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,3,42048cc2c1346e047690ef46436371e8a737946098cb0550b8dfbdc43ad4da8e,casual_weekend_chat,8,21,29,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,05632dc6bf6e1e7f4ae91e559504c7c5e1ada1faebf0b265b333b6fc4359c8ec,110,True
revision_v1_primary_v2_payload_fidelity_v2__5d057d92811c5972d226__segment_4,revision_v1_primary_v2_payload_fidelity_v2__5d057d92811c5972d226,revision_v1_sha256_hex_000,sha256_hex,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,4,42048cc2c1346e047690ef46436371e8a737946098cb0550b8dfbdc43ad4da8e,casual_weekend_chat,8,15,23,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,05632dc6bf6e1e7f4ae91e559504c7c5e1ada1faebf0b265b333b6fc4359c8ec,114,True
revision_v1_primary_v2_payload_fidelity_v2__5d057d92811c5972d226__segment_5,revision_v1_primary_v2_payload_fidelity_v2__5d057d92811c5972d226,revision_v1_sha256_hex_000,sha256_hex,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,5,42048cc2c1346e047690ef46436371e8a737946098cb0550b8dfbdc43ad4da8e,casual_weekend_chat,8,13,21,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,05632dc6bf6e1e7f4ae91e559504c7c5e1ada1faebf0b265b333b6fc4359c8ec,116,True
revision_v1_primary_v2_payload_fidelity_v2__5d057d92811c5972d226__segment_6,revision_v1_primary_v2_payload_fidelity_v2__5d057d92811c5972d226,revision_v1_sha256_hex_000,sha256_hex,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,6,42048cc2c1346e047690ef46436371e8a737946098cb0550b8dfbdc43ad4da8e,casual_weekend_chat,8,13,21,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,05632dc6bf6e1e7f4ae91e559504c7c5e1ada1faebf0b265b333b6fc4359c8ec,116,True
revision_v1_primary_v2_payload_fidelity_v2__5d057d92811c5972d226__segment_7,revision_v1_primary_v2_payload_fidelity_v2__5d057d92811c5972d226,revision_v1_sha256_hex_000,sha256_hex,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,7,42048cc2c1346e047690ef46436371e8a737946098cb0550b8dfbdc43ad4da8e,casual_weekend_chat,8,27,35,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,05632dc6bf6e1e7f4ae91e559504c7c5e1ada1faebf0b265b333b6fc4359c8ec,105,True
revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50__segment_0,revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50,revision_v1_sha256_hex_000,sha256_hex,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,0,42048cc2c1346e047690ef46436371e8a737946098cb0550b8dfbdc43ad4da8e,casual_weekend_chat,8,14,22,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,fdf8f09879bd3d2f2418bab1dab925853b8d84bc812ffe7fa31ff51dbec5f3db,114,True
revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50__segment_1,revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50,revision_v1_sha256_hex_000,sha256_hex,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,1,fc9efd9807617bdba2b4324d8bae693a652717cd88eff3033a22ef03cfdea357,professional_project_update,8,22,30,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,fdf8f09879bd3d2f2418bab1dab925853b8d84bc812ffe7fa31ff51dbec5f3db,110,True
revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50__segment_2,revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50,revision_v1_sha256_hex_000,sha256_hex,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,2,28a4c6a915ab0a8e9626bb7b7eadd481a8eebb5572e858be3e5e8c946d9a9cd3,forum_practical_answer,8,55,63,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,fdf8f09879bd3d2f2418bab1dab925853b8d84bc812ffe7fa31ff51dbec5f3db,100,True
revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50__segment_3,revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50,revision_v1_sha256_hex_000,sha256_hex,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,3,070a81c1c2c363b4e625bcdc06bcf5f4ed2ddb1bc31896be799416ca97470c04,procedure_simple_meal,8,8,16,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,fdf8f09879bd3d2f2418bab1dab925853b8d84bc812ffe7fa31ff51dbec5f3db,121,True
revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50__segment_4,revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50,revision_v1_sha256_hex_000,sha256_hex,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,4,fd9fd860a1176177d99f43c848c28112f7d49c410f3768fd8d2f603cdd6c9ae5,narrative_small_discovery,8,51,59,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,fdf8f09879bd3d2f2418bab1dab925853b8d84bc812ffe7fa31ff51dbec5f3db,99,True
revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50__segment_5,revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50,revision_v1_sha256_hex_000,sha256_hex,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,5,1c6eacf30c081f862e472155f17a3cb5c87d9f1bff6a59f043ebd9bd645bc049,explain_weather_pattern,8,24,32,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,fdf8f09879bd3d2f2418bab1dab925853b8d84bc812ffe7fa31ff51dbec5f3db,110,True
revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50__segment_6,revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50,revision_v1_sha256_hex_000,sha256_hex,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,6,42048cc2c1346e047690ef46436371e8a737946098cb0550b8dfbdc43ad4da8e,casual_weekend_chat,8,13,21,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,fdf8f09879bd3d2f2418bab1dab925853b8d84bc812ffe7fa31ff51dbec5f3db,116,True
revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50__segment_7,revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50,revision_v1_sha256_hex_000,sha256_hex,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,7,fc9efd9807617bdba2b4324d8bae693a652717cd88eff3033a22ef03cfdea357,professional_project_update,8,256,264,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,fdf8f09879bd3d2f2418bab1dab925853b8d84bc812ffe7fa31ff51dbec5f3db,100,True
revision_v1_primary_v2_payload_fidelity_v2__06cc014075a8ff6c0aaf__segment_0,revision_v1_primary_v2_payload_fidelity_v2__06cc014075a8ff6c0aaf,revision_v1_sha256_hex_001,sha256_hex,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,0,fc9efd9807617bdba2b4324d8bae693a652717cd88eff3033a22ef03cfdea357,professional_project_update,8,31,39,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,5e438e12cea37911a026d48760a84d2eb3c1b06358fdfc519ebd820896c6b8a9,101,True
revision_v1_primary_v2_payload_fidelity_v2__06cc014075a8ff6c0aaf__segment_1,revision_v1_primary_v2_payload_fidelity_v2__06cc014075a8ff6c0aaf,revision_v1_sha256_hex_001,sha256_hex,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,1,fc9efd9807617bdba2b4324d8bae693a652717cd88eff3033a22ef03cfdea357,professional_project_update,8,8,16,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,5e438e12cea37911a026d48760a84d2eb3c1b06358fdfc519ebd820896c6b8a9,120,True
revision_v1_primary_v2_payload_fidelity_v2__06cc014075a8ff6c0aaf__segment_2,revision_v1_primary_v2_payload_fidelity_v2__06cc014075a8ff6c0aaf,revision_v1_sha256_hex_001,sha256_hex,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,2,fc9efd9807617bdba2b4324d8bae693a652717cd88eff3033a22ef03cfdea357,professional_project_update,8,45,53,results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,5e438e12cea37911a026d48760a84d2eb3c1b06358fdfc519ebd820896c6b8a9,100,True
