plan_id,start,stop,length
entropy_trial__1019b5cade7e5b86277d14f8,7,9,2
entropy_trial__1019b5cade7e5b86277d14f8,15,16,1
entropy_trial__1019b5cade7e5b86277d14f8,17,21,4
entropy_trial__1019b5cade7e5b86277d14f8,22,30,8
entropy_trial__1019b5cade7e5b86277d14f8,31,38,7
entropy_trial__1019b5cade7e5b86277d14f8,40,41,1
entropy_trial__1019b5cade7e5b86277d14f8,42,43,1
entropy_trial__1019b5cade7e5b86277d14f8,44,45,1
entropy_trial__1019b5cade7e5b86277d14f8,46,48,2
entropy_trial__1019b5cade7e5b86277d14f8,49,52,3
entropy_trial__1019b5cade7e5b86277d14f8,53,54,1
entropy_trial__1019b5cade7e5b86277d14f8,58,59,1
entropy_trial__1019b5cade7e5b86277d14f8,61,62,1
entropy_trial__1019b5cade7e5b86277d14f8,65,66,1
entropy_trial__1019b5cade7e5b86277d14f8,68,71,3
entropy_trial__1019b5cade7e5b86277d14f8,72,73,1
entropy_trial__1019b5cade7e5b86277d14f8,76,78,2
entropy_trial__1019b5cade7e5b86277d14f8,79,80,1
entropy_trial__1019b5cade7e5b86277d14f8,82,85,3
entropy_trial__1019b5cade7e5b86277d14f8,88,89,1
entropy_trial__1019b5cade7e5b86277d14f8,92,93,1
entropy_trial__1019b5cade7e5b86277d14f8,97,98,1
entropy_trial__1019b5cade7e5b86277d14f8,99,100,1
entropy_trial__1019b5cade7e5b86277d14f8,102,103,1
entropy_trial__1019b5cade7e5b86277d14f8,107,109,2
entropy_trial__1019b5cade7e5b86277d14f8,111,112,1
entropy_trial__1019b5cade7e5b86277d14f8,113,114,1
entropy_trial__1019b5cade7e5b86277d14f8,115,118,3
entropy_trial__1019b5cade7e5b86277d14f8,119,120,1
entropy_trial__1019b5cade7e5b86277d14f8,123,124,1
entropy_trial__1019b5cade7e5b86277d14f8,130,131,1
entropy_trial__1019b5cade7e5b86277d14f8,136,138,2
entropy_trial__1019b5cade7e5b86277d14f8,159,161,2
entropy_trial__1019b5cade7e5b86277d14f8,162,164,2
entropy_trial__1019b5cade7e5b86277d14f8,165,167,2
entropy_trial__1019b5cade7e5b86277d14f8,168,170,2
entropy_trial__1019b5cade7e5b86277d14f8,171,172,1
entropy_trial__1019b5cade7e5b86277d14f8,174,175,1
entropy_trial__1019b5cade7e5b86277d14f8,186,187,1
entropy_trial__1019b5cade7e5b86277d14f8,192,194,2
entropy_trial__1019b5cade7e5b86277d14f8,197,198,1
entropy_trial__1019b5cade7e5b86277d14f8,202,203,1
entropy_trial__2b5e682d0007193b56249891,11,12,1
entropy_trial__2b5e682d0007193b56249891,14,17,3
entropy_trial__2b5e682d0007193b56249891,18,20,2
entropy_trial__2b5e682d0007193b56249891,21,22,1
entropy_trial__2b5e682d0007193b56249891,28,29,1
entropy_trial__2b5e682d0007193b56249891,31,34,3
entropy_trial__2b5e682d0007193b56249891,35,38,3
entropy_trial__2b5e682d0007193b56249891,39,43,4
entropy_trial__2b5e682d0007193b56249891,44,47,3
entropy_trial__2b5e682d0007193b56249891,48,53,5
entropy_trial__2b5e682d0007193b56249891,54,59,5
entropy_trial__2b5e682d0007193b56249891,60,69,9
entropy_trial__2b5e682d0007193b56249891,70,78,8
entropy_trial__2b5e682d0007193b56249891,79,83,4
entropy_trial__2b5e682d0007193b56249891,85,94,9
entropy_trial__2b5e682d0007193b56249891,95,102,7
entropy_trial__2b5e682d0007193b56249891,103,108,5
entropy_trial__2b5e682d0007193b56249891,109,111,2
entropy_trial__2b5e682d0007193b56249891,112,114,2
entropy_trial__2b5e682d0007193b56249891,115,121,6
entropy_trial__2b5e682d0007193b56249891,123,124,1
entropy_trial__2b5e682d0007193b56249891,125,127,2
entropy_trial__2b5e682d0007193b56249891,128,144,16
entropy_trial__2b5e682d0007193b56249891,145,156,11
entropy_trial__2b5e682d0007193b56249891,157,158,1
entropy_trial__2b5e682d0007193b56249891,159,161,2
entropy_trial__2b5e682d0007193b56249891,162,163,1
entropy_trial__2b5e682d0007193b56249891,164,165,1
entropy_trial__2b5e682d0007193b56249891,166,168,2
entropy_trial__2b5e682d0007193b56249891,170,172,2
entropy_trial__2b5e682d0007193b56249891,173,175,2
entropy_trial__2b5e682d0007193b56249891,177,187,10
entropy_trial__2b5e682d0007193b56249891,188,189,1
entropy_trial__2b5e682d0007193b56249891,190,195,5
entropy_trial__2b5e682d0007193b56249891,196,204,8
entropy_trial__2b5e682d0007193b56249891,206,216,10
entropy_trial__2b5e682d0007193b56249891,217,221,4
entropy_trial__2b5e682d0007193b56249891,224,226,2
entropy_trial__2b5e682d0007193b56249891,227,228,1
entropy_trial__2b5e682d0007193b56249891,229,237,8
entropy_trial__2b5e682d0007193b56249891,238,245,7
entropy_trial__2b5e682d0007193b56249891,246,247,1
entropy_trial__2b5e682d0007193b56249891,248,258,10
entropy_trial__2b5e682d0007193b56249891,259,267,8
entropy_trial__2b5e682d0007193b56249891,268,270,2
entropy_trial__2b5e682d0007193b56249891,271,286,15
entropy_trial__2b5e682d0007193b56249891,287,289,2
entropy_trial__2b5e682d0007193b56249891,290,306,16
entropy_trial__2b5e682d0007193b56249891,308,314,6
entropy_trial__2b5e682d0007193b56249891,315,316,1
entropy_trial__2b5e682d0007193b56249891,317,321,4
entropy_trial__2b5e682d0007193b56249891,322,326,4
entropy_trial__2b5e682d0007193b56249891,327,364,37
entropy_trial__2b5e682d0007193b56249891,366,368,2
entropy_trial__2b5e682d0007193b56249891,369,381,12
entropy_trial__2b5e682d0007193b56249891,382,432,50
entropy_trial__2b5e682d0007193b56249891,433,439,6
entropy_trial__2b5e682d0007193b56249891,440,441,1
entropy_trial__2b5e682d0007193b56249891,443,448,5
entropy_trial__2b5e682d0007193b56249891,449,497,48
entropy_trial__2b5e682d0007193b56249891,498,501,3
entropy_trial__2b5e682d0007193b56249891,502,509,7
entropy_trial__2b5e682d0007193b56249891,510,511,1
entropy_trial__2b5e682d0007193b56249891,512,525,13
entropy_trial__2b5e682d0007193b56249891,526,550,24
entropy_trial__2b5e682d0007193b56249891,551,555,4
entropy_trial__2b5e682d0007193b56249891,557,589,32
entropy_trial__2b5e682d0007193b56249891,590,604,14
entropy_trial__2b5e682d0007193b56249891,605,622,17
entropy_trial__2b5e682d0007193b56249891,624,626,2
entropy_trial__2b5e682d0007193b56249891,627,637,10
entropy_trial__2b5e682d0007193b56249891,638,658,20
entropy_trial__2b5e682d0007193b56249891,659,663,4
entropy_trial__2b5e682d0007193b56249891,664,670,6
entropy_trial__2b5e682d0007193b56249891,672,674,2
entropy_trial__2b5e682d0007193b56249891,675,679,4
entropy_trial__2b5e682d0007193b56249891,680,682,2
entropy_trial__2b5e682d0007193b56249891,683,689,6
entropy_trial__2b5e682d0007193b56249891,690,736,46
entropy_trial__2b5e682d0007193b56249891,737,768,31
entropy_trial__3e728079d9569def3018a4fe,3,6,3
entropy_trial__3e728079d9569def3018a4fe,8,11,3
entropy_trial__3e728079d9569def3018a4fe,18,19,1
entropy_trial__3e728079d9569def3018a4fe,22,25,3
entropy_trial__3e728079d9569def3018a4fe,34,36,2
entropy_trial__3e728079d9569def3018a4fe,39,41,2
entropy_trial__3e728079d9569def3018a4fe,44,45,1
entropy_trial__3e728079d9569def3018a4fe,47,48,1
entropy_trial__3e728079d9569def3018a4fe,59,60,1
entropy_trial__3e728079d9569def3018a4fe,67,68,1
entropy_trial__3e728079d9569def3018a4fe,73,76,3
entropy_trial__3e728079d9569def3018a4fe,79,80,1
entropy_trial__3e728079d9569def3018a4fe,86,87,1
entropy_trial__3e728079d9569def3018a4fe,90,91,1
entropy_trial__3e728079d9569def3018a4fe,95,96,1
entropy_trial__3e728079d9569def3018a4fe,97,98,1
entropy_trial__3e728079d9569def3018a4fe,99,100,1
entropy_trial__3e728079d9569def3018a4fe,101,103,2
entropy_trial__3e728079d9569def3018a4fe,105,106,1
entropy_trial__3e728079d9569def3018a4fe,108,109,1
entropy_trial__3e728079d9569def3018a4fe,111,112,1
entropy_trial__3e728079d9569def3018a4fe,113,116,3
entropy_trial__3e728079d9569def3018a4fe,119,120,1
entropy_trial__3e728079d9569def3018a4fe,123,125,2
entropy_trial__3e728079d9569def3018a4fe,126,128,2
entropy_trial__3e728079d9569def3018a4fe,130,132,2
entropy_trial__3e728079d9569def3018a4fe,134,135,1
entropy_trial__3e728079d9569def3018a4fe,136,137,1
entropy_trial__3e728079d9569def3018a4fe,138,140,2
entropy_trial__3e728079d9569def3018a4fe,141,142,1
entropy_trial__3e728079d9569def3018a4fe,143,144,1
entropy_trial__3e728079d9569def3018a4fe,145,146,1
entropy_trial__3e728079d9569def3018a4fe,147,148,1
entropy_trial__3e728079d9569def3018a4fe,149,150,1
entropy_trial__3e728079d9569def3018a4fe,151,157,6
entropy_trial__3e728079d9569def3018a4fe,158,159,1
entropy_trial__3e728079d9569def3018a4fe,161,162,1
entropy_trial__3e728079d9569def3018a4fe,169,170,1
entropy_trial__3e728079d9569def3018a4fe,172,174,2
entropy_trial__3e728079d9569def3018a4fe,182,183,1
entropy_trial__3e728079d9569def3018a4fe,184,185,1
entropy_trial__3e728079d9569def3018a4fe,186,188,2
entropy_trial__3e728079d9569def3018a4fe,193,195,2
entropy_trial__4260abe0ff9d9bb19b971362,3,4,1
entropy_trial__4260abe0ff9d9bb19b971362,7,9,2
entropy_trial__4260abe0ff9d9bb19b971362,20,21,1
entropy_trial__4260abe0ff9d9bb19b971362,22,23,1
entropy_trial__4260abe0ff9d9bb19b971362,25,31,6
entropy_trial__4260abe0ff9d9bb19b971362,37,38,1
entropy_trial__4260abe0ff9d9bb19b971362,40,41,1
entropy_trial__4260abe0ff9d9bb19b971362,46,47,1
entropy_trial__4260abe0ff9d9bb19b971362,49,50,1
entropy_trial__4260abe0ff9d9bb19b971362,52,53,1
entropy_trial__4260abe0ff9d9bb19b971362,59,60,1
entropy_trial__4260abe0ff9d9bb19b971362,62,63,1
entropy_trial__4260abe0ff9d9bb19b971362,64,65,1
entropy_trial__4260abe0ff9d9bb19b971362,66,67,1
entropy_trial__4260abe0ff9d9bb19b971362,70,72,2
entropy_trial__4260abe0ff9d9bb19b971362,75,78,3
entropy_trial__4260abe0ff9d9bb19b971362,81,82,1
entropy_trial__4260abe0ff9d9bb19b971362,85,86,1
entropy_trial__4260abe0ff9d9bb19b971362,90,92,2
entropy_trial__448d04f6e62e4c75b366b814,22,25,3
entropy_trial__448d04f6e62e4c75b366b814,26,29,3
entropy_trial__448d04f6e62e4c75b366b814,30,33,3
entropy_trial__448d04f6e62e4c75b366b814,37,38,1
entropy_trial__448d04f6e62e4c75b366b814,39,40,1
entropy_trial__448d04f6e62e4c75b366b814,43,44,1
entropy_trial__448d04f6e62e4c75b366b814,45,46,1
entropy_trial__448d04f6e62e4c75b366b814,55,57,2
entropy_trial__448d04f6e62e4c75b366b814,58,61,3
entropy_trial__448d04f6e62e4c75b366b814,63,64,1
entropy_trial__448d04f6e62e4c75b366b814,66,67,1
entropy_trial__448d04f6e62e4c75b366b814,68,69,1
entropy_trial__448d04f6e62e4c75b366b814,70,71,1
entropy_trial__448d04f6e62e4c75b366b814,72,73,1
entropy_trial__448d04f6e62e4c75b366b814,75,76,1
entropy_trial__448d04f6e62e4c75b366b814,77,81,4
entropy_trial__448d04f6e62e4c75b366b814,87,89,2
entropy_trial__448d04f6e62e4c75b366b814,90,92,2
entropy_trial__448d04f6e62e4c75b366b814,94,95,1
entropy_trial__448d04f6e62e4c75b366b814,98,100,2
entropy_trial__448d04f6e62e4c75b366b814,105,106,1
entropy_trial__448d04f6e62e4c75b366b814,108,110,2
entropy_trial__448d04f6e62e4c75b366b814,112,114,2
entropy_trial__448d04f6e62e4c75b366b814,115,118,3
entropy_trial__448d04f6e62e4c75b366b814,122,123,1
entropy_trial__448d04f6e62e4c75b366b814,124,125,1
entropy_trial__448d04f6e62e4c75b366b814,128,129,1
entropy_trial__448d04f6e62e4c75b366b814,134,136,2
entropy_trial__448d04f6e62e4c75b366b814,137,138,1
entropy_trial__448d04f6e62e4c75b366b814,139,145,6
entropy_trial__448d04f6e62e4c75b366b814,146,147,1
entropy_trial__448d04f6e62e4c75b366b814,149,150,1
entropy_trial__448d04f6e62e4c75b366b814,152,153,1
entropy_trial__448d04f6e62e4c75b366b814,164,165,1
entropy_trial__448d04f6e62e4c75b366b814,177,178,1
entropy_trial__65fa991a5caba02457a5ff2a,4,5,1
entropy_trial__65fa991a5caba02457a5ff2a,13,15,2
entropy_trial__65fa991a5caba02457a5ff2a,17,18,1
entropy_trial__65fa991a5caba02457a5ff2a,22,26,4
entropy_trial__65fa991a5caba02457a5ff2a,28,29,1
entropy_trial__65fa991a5caba02457a5ff2a,33,35,2
entropy_trial__65fa991a5caba02457a5ff2a,36,38,2
entropy_trial__65fa991a5caba02457a5ff2a,41,43,2
entropy_trial__65fa991a5caba02457a5ff2a,45,46,1
entropy_trial__65fa991a5caba02457a5ff2a,47,48,1
entropy_trial__65fa991a5caba02457a5ff2a,50,51,1
entropy_trial__65fa991a5caba02457a5ff2a,57,59,2
entropy_trial__65fa991a5caba02457a5ff2a,63,64,1
entropy_trial__65fa991a5caba02457a5ff2a,68,69,1
