plan_id,position,token_id,entropy_bits,threshold_bits,entropy_margin_bits,eligible,token_role,consumed_before,consumed_after,remaining_after,payload_rank,observed_rank,surprisal_nats,rank_pressure_nats,rolling_start,rolling_position_count,rolling_ranks_consumed,rolling_eligible_fraction,rolling_window_full,byte_start,byte_stop
entropy_trial__1019b5cade7e5b86277d14f8,0,29734,4.723581171695127,1.3619193336989834,3.3616618379961434,True,payload,0,1,127,4,4,2.541012988012568,0.9691734313964844,0,1,1,1.0,False,0,8
entropy_trial__1019b5cade7e5b86277d14f8,1,9760,3.6704787652290936,1.3619193336989834,2.30855943153011,True,payload,1,2,126,3,3,2.3325053872642094,1.3267650604248047,0,2,2,1.0,False,8,17
entropy_trial__1019b5cade7e5b86277d14f8,2,2390,2.9933455746089,1.3619193336989834,1.6314262409099167,True,payload,2,3,125,7,7,4.076179394110401,3.3588714599609375,0,3,3,1.0,False,17,25
entropy_trial__1019b5cade7e5b86277d14f8,3,821,2.9546601378180837,1.3619193336989834,1.5927408041191002,True,payload,3,4,124,4,4,3.0977223858021716,2.1018104553222656,0,4,4,1.0,False,25,30
entropy_trial__1019b5cade7e5b86277d14f8,4,476,1.7251050441220273,1.3619193336989834,0.3631857104230438,True,payload,4,5,123,4,4,3.456509327149263,2.9834556579589844,0,5,5,1.0,False,30,33
entropy_trial__1019b5cade7e5b86277d14f8,5,16734,3.4492817134201306,1.3619193336989834,2.087362379721147,True,payload,5,6,122,1,1,0.7348035036473632,0.0,0,6,6,1.0,False,33,41
entropy_trial__1019b5cade7e5b86277d14f8,6,624,2.903755885926063,1.3619193336989834,1.5418365522270796,True,payload,6,7,121,4,4,2.357374570732091,1.4265708923339844,0,7,7,1.0,False,41,43
entropy_trial__1019b5cade7e5b86277d14f8,7,13019,1.094306266259809,1.3619193336989834,-0.26761306743917435,False,ordinary_sampled_skip,7,7,121,,1,0.18286217400751426,0.0,0,8,7,0.875,False,43,50
entropy_trial__1019b5cade7e5b86277d14f8,8,25,0.00030572195389447606,1.3619193336989834,-1.361613611745089,False,ordinary_sampled_skip,7,7,121,,1,1.6908256803560562e-05,0.0,0,9,7,0.7777777777777778,False,50,51
entropy_trial__1019b5cade7e5b86277d14f8,9,1207,1.782520457762895,1.3619193336989834,0.4206011240639116,True,payload,7,8,120,4,4,3.7596822867831783,3.4665908813476562,0,10,8,0.8,False,51,53
entropy_trial__1019b5cade7e5b86277d14f8,10,44,2.4148345796130117,1.3619193336989834,1.0529152459140283,True,payload,8,9,119,4,4,2.2711754477711494,1.4465999603271484,0,11,9,0.8181818181818182,False,53,54
entropy_trial__1019b5cade7e5b86277d14f8,11,26808,5.696394595480244,1.3619193336989834,4.334475261781261,True,payload,9,10,118,3,3,2.851202989743811,1.6268234252929688,0,12,10,0.8333333333333334,False,54,64
entropy_trial__1019b5cade7e5b86277d14f8,12,30813,2.060359570233066,1.3619193336989834,0.6984402365340827,True,payload,10,11,117,4,4,4.019704403832147,3.488088607788086,0,13,11,0.8461538461538461,False,64,79
entropy_trial__1019b5cade7e5b86277d14f8,13,760,1.9137091510570077,1.3619193336989834,0.5517898173580242,True,payload,11,12,116,9,9,9.223235222684785,8.430549621582031,0,14,12,0.8571428571428571,False,79,81
entropy_trial__1019b5cade7e5b86277d14f8,14,16033,2.5816005124389574,1.3619193336989834,1.219681178739974,True,payload,12,13,115,4,4,1.780282435011383,0.5221271514892578,0,15,13,0.8666666666666667,False,81,90
entropy_trial__1019b5cade7e5b86277d14f8,15,5549,0.5030956325439413,1.3619193336989834,-0.8588237011550421,False,ordinary_sampled_skip,13,13,115,,1,0.0704377726626717,0.0,0,16,13,0.8125,False,90,97
entropy_trial__1019b5cade7e5b86277d14f8,16,4710,2.01412367753451,1.3619193336989834,0.6522043438355265,True,payload,13,14,114,5,5,3.2630708295162307,2.805145263671875,0,17,14,0.8235294117647058,False,97,100
entropy_trial__1019b5cade7e5b86277d14f8,17,30665,0.9532881041937763,1.3619193336989834,-0.40863122950520714,False,ordinary_sampled_skip,14,14,114,,1,0.19578244685315127,0.0,0,18,14,0.7777777777777778,False,100,104
entropy_trial__1019b5cade7e5b86277d14f8,18,7909,0.8701638968353578,1.3619193336989834,-0.49175543686362566,False,ordinary_sampled_skip,14,14,114,,1,0.141145925490072,0.0,0,19,14,0.7368421052631579,False,104,109
entropy_trial__1019b5cade7e5b86277d14f8,19,3554,0.27913944491887493,1.3619193336989834,-1.0827798887801086,False,ordinary_sampled_skip,14,14,114,,1,0.038706424562612085,0.0,0,20,14,0.7,False,109,112
entropy_trial__1019b5cade7e5b86277d14f8,20,40,0.5771555823582786,1.3619193336989834,-0.7847637513407049,False,ordinary_sampled_skip,14,14,114,,1,0.06345004769968554,0.0,0,21,14,0.6666666666666666,False,112,113
entropy_trial__1019b5cade7e5b86277d14f8,21,4172,1.9684939504365915,1.3619193336989834,0.606574616737608,True,payload,14,15,113,7,7,5.677903666350957,4.730434417724609,0,22,15,0.6818181818181818,False,113,115
entropy_trial__1019b5cade7e5b86277d14f8,22,1075,0.00010455476012953041,1.3619193336989834,-1.361814778938854,False,ordinary_sampled_skip,15,15,113,,1,4.776185299704139e-06,0.0,0,23,15,0.6521739130434783,False,115,120
entropy_trial__1019b5cade7e5b86277d14f8,23,311,0.0004361395238319078,1.3619193336989834,-1.3614831941751515,False,ordinary_sampled_skip,15,15,113,,1,2.401921376105065e-05,0.0,0,24,15,0.625,False,120,123
entropy_trial__1019b5cade7e5b86277d14f8,24,3410,0.7884412408421375,1.3619193336989834,-0.5734780928568459,False,ordinary_sampled_skip,15,15,113,,1,0.17524056783057418,0.0,0,25,15,0.6,False,123,131
entropy_trial__1019b5cade7e5b86277d14f8,25,264,1.3606004659208888,1.3619193336989834,-0.0013188677780946456,False,ordinary_sampled_skip,15,15,113,,2,1.0875150530322557,0.5061149597167969,0,26,15,0.5769230769230769,False,131,133
entropy_trial__1019b5cade7e5b86277d14f8,26,9814,0.9295922975682273,1.3619193336989834,-0.4323270361307562,False,ordinary_sampled_skip,15,15,113,,1,0.24407137079723285,0.0,0,27,15,0.5555555555555556,False,133,139
entropy_trial__1019b5cade7e5b86277d14f8,27,2647,0.2766343699315876,1.3619193336989834,-1.0852849637673958,False,ordinary_sampled_skip,15,15,113,,1,0.03475196283317672,0.0,0,28,15,0.5357142857142857,False,139,146
entropy_trial__1019b5cade7e5b86277d14f8,28,389,0.015797510875356722,1.3619193336989834,-1.3461218228236267,False,ordinary_sampled_skip,15,15,113,,1,0.00130687004813268,0.0,0,29,15,0.5172413793103449,False,146,149
entropy_trial__1019b5cade7e5b86277d14f8,29,279,0.9211902296660526,1.3619193336989834,-0.44072910403293086,False,ordinary_sampled_skip,15,15,113,,1,0.3808033849060166,0.0,0,30,15,0.5,False,149,153
entropy_trial__1019b5cade7e5b86277d14f8,30,1482,1.3795594478709097,1.3619193336989834,0.017640114171926236,True,payload,15,16,112,4,4,4.181682277420514,3.8366947174072266,0,31,16,0.5161290322580645,False,153,161
entropy_trial__1019b5cade7e5b86277d14f8,31,2639,0.9850223970123057,1.3619193336989834,-0.3768969366866778,False,ordinary_sampled_skip,16,16,112,,1,0.23842682999539377,0.0,0,32,16,0.5,True,161,168
entropy_trial__1019b5cade7e5b86277d14f8,32,315,0.20803308374704818,1.3619193336989834,-1.1538862499519353,False,ordinary_sampled_skip,16,16,112,,1,0.03278568003501903,0.0,1,32,15,0.46875,True,168,171
entropy_trial__1019b5cade7e5b86277d14f8,33,279,1.003426327037786,1.3619193336989834,-0.35849300666119754,False,ordinary_sampled_skip,16,16,112,,2,0.8010381810769758,0.20368194580078125,2,32,14,0.4375,True,171,175
entropy_trial__1019b5cade7e5b86277d14f8,34,1207,0.8772314350860398,1.3619193336989834,-0.4846878986129436,False,ordinary_sampled_skip,16,16,112,,1,0.21611769029659555,0.0,3,32,13,0.40625,True,175,177
entropy_trial__1019b5cade7e5b86277d14f8,35,44,0.0256718394156165,1.3619193336989834,-1.3362474942833669,False,ordinary_sampled_skip,16,16,112,,1,0.002116409244685258,0.0,4,32,12,0.375,True,177,178
entropy_trial__1019b5cade7e5b86277d14f8,36,26808,0.3761943683960253,1.3619193336989834,-0.9857249653029581,False,ordinary_sampled_skip,16,16,112,,1,0.055538445429476724,0.0,5,32,11,0.34375,True,178,188
entropy_trial__1019b5cade7e5b86277d14f8,37,2390,1.2364203433325658,1.3619193336989834,-0.12549899036641765,False,ordinary_sampled_skip,16,16,112,,1,0.47521475820990133,0.0,6,32,10,0.3125,True,188,196
entropy_trial__1019b5cade7e5b86277d14f8,38,323,2.054537924759549,1.3619193336989834,0.6926185910605658,True,payload,16,17,111,7,7,4.596871767747061,3.947916030883789,7,32,10,0.3125,True,196,200
entropy_trial__1019b5cade7e5b86277d14f8,39,1790,2.9997235067686585,1.3619193336989834,1.637804173069675,True,payload,17,18,110,7,7,3.4899609635176425,2.5117416381835938,8,32,11,0.34375,True,200,205
entropy_trial__1019b5cade7e5b86277d14f8,40,7354,0.23474222617969673,1.3619193336989834,-1.1271771075192867,False,ordinary_sampled_skip,18,18,110,,1,0.02538535557632926,0.0,9,32,11,0.34375,True,205,211
entropy_trial__1019b5cade7e5b86277d14f8,41,7218,2.012276520033752,1.3619193336989834,0.6503571863347686,True,payload,18,19,109,4,4,4.1681354789531255,3.223123550415039,10,32,11,0.34375,True,211,218
entropy_trial__1019b5cade7e5b86277d14f8,42,4637,0.017871949571457154,1.3619193336989834,-1.3440473841275262,False,ordinary_sampled_skip,19,19,109,,1,0.0014764177997861339,0.0,11,32,10,0.3125,True,218,226
entropy_trial__1019b5cade7e5b86277d14f8,43,25,1.4059806371399626,1.3619193336989834,0.04406130344097914,True,payload,19,20,108,4,4,6.414403307590469,5.908910751342773,12,32,10,0.3125,True,226,227
entropy_trial__1019b5cade7e5b86277d14f8,44,4710,0.5621235094117736,1.3619193336989834,-0.7997958242872099,False,ordinary_sampled_skip,20,20,108,,1,0.08578878671827184,0.0,13,32,9,0.28125,True,227,230
entropy_trial__1019b5cade7e5b86277d14f8,45,12549,3.5410607956424918,1.3619193336989834,2.1791414619435083,True,payload,20,21,107,4,4,2.5899746989519947,1.413614273071289,14,32,9,0.28125,True,230,235
entropy_trial__1019b5cade7e5b86277d14f8,46,1039,0.3316339731629796,1.3619193336989834,-1.0302853605360038,False,ordinary_sampled_skip,21,21,107,,1,0.04708353679830424,0.0,15,32,8,0.25,True,235,239
entropy_trial__1019b5cade7e5b86277d14f8,47,1537,0.14243815563797665,1.3619193336989834,-1.2194811780610069,False,ordinary_sampled_skip,21,21,107,,1,0.012008705418871557,0.0,16,32,8,0.25,True,239,244
entropy_trial__1019b5cade7e5b86277d14f8,48,1618,1.4059376517303377,1.3619193336989834,0.04401831803135425,True,payload,21,22,106,10,10,6.225481681206116,5.939975738525391,17,32,8,0.25,True,244,249
entropy_trial__1019b5cade7e5b86277d14f8,49,11,1.1249933449176035,1.3619193336989834,-0.23692598878137994,False,ordinary_sampled_skip,22,22,106,,1,0.31266445691126066,0.0,18,32,8,0.25,True,249,250
entropy_trial__1019b5cade7e5b86277d14f8,50,582,0.8811778625058814,1.3619193336989834,-0.48074147119310207,False,ordinary_sampled_skip,22,22,106,,1,0.18804582946512127,0.0,19,32,8,0.25,True,250,253
entropy_trial__1019b5cade7e5b86277d14f8,51,614,1.0898038523438147,1.3619193336989834,-0.2721154813551687,False,ordinary_sampled_skip,22,22,106,,1,0.6880024911829352,0.0,20,32,8,0.25,True,253,258
entropy_trial__1019b5cade7e5b86277d14f8,52,60387,2.0625033362620475,1.3619193336989834,0.7005840025630641,True,payload,22,23,105,4,4,4.210168121225092,3.3963184356689453,21,32,9,0.28125,True,258,268
entropy_trial__1019b5cade7e5b86277d14f8,53,279,0.5254658469289595,1.3619193336989834,-0.836453486770024,False,ordinary_sampled_skip,23,23,105,,1,0.05823150911826147,0.0,22,32,8,0.25,True,268,272
entropy_trial__1019b5cade7e5b86277d14f8,54,821,3.849097964405932,1.3619193336989834,2.4871786307069486,True,payload,23,24,104,2,2,1.6810239922665637,0.4958992004394531,23,32,9,0.28125,True,272,277
entropy_trial__1019b5cade7e5b86277d14f8,55,32189,3.655474556456355,1.3619193336989834,2.2935552227573717,True,payload,24,25,103,4,4,2.698412111779323,1.7195987701416016,24,32,10,0.3125,True,277,288
entropy_trial__1019b5cade7e5b86277d14f8,56,19502,2.5568377811376015,1.3619193336989834,1.194918447438618,True,payload,25,26,102,5,5,3.8354205811018964,3.143047332763672,25,32,11,0.34375,True,288,296
entropy_trial__1019b5cade7e5b86277d14f8,57,311,2.001241147555028,1.3619193336989834,0.6393218138560446,True,payload,26,27,101,4,4,3.198295174471717,2.504758834838867,26,32,12,0.375,True,296,299
entropy_trial__1019b5cade7e5b86277d14f8,58,6815,0.9878397498600506,1.3619193336989834,-0.3740795838389328,False,ordinary_sampled_skip,27,27,101,,1,0.14020511241124822,0.0,27,32,12,0.375,True,299,304
entropy_trial__1019b5cade7e5b86277d14f8,59,9760,3.044247902047898,1.3619193336989834,1.6823285683489146,True,payload,27,28,100,5,5,2.9440438239589675,2.063222885131836,28,32,13,0.40625,True,304,313
entropy_trial__1019b5cade7e5b86277d14f8,60,821,2.8743657666947,1.3619193336989834,1.5124464329957163,True,payload,28,29,99,4,4,2.601869348035571,1.5587825775146484,29,32,14,0.4375,True,313,318
entropy_trial__1019b5cade7e5b86277d14f8,61,504,0.7249977215840816,1.3619193336989834,-0.6369216121149018,False,ordinary_sampled_skip,29,29,99,,1,0.0961034195007997,0.0,30,32,14,0.4375,True,318,323
entropy_trial__1019b5cade7e5b86277d14f8,62,279,1.793290038537195,1.3619193336989834,0.4313707048382116,True,payload,29,30,98,2,2,0.9382582018803269,0.27437591552734375,31,32,14,0.4375,True,323,327
entropy_trial__1019b5cade7e5b86277d14f8,63,5257,6.283198145500566,1.3619193336989834,4.921278811801582,True,payload,30,31,97,4,4,3.5236926521487497,1.4912919998168945,32,32,15,0.46875,True,327,335
entropy_trial__1019b5cade7e5b86277d14f8,64,8777,4.94399565051354,1.3619193336989834,3.5820763168145566,True,payload,31,32,96,9,9,3.7237982011677566,2.46437931060791,33,32,16,0.5,True,335,344
entropy_trial__1019b5cade7e5b86277d14f8,65,5942,1.279783343532457,1.3619193336989834,-0.0821359901665264,False,ordinary_sampled_skip,32,32,96,,1,0.21260656610011353,0.0,34,32,16,0.5,True,344,352
entropy_trial__1019b5cade7e5b86277d14f8,66,304,2.1146776200362996,1.3619193336989834,0.7527582863373161,True,payload,32,33,95,4,4,2.7123171970140234,2.1056079864501953,35,32,17,0.53125,True,352,355
entropy_trial__1019b5cade7e5b86277d14f8,67,3143,2.0271674657658454,1.3619193336989834,0.665248132066862,True,payload,33,34,94,5,5,3.967678895409634,3.503314971923828,36,32,18,0.5625,True,355,360
entropy_trial__1019b5cade7e5b86277d14f8,68,1931,0.7212589464096111,1.3619193336989834,-0.6406603872893724,False,ordinary_sampled_skip,34,34,94,,1,0.21875249903577654,0.0,37,32,18,0.5625,True,360,365
entropy_trial__1019b5cade7e5b86277d14f8,69,7246,0.29981953898068736,1.3619193336989834,-1.062099794718296,False,ordinary_sampled_skip,34,34,94,,1,0.054621976622080126,0.0,38,32,18,0.5625,True,365,370
entropy_trial__1019b5cade7e5b86277d14f8,70,13,0.24458641252831362,1.3619193336989834,-1.1173329211706697,False,ordinary_sampled_skip,34,34,94,,1,0.026205859127269804,0.0,39,32,17,0.53125,True,370,371
entropy_trial__1019b5cade7e5b86277d14f8,71,4220,3.3820222491594447,1.3619193336989834,2.0201029154604613,True,payload,34,35,93,7,7,4.13727954792385,3.262648582458496,40,32,17,0.53125,True,371,377
entropy_trial__1019b5cade7e5b86277d14f8,72,525,1.1324769314331429,1.3619193336989834,-0.22944240226584056,False,ordinary_sampled_skip,35,35,93,,2,3.274747236195342,3.129362106323242,41,32,17,0.53125,True,377,381
entropy_trial__1019b5cade7e5b86277d14f8,73,7790,2.343991456756901,1.3619193336989834,0.9820721230579177,True,payload,35,36,92,7,7,4.591599850974724,4.024587631225586,42,32,17,0.53125,True,381,394
entropy_trial__1019b5cade7e5b86277d14f8,74,8277,3.1775666992659257,1.3619193336989834,1.8156473655669423,True,payload,36,37,91,4,4,3.3663979332343885,2.818012237548828,43,32,18,0.5625,True,394,402
entropy_trial__1019b5cade7e5b86277d14f8,75,821,2.3960668292308935,1.3619193336989834,1.03414749553191,True,payload,37,38,90,3,3,2.750749403420528,2.292266845703125,44,32,18,0.5625,True,402,407
entropy_trial__1019b5cade7e5b86277d14f8,76,1119,1.0051695192709236,1.3619193336989834,-0.35674981442805986,False,ordinary_sampled_skip,38,38,90,,1,0.1379325733913177,0.0,45,32,18,0.5625,True,407,412
entropy_trial__1019b5cade7e5b86277d14f8,77,1039,0.8409822518917663,1.3619193336989834,-0.5209370818072171,False,ordinary_sampled_skip,38,38,90,,1,0.18597596522145565,0.0,46,32,17,0.53125,True,412,416
