"grouping","group_value","recovery_outcome","recovery_outcome_semantics","exact_recovery_compatibility_alias","exact_rank_replay_diagnostic_only","successes","total","estimate","confidence_level","wilson_ci_low","wilson_ci_high"
"overall","overall","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,6480,6480,1,0.95,0.999407533505393,1
"model_id","llama3_8b_instruct_q4_k_m","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,2160,2160,1,0.95,0.99822470412283,1
"model_id","mistral_7b_instruct_v0_3_q4_k_m","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,2160,2160,1,0.95,0.99822470412283,1
"model_id","qwen2_5_7b_instruct_q4_k_m","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,2160,2160,1,0.95,0.99822470412283,1
"protocol_variant","nonseg_ascii_b16","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,1440,1440,1,0.95,0.99733941784451,1
"protocol_variant","direct_subword_calgacus","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,1440,1440,1,0.95,0.99733941784451,1
"protocol_variant","nonseg_ascii_b8","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,1440,1440,1,0.95,0.99733941784451,1
"protocol_variant","nonseg_hex_nibble_b16","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,720,720,1,0.95,0.994692955516872,1
"protocol_variant","segmented_hex_multi_topic","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,720,720,1,0.95,0.994692955516872,1
"protocol_variant","segmented_hex_single_topic","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,720,720,1,0.95,0.994692955516872,1
"prompt_category","casual_conversation","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,1080,1080,1,0.95,0.996455700426081,1
"prompt_category","factual_explanatory","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,1080,1080,1,0.95,0.996455700426081,1
"prompt_category","forum_question_answer","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,1080,1080,1,0.95,0.996455700426081,1
"prompt_category","personal_narrative_blog","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,1080,1080,1,0.95,0.996455700426081,1
"prompt_category","professional_communication","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,1080,1080,1,0.95,0.996455700426081,1
"prompt_category","recipe_procedure","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,1080,1080,1,0.95,0.996455700426081,1
"payload_class","sha256_hex","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,1080,1080,1,0.95,0.996455700426081,1
"payload_class","aes256_gcm_base64","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,540,540,1,0.95,0.992936436238193,1
"payload_class","chacha20_poly1305_base64","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,540,540,1,0.95,0.992936436238193,1
"payload_class","ed25519_signature_base64","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,540,540,1,0.95,0.992936436238193,1
"payload_class","hmac_sha256_hex","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,1080,1080,1,0.95,0.996455700426081,1
"payload_class","nonce_96_bit_hex","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,1080,1080,1,0.95,0.996455700426081,1
"payload_class","token_128_bit_hex","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,1080,1080,1,0.95,0.996455700426081,1
"payload_class","uuid_v4","exact_payload_recovery","original_serialized_payload_bytes_sha256_v1",TRUE,TRUE,540,540,1,0.95,0.992936436238193,1
