source_type,source_id,payload_name,cover_prompt_name,alphabet_size,baseline_mode,character_count,token_count,line_count,whitespace_fraction,punctuation_fraction,digit_fraction,alphabetic_fraction,unique_token_fraction,repeated_token_fraction,mean_token_log_probability,median_token_log_probability,mean_generated_rank,p95_generated_rank,fraction_rank_le_16,fraction_rank_le_64
rankcloak,rankcloak_0,sha256_public_test_string,play_dialogue,8.0,,733,171,52,0.19099590723055934,0.19099590723055934,0.0,0.6180081855388813,0.5964912280701754,0.4035087719298246,-3.461279199881051,-3.1440882492881173,3.8947368421052633,7.0,1.0,1.0
rankcloak,rankcloak_1,sha256_public_test_string,recipe_blog,8.0,,752,171,4,0.1981382978723404,0.013297872340425532,0.0026595744680851063,0.7779255319148937,0.631578947368421,0.368421052631579,-3.2730965273323966,-3.088403194030594,3.8947368421052633,7.0,1.0,1.0
rankcloak,rankcloak_2,sha256_public_test_string,forum_reply,8.0,,908,171,13,0.15308370044052863,0.034140969162995596,0.0,0.8127753303964758,0.7192982456140351,0.2807017543859649,-3.313204318449406,-3.093270179466103,3.8947368421052633,7.0,1.0,1.0
rankcloak,rankcloak_3,sha256_public_test_string,technical_documentation,8.0,,792,171,9,0.1553030303030303,0.04419191919191919,0.03282828282828283,0.7588383838383839,0.7368421052631579,0.26315789473684215,-3.209631211247644,-3.0259340231376832,3.8947368421052633,7.0,1.0,1.0
rankcloak,rankcloak_4,sha256_public_test_string,play_dialogue,16.0,,464,128,14,0.17456896551724138,0.15948275862068967,0.0,0.665948275862069,0.6796875,0.3203125,-3.920836760162189,-3.669440470862921,4.96875,8.0,1.0,1.0
rankcloak,rankcloak_5,sha256_public_test_string,recipe_blog,16.0,,506,128,1,0.21739130434782608,0.03359683794466403,0.015810276679841896,0.733201581027668,0.6796875,0.3203125,-3.8395170292370295,-3.576146273968627,4.96875,8.0,1.0,1.0
rankcloak,rankcloak_6,sha256_public_test_string,forum_reply,16.0,,622,128,8,0.18006430868167203,0.022508038585209004,0.003215434083601286,0.792604501607717,0.8203125,0.1796875,-3.7309102690503106,-3.4876503927312257,4.96875,8.0,1.0,1.0
rankcloak,rankcloak_7,sha256_public_test_string,technical_documentation,16.0,,744,128,6,0.15725806451612903,0.013440860215053764,0.0,0.8293010752688172,0.71875,0.28125,-3.5845261143182268,-3.3697906610772517,4.96875,8.0,1.0,1.0
rankcloak,rankcloak_8,sha256_public_test_string,play_dialogue,32.0,,386,103,14,0.19430051813471502,0.06735751295336788,0.0025906735751295338,0.7305699481865285,0.8543689320388349,0.1456310679611651,-5.115484634813689,-5.099129459466322,14.019417475728156,26.89999999999999,0.5922330097087378,1.0
rankcloak,rankcloak_9,sha256_public_test_string,recipe_blog,32.0,,465,103,2,0.17634408602150536,0.04086021505376344,0.002150537634408602,0.7763440860215054,0.8349514563106796,0.16504854368932043,-4.909045333703019,-4.727356214153453,14.019417475728156,26.89999999999999,0.5922330097087378,1.0
rankcloak,rankcloak_10,sha256_public_test_string,forum_reply,32.0,,526,103,5,0.155893536121673,0.045627376425855515,0.011406844106463879,0.7870722433460076,0.8446601941747572,0.15533980582524276,-4.931394846320324,-4.954339250916085,14.019417475728156,26.89999999999999,0.5922330097087378,1.0
