trial_id,model_id,protocol_variant,payload_name,representation_name,H_bits,alphabet_size_B,theoretical_n_B,observed_n_forced,observed_n_tail,R_B_bits_per_forced_token,observed_rate_bits_per_forced_token,R_effective_bits_per_forced_plus_tail_token,rate_upper_bound_bits_per_forced_token,code_space_slack_bits,literal_padding_bits
revision_v1_smoke_v2__7677d78fd5ee2da58694,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_uuid_v4_015,ascii_b8,288.0,8,96,96,0,3.0,3.0,3.0,3.0,0.0,0
revision_v1_smoke_v2__ecf51dd8135380646c6b,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_aes256_gcm_base64_009,ascii_b16,512.0,16,128,128,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_smoke_v2__5255c624c13021e199da,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_003,hex_nibble,256.0,16,64,64,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_smoke_v2__c32b33f32f10c3e68ab1,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_hmac_sha256_hex_015,hex_nibble,256.0,16,64,64,147,4.0,4.0,1.2132701421800949,4.0,0.0,0
revision_v1_smoke_v2__7007bd1bb28be0d016b8,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_nonce_96_bit_hex_009,hex_nibble,96.0,16,24,24,55,4.0,4.0,1.2151898734177216,4.0,0.0,0
revision_v1_smoke_v2__a26981f8aa6e89e413e6,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_000,hex_nibble,256.0,16,64,64,320,4.0,4.0,0.6666666666666666,4.0,0.0,0
revision_v1_smoke_v2__bfbbc186bafd09160108,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_nonce_96_bit_hex_011,hex_nibble,96.0,16,24,24,195,4.0,4.0,0.4383561643835616,4.0,0.0,0
revision_v1_smoke_v2__ed90611d63f17244c0ca,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_nonce_96_bit_hex_006,hex_nibble,96.0,16,24,24,303,4.0,4.0,0.29357798165137616,4.0,0.0,0
revision_v1_smoke_v2__eba2c8e5771674a158a3,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_token_128_bit_hex_000,hex_nibble,128.0,16,32,32,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_smoke_v2__0338a28ec9940ca00e1b,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_004,hex_nibble,256.0,16,64,64,289,4.0,4.0,0.7252124645892352,4.0,0.0,0
