trial_id,model_id,protocol_variant,payload_name,representation_name,alphabet_size_B,forced_context_count,Q_B_nats_per_forced_token,Q_greedy_nats_per_forced_token,Q_rank_B_nats_per_forced_token,Delta_B_nats_per_forced_token,quality_status
revision_v1_smoke_v2__b9d8b3f4f0f06e2a6e6d,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,revision_v1_ed25519_signature_base64_017,direct_subword,,61,7.197836233627204,2.1362269283079636,,5.061609305319239,partially_evaluable
revision_v1_smoke_v2__7677d78fd5ee2da58694,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_uuid_v4_015,ascii_b8,8,96,3.4775246579349113,0.8627316453953657,5.2546948193411085,2.6147930125395455,validated
revision_v1_smoke_v2__ecf51dd8135380646c6b,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_aes256_gcm_base64_009,ascii_b16,16,128,3.9873135176982872,1.2175884482946362,5.59304505712652,2.7697250694036484,validated
revision_v1_smoke_v2__5255c624c13021e199da,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_003,hex_nibble,16,64,4.408034335083491,1.0823660895295217,5.592590610689648,3.3256682455539703,validated
revision_v1_smoke_v2__c32b33f32f10c3e68ab1,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_hmac_sha256_hex_015,hex_nibble,16,64,4.640531875542393,1.0063506591832538,6.498721488169422,3.6341812163591385,validated
revision_v1_smoke_v2__7007bd1bb28be0d016b8,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_nonce_96_bit_hex_009,hex_nibble,16,24,5.272749145349973,1.267935871602212,6.296597798189635,4.004813273747762,validated
revision_v1_smoke_v2__a26981f8aa6e89e413e6,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_000,hex_nibble,16,64,4.892450590743379,1.1255624342101365,6.376665701283769,3.7668881565332413,validated
revision_v1_smoke_v2__bfbbc186bafd09160108,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_nonce_96_bit_hex_011,hex_nibble,16,24,5.328216427781194,0.8668841066142012,6.892417981443811,4.461332321166992,validated
revision_v1_smoke_v2__ed90611d63f17244c0ca,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_nonce_96_bit_hex_006,hex_nibble,16,24,6.637829738668866,0.9593151786051856,8.023447948507732,5.67851456006368,validated
revision_v1_smoke_v2__eba2c8e5771674a158a3,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_token_128_bit_hex_000,hex_nibble,16,32,4.422176228755328,1.2584172952111699,5.775760667317722,3.163758933544159,validated
revision_v1_smoke_v2__0338a28ec9940ca00e1b,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_004,hex_nibble,16,64,4.911269899682134,1.1097881758967323,6.372899856642812,3.8014817237854004,validated
revision_v1_smoke_v2__0db20b3bdb040b463217,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_token_128_bit_hex_002,hex_nibble,16,32,6.656860724213452,0.4533691854504053,9.447977110865445,6.203491538763046,validated
revision_v1_smoke_v2__460f7fe252c00f49edf9,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,revision_v1_ed25519_signature_base64_016,direct_subword,,66,6.665950108793214,1.6006272870026916,,5.065322821790522,partially_evaluable
revision_v1_smoke_v2__36afcb3d72b8cefec941,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_uuid_v4_014,ascii_b8,8,96,4.262136616009382,0.5051174836336648,6.960321036674485,3.757019132375717,validated
revision_v1_smoke_v2__7441f3543c66805f07dc,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_chacha20_poly1305_base64_001,ascii_b16,16,128,4.279280436056286,0.8959406659180217,6.344490309076934,3.3833397701382637,validated
revision_v1_smoke_v2__ae6d6bd3328e4ac46bc4,qwen2_5_7b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_token_128_bit_hex_005,hex_nibble,16,32,5.190401380511236,0.6493885271272166,7.63111731931777,4.541012853384018,validated
revision_v1_smoke_v2__d5b7368fdca1fcb5b317,qwen2_5_7b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_sha256_hex_003,hex_nibble,16,64,5.1572533193163075,0.8692990484766174,6.865353504114548,4.287954270839691,validated
revision_v1_smoke_v2__b4e1448e16cf3c892770,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_hmac_sha256_hex_015,hex_nibble,16,64,4.966190287143553,0.8827153828447708,7.178935834438168,4.083474904298782,validated
revision_v1_smoke_v2__1e6abc2bfbebf2a788c9,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_nonce_96_bit_hex_009,hex_nibble,16,24,5.788852570168565,0.8212008453531956,7.022537586800645,4.967651724815369,validated
revision_v1_smoke_v2__2067535280845a8ef6ec,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_nonce_96_bit_hex_010,hex_nibble,16,24,5.1018005601752465,0.7871069503017938,7.31277203482277,4.314693609873454,validated
revision_v1_smoke_v2__c63f896cc62fce22a32d,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_token_128_bit_hex_004,hex_nibble,16,32,5.0916205881750765,0.7329254685557045,7.776832216850537,4.3586951196193695,validated
revision_v1_smoke_v2__a8c5599975b14b8304cc,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_002,hex_nibble,16,64,5.558602199861001,0.7609650203670952,7.298433334537934,4.797637179493904,validated
revision_v1_smoke_v2__a5773b75f3dd0b4755fc,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_nonce_96_bit_hex_007,hex_nibble,16,24,5.492607651336893,0.8436660947242428,7.166272499346637,4.648941556612651,validated
revision_v1_smoke_v2__5c0a0354254797fd0a3f,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_nonce_96_bit_hex_008,hex_nibble,16,24,5.2515929364752125,0.5305909140498791,8.423724673548477,4.721002022425334,validated
revision_v1_smoke_v2__278da89291fd2166c876,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,revision_v1_ed25519_signature_base64_015,direct_subword,,74,6.717450865051273,1.1460908875224156,,5.571359977528855,partially_evaluable
revision_v1_smoke_v2__4adab409ab0acd139202,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,revision_v1_uuid_v4_013,ascii_b8,8,96,3.8263864490349087,0.6822520169575017,5.705873441990118,3.144134432077408,validated
revision_v1_smoke_v2__6553129685f095c3cb0d,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,revision_v1_aes256_gcm_base64_007,ascii_b16,16,128,4.502629656289923,0.9544985517312164,5.9175860732246495,3.5481311045587063,validated
