report_status,source_artifact,source_sha256,Delta_B_nats_per_forced_token,H_bits,Q_B_nats_per_forced_token,Q_greedy_nats_per_forced_token,Q_rank_B_nats_per_forced_token,R_B_bits_per_forced_token,R_effective_bits_per_forced_plus_tail_token,alphabet_size_B,code_space_slack_bits,forced_context_count,literal_padding_bits,model_id,observed_n_forced,observed_n_tail,observed_rate_bits_per_forced_token,payload_name,protocol_variant,quality_status,rate_upper_bound_bits_per_forced_token,representation_name,theoretical_n_B,trial_id
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,288.0,,,,3.0,3.0,8,0.0,,0,llama3_8b_instruct_q4_k_m,96,0,3.0,revision_v1_uuid_v4_015,nonseg_ascii_b8,,3.0,ascii_b8,96,revision_v1_smoke_v3_payload_fidelity_v2__e72534365baa8895bae0
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,512.0,,,,4.0,4.0,16,0.0,,0,llama3_8b_instruct_q4_k_m,128,0,4.0,revision_v1_aes256_gcm_base64_009,nonseg_ascii_b16,,4.0,ascii_b16,128,revision_v1_smoke_v3_payload_fidelity_v2__707a25bae4837ced0fac
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,256.0,,,,4.0,4.0,16,0.0,,0,llama3_8b_instruct_q4_k_m,64,0,4.0,revision_v1_sha256_hex_003,nonseg_hex_nibble_b16,,4.0,hex_nibble,64,revision_v1_smoke_v3_payload_fidelity_v2__d27018e769db5eeecd4b
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,256.0,,,,4.0,1.2132701421800949,16,0.0,,0,llama3_8b_instruct_q4_k_m,64,147,4.0,revision_v1_hmac_sha256_hex_015,segmented_hex_single_topic,,4.0,hex_nibble,64,revision_v1_smoke_v3_payload_fidelity_v2__4be2b9486882e2972e7d
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,96.0,,,,4.0,1.2151898734177216,16,0.0,,0,llama3_8b_instruct_q4_k_m,24,55,4.0,revision_v1_nonce_96_bit_hex_009,segmented_hex_multi_topic,,4.0,hex_nibble,24,revision_v1_smoke_v3_payload_fidelity_v2__e9eccb6fef0e27a39e65
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,256.0,,,,4.0,0.6666666666666666,16,0.0,,0,llama3_8b_instruct_q4_k_m,64,320,4.0,revision_v1_sha256_hex_000,segmented_hex_multi_topic,,4.0,hex_nibble,64,revision_v1_smoke_v3_payload_fidelity_v2__6b3d576ef3dd8b206c3c
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,96.0,,,,4.0,0.4383561643835616,16,0.0,,0,llama3_8b_instruct_q4_k_m,24,195,4.0,revision_v1_nonce_96_bit_hex_011,segmented_hex_multi_topic,,4.0,hex_nibble,24,revision_v1_smoke_v3_payload_fidelity_v2__5ae7fc0932404d21420d
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,96.0,,,,4.0,0.29357798165137616,16,0.0,,0,llama3_8b_instruct_q4_k_m,24,303,4.0,revision_v1_nonce_96_bit_hex_006,segmented_hex_multi_topic,,4.0,hex_nibble,24,revision_v1_smoke_v3_payload_fidelity_v2__a2b08335891aefb13c6d
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,128.0,,,,4.0,4.0,16,0.0,,0,llama3_8b_instruct_q4_k_m,32,0,4.0,revision_v1_token_128_bit_hex_000,segmented_hex_multi_topic,,4.0,hex_nibble,32,revision_v1_smoke_v3_payload_fidelity_v2__056b300c7d6bf037631f
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,256.0,,,,4.0,0.7252124645892352,16,0.0,,0,llama3_8b_instruct_q4_k_m,64,289,4.0,revision_v1_sha256_hex_004,segmented_hex_multi_topic,,4.0,hex_nibble,64,revision_v1_smoke_v3_payload_fidelity_v2__f76b627129a01c577058
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,128.0,,,,4.0,1.7777777777777777,16,0.0,,0,llama3_8b_instruct_q4_k_m,32,40,4.0,revision_v1_token_128_bit_hex_002,segmented_hex_multi_topic,,4.0,hex_nibble,32,revision_v1_smoke_v3_payload_fidelity_v2__b2da5f662c97e99a5c9d
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,288.0,,,,3.0,3.0,8,0.0,,0,qwen2_5_7b_instruct_q4_k_m,96,0,3.0,revision_v1_uuid_v4_014,nonseg_ascii_b8,,3.0,ascii_b8,96,revision_v1_smoke_v3_payload_fidelity_v2__41f763b279e02bc317de
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,512.0,,,,4.0,4.0,16,0.0,,0,qwen2_5_7b_instruct_q4_k_m,128,0,4.0,revision_v1_chacha20_poly1305_base64_001,nonseg_ascii_b16,,4.0,ascii_b16,128,revision_v1_smoke_v3_payload_fidelity_v2__964138cb19ebfaf3ee33
