robustness_family,replay_mode,transformation_id,observed_outcome_rows,unavailable_rows,source_cover_units,recovery_rate,ci_low,ci_high,status,family_order,within_family_order,display_family,display_label,condition_role,interval_semantics,compact_order
replay_modes,saved_token_ids,unmodified,144,0,144,1.0,0.9740163628569632,0.9999999999999998,observed,0,0,Replay channels,Saved token IDs,unchanged_or_exact_baseline,source_cover_wilson_95_ci,0
replay_modes,detokenized_text_retokenized,unmodified,144,0,144,0.6111111111111112,0.5295890683279645,0.6868590123069163,observed,0,1,Replay channels,Unchanged text retokenized,unchanged_or_exact_baseline,source_cover_wilson_95_ci,1
replay_modes,greedy_leadin_regeneration,unmodified,144,0,144,1.0,0.9740163628569632,0.9999999999999998,observed,0,2,Replay channels,Greedy lead-in regeneration,unchanged_or_exact_baseline,source_cover_wilson_95_ci,2
raw_transmission,transformed_text_retokenized,unmodified,144,0,144,1.0,0.9740163628569632,0.9999999999999998,observed,1,0,Transmission transformations,Unchanged transmission text,unchanged_or_exact_baseline,source_cover_wilson_95_ci,3
raw_transmission,transformed_text_retokenized,whitespace_trim,144,0,144,0.1944444444444444,0.1380954559774095,0.2666723222766685,observed,1,1,Transmission transformations,Whitespace trim,modified_condition,source_cover_wilson_95_ci,4
raw_transmission,transformed_text_retokenized,unicode_normalization,144,0,144,0.5694444444444444,0.4878035778670699,0.6474764725297305,observed,1,4,Transmission transformations,Unicode normalization (NFKC),modified_condition,source_cover_wilson_95_ci,5
raw_transmission,transformed_text_retokenized,quote_conversion,144,0,144,0.3888888888888889,0.3131409876930837,0.4704109316720355,observed,1,5,Transmission transformations,Quote conversion,modified_condition,source_cover_wilson_95_ci,6
raw_transmission,transformed_text_retokenized,markdown_copy_paste,144,0,144,0.0,0.0,0.0259836371430367,observed,1,11,Transmission transformations,Markdown copy/paste,modified_condition,source_cover_wilson_95_ci,7
raw_transmission,transformed_text_retokenized,truncation,144,0,144,1.0,0.9740163628569632,0.9999999999999998,observed,1,10,Transmission transformations,Final 10% tail-only truncation,modified_condition,source_cover_wilson_95_ci,8
raw_transmission,transformed_text_retokenized,paraphrase,144,0,144,0.0,0.0,0.0259836371430367,observed,1,12,Transmission transformations,Paraphrase,modified_condition,source_cover_wilson_95_ci,9
cross_model_mismatch,cross_model_text_retokenized,unmodified,288,0,144,0.0,0.0,0.0259836371430367,observed,3,0,Model mismatch,Cross-model decoding,modified_condition,source_cover_wilson_95_ci,10
