source_type,trial_id,condition_name,payload_name,prompt_name,prompt_family,segment_index,token_filter_name,tail_policy,token_count,character_count,line_count,whitespace_fraction,punctuation_fraction,digit_fraction,alphabetic_fraction,unique_token_fraction,repeated_token_fraction,mean_token_log_probability,median_token_log_probability,mean_generated_rank,p95_generated_rank,contains_backtick,contains_bracket_placeholder,contains_url_fragment,contains_latex_fragment,contains_html_fragment,contains_markdown_heading,artifact_count_total,fraction_rank_le_16,fraction_rank_le_64
control_forced_prefix,control_segmented_single_topic_fixed_tail40_unfiltered,segmented_single_topic_fixed_tail40_unfiltered,,recipe_forum_exchange_specific,recipe_forum_exchange,0,none,fixed_tail40,4,7,2,0.2857142857142857,0.5714285714285714,0.0,0.14285714285714285,0.75,0.25,-4.898736664452686,-3.896294074244617,3.75,4.85,True,False,False,False,False,False,1,1.0,1.0
control_full_message,control_segmented_single_topic_fixed_tail40_unfiltered,segmented_single_topic_fixed_tail40_unfiltered,,recipe_forum_exchange_specific,recipe_forum_exchange,0,none,fixed_tail40,44,174,2,0.1839080459770115,0.06896551724137931,0.0,0.7471264367816092,0.7727272727272727,0.2272727272727273,-0.7429316834569959,-0.12049224205156328,1.25,3.700000000000003,True,False,False,False,False,False,1,1.0,1.0
control_forced_prefix,control_segmented_single_topic_sentence_tail_unfiltered,segmented_single_topic_sentence_tail_unfiltered,,recipe_forum_exchange_specific,recipe_forum_exchange,0,none,sentence_tail_min20_max60,4,7,2,0.2857142857142857,0.5714285714285714,0.0,0.14285714285714285,0.75,0.25,-4.898736664452686,-3.896294074244617,3.75,4.85,True,False,False,False,False,False,1,1.0,1.0
control_full_message,control_segmented_single_topic_sentence_tail_unfiltered,segmented_single_topic_sentence_tail_unfiltered,,recipe_forum_exchange_specific,recipe_forum_exchange,0,none,sentence_tail_min20_max60,30,115,2,0.2,0.06956521739130435,0.0,0.7304347826086957,0.9,0.09999999999999998,-0.9063325924039302,-0.1276135335953299,1.3666666666666667,4.0,True,False,False,False,False,False,1,1.0,1.0
control_forced_prefix,control_segmented_multi_topic_sentence_tail_unfiltered,segmented_multi_topic_sentence_tail_unfiltered,,recipe_forum_exchange_specific,recipe_forum_exchange,0,none,sentence_tail_min20_max60,4,7,2,0.2857142857142857,0.5714285714285714,0.0,0.14285714285714285,0.75,0.25,-4.898736664452686,-3.896294074244617,3.75,4.85,True,False,False,False,False,False,1,1.0,1.0
control_full_message,control_segmented_multi_topic_sentence_tail_unfiltered,segmented_multi_topic_sentence_tail_unfiltered,,recipe_forum_exchange_specific,recipe_forum_exchange,0,none,sentence_tail_min20_max60,30,115,2,0.2,0.06956521739130435,0.0,0.7304347826086957,0.9,0.09999999999999998,-0.9063325924039302,-0.1276135335953299,1.3666666666666667,4.0,True,False,False,False,False,False,1,1.0,1.0
control_forced_prefix,control_segmented_single_topic_sentence_tail_filtered,segmented_single_topic_sentence_tail_filtered,,recipe_forum_exchange_specific,recipe_forum_exchange,0,safe_text_filter_v1,sentence_tail_min20_max60,4,15,1,0.06666666666666667,0.2,0.0,0.7333333333333333,1.0,0.0,-3.082543980838324,-3.3259240574224807,3.75,4.85,False,False,False,False,False,False,0,1.0,1.0
control_full_message,control_segmented_single_topic_sentence_tail_filtered,segmented_single_topic_sentence_tail_filtered,,recipe_forum_exchange_specific,recipe_forum_exchange,0,safe_text_filter_v1,sentence_tail_min20_max60,38,158,2,0.17088607594936708,0.056962025316455694,0.0,0.7721518987341772,0.9210526315789473,0.07894736842105265,-0.634144539914686,-0.3658644704563567,1.2894736842105263,4.0,False,False,False,False,False,False,0,1.0,1.0
control_forced_prefix,control_segmented_multi_topic_sentence_tail_filtered,segmented_multi_topic_sentence_tail_filtered,,recipe_forum_exchange_specific,recipe_forum_exchange,0,safe_text_filter_v1,sentence_tail_min20_max60,4,15,1,0.06666666666666667,0.2,0.0,0.7333333333333333,1.0,0.0,-3.082543980838324,-3.3259240574224807,3.75,4.85,False,False,False,False,False,False,0,1.0,1.0
control_full_message,control_segmented_multi_topic_sentence_tail_filtered,segmented_multi_topic_sentence_tail_filtered,,recipe_forum_exchange_specific,recipe_forum_exchange,0,safe_text_filter_v1,sentence_tail_min20_max60,38,158,2,0.17088607594936708,0.056962025316455694,0.0,0.7721518987341772,0.9210526315789473,0.07894736842105265,-0.634144539914686,-0.3658644704563567,1.2894736842105263,4.0,False,False,False,False,False,False,0,1.0,1.0
segmented_forced_prefix,quality_001,segmented_single_topic_fixed_tail40_unfiltered,sha256_public_test_string,recipe_long_specific,recipe,1,none,fixed_tail40,8,20,1,0.05,0.15,0.0,0.8,1.0,0.0,-4.3343696657985324,-3.508399250885578,6.25,14.599999999999998,False,False,False,False,False,False,0,1.0,1.0
