trial_id,payload_name,payload_kind,payload_text_character_length,payload_text_byte_length,payload_codec_name,condition_name,segment_size,segment_count,message_count,topic_schedule_name,natural_tail_tokens_per_message,total_forced_rank_count,total_generated_token_count,total_generated_character_count,exact_recovery,generation_seconds,recovery_seconds,mean_token_log_probability,median_token_log_probability,mean_generated_rank,p95_generated_rank,repeated_token_fraction_mean,punctuation_fraction_mean,alphabetic_fraction_mean,model_repo_id,model_filename,model_path_relative,notes
segmented_001,sha256_public_test_string,sha256_hex,64,64,raw_hex_nibbles,single_long_recipe_no_tail,8,1,1,single_recipe_long,0,64,64,233,True,24.336358194006607,22.594738905027043,-4.671363834642375,-4.461337981457878,8.46875,15.849999999999994,0.09375,0.06437768240343347,0.7725321888412017,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,one forced span; no natural tail
segmented_002,sha256_public_test_string,sha256_hex,64,64,raw_hex_nibbles,single_long_recipe_tail40,8,1,1,single_recipe_long,40,64,104,399,True,42.35131175199058,28.506623752007727,-3.280445944487394,-3.1638826866966223,5.596153846153846,15.0,0.24038461538461542,0.047619047619047616,0.7769423558897243,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,one forced span; decoder ignores greedy tail
segmented_003,sha256_public_test_string,sha256_hex,64,64,raw_hex_nibbles,segmented_single_topic_no_tail,8,8,8,single_recipe_long,0,64,64,322,True,83.37933302501915,100.29085529397707,-4.753811803455745,-4.3737971720911695,8.46875,15.849999999999994,0.0,0.0321532634032634,0.8272436405370674,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,8-rank segments; same recipe prompt for every message
segmented_004,sha256_public_test_string,sha256_hex,64,64,raw_hex_nibbles,segmented_single_topic_tail40,8,8,8,single_recipe_long,40,64,384,1750,True,187.189032089198,87.30362773896195,-1.3614627188411241,-0.758831529382423,2.2447916666666665,11.849999999999966,0.2109375,0.029889663741453642,0.7995829655037408,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,8-rank segments; same recipe prompt; decoder ignores greedy tails
segmented_005,sha256_public_test_string,sha256_hex,64,64,raw_hex_nibbles,segmented_multi_topic_tail40,8,8,8,mixed_recipe_forum_car_blog,40,64,384,1653,True,119.75929013994755,46.76734865503386,-1.232523022343717,-0.5644808308786242,2.2447916666666665,11.849999999999966,0.14583333333333337,0.0539690755702459,0.7724360900023005,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,8-rank segments; rotating prompt schedule; decoder ignores greedy tails
segmented_006,random_128_bit_hex,random_hex,32,32,raw_hex_nibbles,single_long_recipe_no_tail,8,1,1,single_recipe_long,0,32,32,158,True,14.354072019981686,14.94108443998266,-4.345224120250197,-4.088396570701132,7.25,15.0,0.03125,0.02531645569620253,0.8164556962025317,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,one forced span; no natural tail
segmented_007,random_128_bit_hex,random_hex,32,32,raw_hex_nibbles,single_long_recipe_tail40,8,1,1,single_recipe_long,40,32,72,330,True,22.687395368993748,13.870709212962538,-2.535529303234733,-1.78641821781493,3.7777777777777777,15.0,0.16666666666666663,0.030303030303030304,0.796969696969697,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,one forced span; decoder ignores greedy tail
segmented_008,random_128_bit_hex,random_hex,32,32,raw_hex_nibbles,segmented_single_topic_no_tail,8,4,4,single_recipe_long,0,32,32,146,True,35.004232529958244,35.21244628698332,-4.609325847289391,-4.3526515510464545,7.25,15.0,0.0,0.0634582240057622,0.7686467819107887,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,8-rank segments; same recipe prompt for every message
segmented_009,random_128_bit_hex,random_hex,32,32,raw_hex_nibbles,segmented_single_topic_tail40,8,4,4,single_recipe_long,40,32,192,870,True,72.58027187391417,33.36878234706819,-1.2559915932771002,-0.5856143050059384,2.0416666666666665,10.449999999999989,0.18229166666666666,0.03933780399012349,0.7904521810778091,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,8-rank segments; same recipe prompt; decoder ignores greedy tails
segmented_010,random_128_bit_hex,random_hex,32,32,raw_hex_nibbles,segmented_multi_topic_tail40,8,4,4,mixed_recipe_forum_car_blog,40,32,192,815,True,59.489936625992414,23.283823820995167,-1.2330306245776608,-0.521498593238686,2.0416666666666665,10.449999999999989,0.18750000000000003,0.046207959328928974,0.7713952722654862,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,8-rank segments; rotating prompt schedule; decoder ignores greedy tails
