source_type,trial_id,condition_name,payload_name,prompt_name,prompt_family,segment_index,token_count,character_count,line_count,whitespace_fraction,punctuation_fraction,digit_fraction,alphabetic_fraction,unique_token_fraction,repeated_token_fraction,mean_token_log_probability,median_token_log_probability,mean_generated_rank,p95_generated_rank,fraction_rank_le_16,fraction_rank_le_64
segmented_protocol_message,segmented_001,single_long_recipe_no_tail,sha256_public_test_string,recipe_long_specific,recipe,1,64,233,2,0.1630901287553648,0.06437768240343347,0.0,0.7725321888412017,0.90625,0.09375,-4.671363834642375,-4.461337981457878,8.46875,15.849999999999994,1.0,1.0
segmented_protocol_message,segmented_002,single_long_recipe_tail40,sha256_public_test_string,recipe_long_specific,recipe,1,104,399,2,0.17543859649122806,0.047619047619047616,0.0,0.7769423558897243,0.7596153846153846,0.24038461538461542,-3.280445944487394,-3.1638826866966223,5.596153846153846,15.0,1.0,1.0
segmented_protocol_message,segmented_003,segmented_single_topic_no_tail,sha256_public_test_string,recipe_long_specific,recipe,1,8,20,1,0.05,0.15,0.0,0.8,1.0,0.0,-4.3343696657985324,-3.508399250885578,6.25,14.599999999999998,1.0,1.0
segmented_protocol_message,segmented_003,segmented_single_topic_no_tail,sha256_public_test_string,recipe_long_specific,recipe,2,8,39,1,0.1282051282051282,0.0,0.0,0.8461538461538461,1.0,0.0,-4.762247698523064,-4.34568686678724,7.75,13.599999999999998,1.0,1.0
segmented_protocol_message,segmented_003,segmented_single_topic_no_tail,sha256_public_test_string,recipe_long_specific,recipe,3,8,48,1,0.14583333333333334,0.0,0.0,0.8541666666666666,1.0,0.0,-4.429262881928734,-4.182944655881462,9.25,15.0,1.0,1.0
segmented_protocol_message,segmented_003,segmented_single_topic_no_tail,sha256_public_test_string,recipe_long_specific,recipe,4,8,33,1,0.18181818181818182,0.030303030303030304,0.0,0.7878787878787878,1.0,0.0,-4.453584200926432,-3.797579444313314,6.125,13.199999999999996,1.0,1.0
segmented_protocol_message,segmented_003,segmented_single_topic_no_tail,sha256_public_test_string,recipe_long_specific,recipe,5,8,39,3,0.15384615384615385,0.07692307692307693,0.0,0.7692307692307693,1.0,0.0,-5.390654834440214,-5.041218189492657,9.75,13.95,1.0,1.0
segmented_protocol_message,segmented_003,segmented_single_topic_no_tail,sha256_public_test_string,recipe_long_specific,recipe,6,8,44,1,0.11363636363636363,0.0,0.0,0.8636363636363636,1.0,0.0,-4.30739662587661,-4.318799696261706,9.25,13.649999999999999,1.0,1.0
segmented_protocol_message,segmented_003,segmented_single_topic_no_tail,sha256_public_test_string,recipe_long_specific,recipe,7,8,46,1,0.15217391304347827,0.0,0.0,0.8478260869565217,1.0,0.0,-4.960133595197018,-3.7899894325268466,8.625,15.649999999999999,1.0,1.0
segmented_protocol_message,segmented_003,segmented_single_topic_no_tail,sha256_public_test_string,recipe_long_specific,recipe,8,8,53,1,0.1320754716981132,0.0,0.0,0.8490566037735849,1.0,0.0,-5.392844924955354,-5.2577434712521445,10.75,15.299999999999999,1.0,1.0
segmented_protocol_message,segmented_004,segmented_single_topic_tail40,sha256_public_test_string,recipe_long_specific,recipe,1,48,193,2,0.16062176165803108,0.046632124352331605,0.0,0.7927461139896373,0.8125,0.1875,-1.2362570589104258,-0.7241550257220304,1.875,6.599999999999994,1.0,1.0
segmented_protocol_message,segmented_004,segmented_single_topic_tail40,sha256_public_test_string,recipe_long_specific,recipe,2,48,217,1,0.16129032258064516,0.027649769585253458,0.0,0.8064516129032258,0.8333333333333334,0.16666666666666663,-1.4342907491324317,-0.9225371097654147,2.125,10.299999999999997,1.0,1.0
segmented_protocol_message,segmented_004,segmented_single_topic_tail40,sha256_public_test_string,recipe_long_specific,recipe,3,48,251,1,0.15139442231075698,0.027888446215139442,0.0,0.8207171314741036,0.7291666666666666,0.27083333333333337,-1.5415106732270285,-0.9045030257756057,2.375,13.299999999999997,1.0,1.0
segmented_protocol_message,segmented_004,segmented_single_topic_tail40,sha256_public_test_string,recipe_long_specific,recipe,4,48,218,1,0.1743119266055046,0.027522935779816515,0.0,0.7981651376146789,0.7708333333333334,0.22916666666666663,-1.2197320933613545,-0.6581558482951699,1.8541666666666667,6.0,1.0,1.0
segmented_protocol_message,segmented_004,segmented_single_topic_tail40,sha256_public_test_string,recipe_long_specific,recipe,5,48,227,3,0.17180616740088106,0.039647577092511016,0.0,0.788546255506608,0.8541666666666666,0.14583333333333337,-1.4957177000928759,-0.8423691290908533,2.4583333333333335,11.0,1.0,1.0
segmented_protocol_message,segmented_004,segmented_single_topic_tail40,sha256_public_test_string,recipe_long_specific,recipe,6,48,213,1,0.1643192488262911,0.018779342723004695,0.0,0.8075117370892019,0.8541666666666666,0.14583333333333337,-1.2960059305875704,-0.6245414901395883,2.375,11.599999999999994,1.0,1.0
segmented_protocol_message,segmented_004,segmented_single_topic_tail40,sha256_public_test_string,recipe_long_specific,recipe,7,48,213,1,0.1784037558685446,0.023474178403755867,0.0,0.7981220657276995,0.7083333333333334,0.29166666666666663,-1.2766309353447112,-0.6327958002288874,2.2708333333333335,11.249999999999993,1.0,1.0
