split_id,regime,held_out_value,detector_name,requested_kind,implementation_kind,n_test_rows,n_payload_groups,positive_rows,negative_rows,analysis_unit,confidence_level,metric,estimate,ci_low,ci_high,bootstrap_resamples_requested,bootstrap_resamples_valid,evidence_status,metric_source,decision_threshold,false_positive_rate_constraint,higher_is_better
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,880,80,440,440,payload_group_id,0.95,balanced_accuracy,0.9886363636363636,0.980232238691541,0.9955555555555556,2000,2000,confirmatory_frozen_upstream,frozen_upstream_payload_group_bootstrap,0.5,,True
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,880,80,440,440,payload_group_id,0.95,brier_score,0.007505687000873558,0.0031488632555151737,0.012820993682088586,2000,2000,supplementary_exploratory_post_freeze,recomputed_payload_group_bootstrap,,,False
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,880,80,440,440,payload_group_id,0.95,f1,0.9885844748858448,0.980101505312687,0.9955555555555556,2000,2000,confirmatory_frozen_upstream,frozen_upstream_payload_group_bootstrap,0.5,,True
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,880,80,440,440,payload_group_id,0.95,pr_auc,0.999720587527577,0.9993458523397872,0.999954894053709,2000,2000,confirmatory_frozen_upstream,frozen_upstream_payload_group_bootstrap,,,True
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,880,80,440,440,payload_group_id,0.95,precision,0.9931192660550459,0.9844097995545658,1.0,2000,2000,supplementary_exploratory_post_freeze,recomputed_payload_group_bootstrap,0.5,,True
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,880,80,440,440,payload_group_id,0.95,recall,0.9840909090909092,0.9685393258426966,0.9957000686341798,2000,2000,confirmatory_frozen_upstream,frozen_upstream_payload_group_bootstrap,0.5,,True
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,880,80,440,440,payload_group_id,0.95,roc_auc,0.9997159090909092,0.9993292490342376,0.9999546485260772,2000,2000,confirmatory_frozen_upstream,frozen_upstream_payload_group_bootstrap,,,True
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,880,80,440,440,payload_group_id,0.95,specificity,0.9931818181818182,0.9844400749063672,1.0,2000,2000,confirmatory_frozen_upstream,frozen_upstream_payload_group_bootstrap,0.5,,True
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,880,80,440,440,payload_group_id,0.95,tpr_at_fpr_0.01,0.990909090909091,0.971076891837011,1.0,2000,2000,supplementary_exploratory_post_freeze,recomputed_payload_group_bootstrap,,0.01,True
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,deberta_v3_base_classifier,pretrained_transformer,pretrained_transformer,880,80,440,440,payload_group_id,0.95,tpr_at_fpr_0.05,1.0,0.9953488372093023,1.0,2000,2000,supplementary_exploratory_post_freeze,recomputed_payload_group_bootstrap,,0.05,True
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,published_textcnn_equivalent,text_cnn,text_cnn,880,80,440,440,payload_group_id,0.95,balanced_accuracy,0.9170454545454544,0.8988505747126436,0.9354875787912496,2000,2000,confirmatory_frozen_upstream,frozen_upstream_payload_group_bootstrap,0.5,,True
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,published_textcnn_equivalent,text_cnn,text_cnn,880,80,440,440,payload_group_id,0.95,brier_score,0.06857280707535371,0.05397647686462503,0.08420295222938622,2000,2000,supplementary_exploratory_post_freeze,recomputed_payload_group_bootstrap,,,False
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,published_textcnn_equivalent,text_cnn,text_cnn,880,80,440,440,payload_group_id,0.95,f1,0.9203925845147218,0.9035817914609792,0.937729697688204,2000,2000,confirmatory_frozen_upstream,frozen_upstream_payload_group_bootstrap,0.5,,True
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,published_textcnn_equivalent,text_cnn,text_cnn,880,80,440,440,payload_group_id,0.95,pr_auc,0.9823576193006758,0.9732352524402066,0.9902236013408772,2000,2000,confirmatory_frozen_upstream,frozen_upstream_payload_group_bootstrap,,,True
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,published_textcnn_equivalent,text_cnn,text_cnn,880,80,440,440,payload_group_id,0.95,precision,0.8846960167714885,0.8591528903148621,0.9081442957141103,2000,2000,supplementary_exploratory_post_freeze,recomputed_payload_group_bootstrap,0.5,,True
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,published_textcnn_equivalent,text_cnn,text_cnn,880,80,440,440,payload_group_id,0.95,recall,0.9590909090909092,0.9369416996047432,0.9793103448275862,2000,2000,confirmatory_frozen_upstream,frozen_upstream_payload_group_bootstrap,0.5,,True
held_out_template:casual_hobby_chat,held_out_template,casual_hobby_chat,published_textcnn_equivalent,text_cnn,text_cnn,880,80,440,440,payload_group_id,0.95,roc_auc,0.9816709710743802,0.9729455759844964,0.9895192107846084,2000,2000,confirmatory_frozen_upstream,frozen_upstream_payload_group_bootstrap,,,True
