detector,detector_label,generation_study,evaluation_id,implementation_kind,training_rows,validation_rows,test_rows,validation_negative_count,test_negative_count,test_positive_count,test_group_count,training_quantizations,test_quantizations,seed,threshold_selected_on_test,partial_auc_normalization,bootstrap_resamples,fpr_0_001_available,fpr_0_001_unavailable_reason,roc_auc,roc_auc_ci_low_95,roc_auc_ci_high_95,partial_auc_fpr_0_01,partial_auc_fpr_0_01_ci_low_95,partial_auc_fpr_0_01_ci_high_95,threshold_at_fpr_0_01,tpr_at_fpr_0_01,tpr_at_fpr_0_01_ci_low_95,tpr_at_fpr_0_01_ci_high_95,fpr_at_threshold_0_01,fpr_at_threshold_0_01_ci_low_95,fpr_at_threshold_0_01_ci_high_95,false_positives_at_fpr_0_01,true_positives_at_fpr_0_01,threshold_at_fpr_0_001,tpr_at_fpr_0_001,fpr_at_threshold_0_001,false_positives_at_fpr_0_001
deberta,DeBERTa-v3-base,entropy,entropy_gates,pretrained_transformer,9142,2880,692,1440,346,346,16,historical_mixed_q4,Q4_K_M,171949248,False,raw empirical step area divided by 0.01,2000,False,test negatives do not support the requested empirical resolution,0.9649336763674029,0.9509452535693873,0.9802733430107377,0.6698018644124429,0.5927987072347423,0.8220746323408444,0.0008289444376714528,0.7803468208092486,0.7230234951123307,0.843196889317579,0.017341040462427744,0.0,0.03968479437229436,6,270,,,,
surprisal,Model-aware surprisal,entropy,entropy_gates,saved_generation_trace_logistic,9142,2880,692,1440,346,346,16,historical_mixed_q4,Q4_K_M,4064916754,False,raw empirical step area divided by 0.01,2000,False,test negatives do not support the requested empirical resolution,0.9974355975809416,0.9949260191731562,0.9993153972075517,0.9215142503925959,0.8921795505411295,0.9751240964413097,0.44431123020880314,0.8641618497109826,0.8318499903809157,0.899390243902439,0.0,0.0,0.0,0,299,,,,
textcnn,TextCNN,entropy,entropy_gates,text_cnn,9142,2880,692,1440,346,346,16,historical_mixed_q4,Q4_K_M,3835113513,False,raw empirical step area divided by 0.01,2000,False,test negatives do not support the requested empirical resolution,0.956939757425908,0.9384000638888889,0.9727578086548315,0.6665942731130342,0.5838626183603413,0.7920195530350274,0.9073792695999146,0.6994219653179191,0.6296296296296297,0.7804972146943692,0.011560693641618497,0.0,0.030773993808049512,4,242,,,,
deberta,DeBERTa-v3-base,quantization,pooled_quantizations,pretrained_transformer,2304,768,768,384,384,384,96,Q4_K_M;Q8_0,Q4_K_M;Q8_0,4052855990,False,raw empirical step area divided by 0.01,2000,False,test negatives do not support the requested empirical resolution,1.0,1.0,1.0,1.0,1.0,1.0,0.0004106300475541502,1.0,1.0,1.0,0.0078125,0.0,0.018229166666666668,3,384,,,,
surprisal,Model-aware surprisal,quantization,pooled_quantizations,saved_generation_trace_logistic,2304,768,768,384,384,384,96,Q4_K_M;Q8_0,Q4_K_M;Q8_0,3204817752,False,raw empirical step area divided by 0.01,2000,False,test negatives do not support the requested empirical resolution,1.0,1.0,1.0,1.0,1.0,1.0,0.837992540240579,0.9947916666666666,0.9869791666666666,1.0,0.0,0.0,0.0,0,382,,,,
textcnn,TextCNN,quantization,pooled_quantizations,text_cnn,2304,768,768,384,384,384,96,Q4_K_M;Q8_0,Q4_K_M;Q8_0,2708171723,False,raw empirical step area divided by 0.01,2000,False,test negatives do not support the requested empirical resolution,0.9964599609375,0.9935979207356771,0.998671129014757,0.8257378472222222,0.7526041666666665,0.9451368543836804,0.5780910849571228,0.9609375,0.9375,0.9791666666666666,0.0234375,0.0078125,0.041666666666666664,9,369,,,,
deberta,DeBERTa-v3-base,quantization,q4_to_q8,pretrained_transformer,1152,384,384,192,192,192,96,Q4_K_M,Q8_0,1780052865,False,raw empirical step area divided by 0.01,2000,False,test negatives do not support the requested empirical resolution,1.0,1.0,1.0,1.0,1.0,1.0,0.0737050250172615,1.0,1.0,1.0,0.0,0.0,0.0,0,192,,,,
surprisal,Model-aware surprisal,quantization,q4_to_q8,saved_generation_trace_logistic,1152,384,384,192,192,192,96,Q4_K_M,Q8_0,3512172799,False,raw empirical step area divided by 0.01,2000,False,test negatives do not support the requested empirical resolution,1.0,1.0,1.0,1.0,1.0,1.0,0.8014620251364444,1.0,1.0,1.0,0.0,0.0,0.0,0,192,,,,
textcnn,TextCNN,quantization,q4_to_q8,text_cnn,1152,384,384,192,192,192,96,Q4_K_M,Q8_0,597063697,False,raw empirical step area divided by 0.01,2000,False,test negatives do not support the requested empirical resolution,0.9927029079861112,0.9853786892361112,0.9977213541666666,0.75390625,0.6666666666666666,0.8854166666666666,0.6581659317016602,0.9375,0.9010416666666666,0.96875,0.036458333333333336,0.010416666666666666,0.06770833333333333,7,180,,,,
deberta,DeBERTa-v3-base,quantization,q8_to_q4,pretrained_transformer,1152,384,384,192,192,192,96,Q8_0,Q4_K_M,2205604550,False,raw empirical step area divided by 0.01,2000,False,test negatives do not support the requested empirical resolution,1.0,1.0,1.0,1.0,1.0,1.0,0.0008549339836463332,1.0,1.0,1.0,0.015625,0.0,0.036458333333333336,3,192,,,,
surprisal,Model-aware surprisal,quantization,q8_to_q4,saved_generation_trace_logistic,1152,384,384,192,192,192,96,Q8_0,Q4_K_M,1405337665,False,raw empirical step area divided by 0.01,2000,False,test negatives do not support the requested empirical resolution,1.0,1.0,1.0,1.0,1.0,1.0,0.8270687345176156,0.9791666666666666,0.9583333333333334,0.9947916666666666,0.0,0.0,0.0,0,188,,,,
textcnn,TextCNN,quantization,q8_to_q4,text_cnn,1152,384,384,192,192,192,96,Q8_0,Q4_K_M,267850506,False,raw empirical step area divided by 0.01,2000,False,test negatives do not support the requested empirical resolution,0.9944118923611112,0.9902594672309029,0.9978569878472222,0.8297526041666666,0.7708333333333334,0.9427083333333334,0.5067657828330994,0.9479166666666666,0.9166666666666666,0.9791666666666666,0.026041666666666668,0.005208333333333333,0.052083333333333336,5,182,,,,
