detector,detector_label,evaluation_id,implementation_kind,training_rows,validation_rows,test_rows,validation_negative_count,test_negative_count,test_positive_count,test_group_count,training_model_ids,validation_model_ids,test_model_ids,seed,threshold_selected_on_test,bootstrap_resamples,partial_auc_convention,roc_auc,roc_auc_ci_low_95,roc_auc_ci_high_95,partial_auc_fpr_0_01,partial_auc_fpr_0_01_ci_low_95,partial_auc_fpr_0_01_ci_high_95,threshold_at_fpr_0_01,tpr_at_fpr_0_01,tpr_at_fpr_0_01_ci_low_95,tpr_at_fpr_0_01_ci_high_95,fpr_at_threshold_0_01,fpr_at_threshold_0_01_ci_low_95,fpr_at_threshold_0_01_ci_high_95,false_positives_at_fpr_0_01,true_positives_at_fpr_0_01,threshold_at_fpr_0_001,tpr_at_fpr_0_001,tpr_at_fpr_0_001_ci_low_95,tpr_at_fpr_0_001_ci_high_95,fpr_at_threshold_0_001,fpr_at_threshold_0_001_ci_low_95,fpr_at_threshold_0_001_ci_high_95,false_positives_at_fpr_0_001,true_positives_at_fpr_0_001,fpr_0_01_available,fpr_0_01_unavailable_reason,fpr_0_01_validation_false_positives,fpr_0_01_validation_empirical_fpr,fpr_0_001_available,fpr_0_001_unavailable_reason,fpr_0_001_validation_false_positives,fpr_0_001_validation_empirical_fpr
textcnn,TextCNN,matched,text_cnn,9904,2952,2982,1476,1491,1491,99,llama3_8b_instruct_q4_k_m;mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m;mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m;mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,1850642311,False,2000,raw empirical step area divided by 0.01,0.9868216677664916,0.9819003719484167,0.9913316570078569,0.6651831399755566,0.5355456500025703,0.7876014776257528,0.9779303073883057,0.8316566063044937,0.798140770252324,0.8658370041550578,0.012743125419181758,0.007293636209130888,0.017931017632212838,19,1240,0.9999798536300659,0.482897384305835,0.4385247730992412,0.5297767860795013,0.0013413816230717639,0.0,0.0033875338753387536,2.0,720.0,True,,14,0.009485094850948509,True,,1.0,0.0006775067750677507
textcnn,TextCNN,leave_one_model__llama3_8b_instruct_q4_k_m,text_cnn,6602,1968,994,984,497,497,99,mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,1206874283,False,2000,raw empirical step area divided by 0.01,0.9186163257209251,0.8932137872929753,0.9404783968946867,0.05609917047556971,0.0,0.23376525828317166,0.9099432229995728,0.710261569416499,0.6599633449692671,0.7571115973741794,0.07042253521126761,0.04814004376367615,0.09774737109678108,35,353,,,,,,,,,,True,,9,0.009146341463414634,False,test negatives do not support the requested empirical resolution,,
textcnn,TextCNN,leave_one_model__mistral_7b_instruct_v0_3_q4_k_m,text_cnn,6604,1968,994,984,497,497,99,llama3_8b_instruct_q4_k_m;qwen2_5_7b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m;qwen2_5_7b_instruct_q4_k_m,mistral_7b_instruct_v0_3_q4_k_m,108979142,False,2000,raw empirical step area divided by 0.01,0.978361112348133,0.9699706298829995,0.9860590716258548,0.6234914517284796,0.4724517064682545,0.7707492546218105,0.8154950141906738,0.8329979879275654,0.795111622747571,0.8715203426124197,0.03621730382293763,0.018867924528301886,0.05469602407495251,18,414,,,,,,,,,,True,,9,0.009146341463414634,False,test negatives do not support the requested empirical resolution,,
textcnn,TextCNN,leave_one_model__qwen2_5_7b_instruct_q4_k_m,text_cnn,6602,1968,994,984,497,497,99,llama3_8b_instruct_q4_k_m;mistral_7b_instruct_v0_3_q4_k_m,llama3_8b_instruct_q4_k_m;mistral_7b_instruct_v0_3_q4_k_m,qwen2_5_7b_instruct_q4_k_m,800712015,False,2000,raw empirical step area divided by 0.01,0.9759563416717609,0.9647485404385879,0.9855363737449733,0.6194996943431211,0.5539627023821062,0.7339859119477358,0.9766652584075928,0.7826961770623743,0.7297686356196994,0.8402586748441917,0.02012072434607646,0.007588349431453397,0.03822937625754527,10,389,,,,,,,,,,True,,9,0.009146341463414634,False,test negatives do not support the requested empirical resolution,,
deberta,DeBERTa-v3-base,matched,pretrained_transformer,9904,2952,2982,1476,1491,1491,99,llama3_8b_instruct_q4_k_m;mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m;mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m;mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,309852518,False,2000,raw empirical step area divided by 0.01,0.9994296204231875,0.9983708279581075,0.9999805999552035,0.9948063071026205,0.9902083096640083,0.9986979166666666,0.05200452730059624,0.9912810194500336,0.9846743295019157,0.9967134915865384,0.0006706908115358819,0.0,0.0020964360587002098,1,1478,0.2184048593044281,0.98859825620389,0.9814077025232404,0.994634473507713,0.0006706908115358819,0.0,0.0020964360587002098,1.0,1474.0,True,,5,0.0033875338753387536,True,,1.0,0.0006775067750677507
deberta,DeBERTa-v3-base,leave_one_model__llama3_8b_instruct_q4_k_m,pretrained_transformer,6602,1968,994,984,497,497,99,mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,2142171086,False,2000,raw empirical step area divided by 0.01,0.9971944342108991,0.9945858258355338,0.9991490064712045,0.8052904954880187,0.6836424848214918,0.9494871264189967,0.0029581726994365454,0.9979879275653923,0.9937759336099585,1.0,0.056338028169014086,0.03382729622799136,0.08263244659512584,28,496,,,,,,,,,,True,,3,0.003048780487804878,False,test negatives do not support the requested empirical resolution,,
deberta,DeBERTa-v3-base,leave_one_model__mistral_7b_instruct_v0_3_q4_k_m,pretrained_transformer,6604,1968,994,984,497,497,99,llama3_8b_instruct_q4_k_m;qwen2_5_7b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m;qwen2_5_7b_instruct_q4_k_m,mistral_7b_instruct_v0_3_q4_k_m,1712197497,False,2000,raw empirical step area divided by 0.01,0.9999878546935537,0.9999483298527592,1.0,0.9987854693553675,0.99542236328125,1.0,0.0005713586579076946,1.0,1.0,1.0,0.012072434607645875,0.0038684719535783366,0.021912987902139157,6,497,,,,,,,,,,True,,8,0.008130081300813009,False,test negatives do not support the requested empirical resolution,,
deberta,DeBERTa-v3-base,leave_one_model__qwen2_5_7b_instruct_q4_k_m,pretrained_transformer,6602,1968,994,984,497,497,99,llama3_8b_instruct_q4_k_m;mistral_7b_instruct_v0_3_q4_k_m,llama3_8b_instruct_q4_k_m;mistral_7b_instruct_v0_3_q4_k_m,qwen2_5_7b_instruct_q4_k_m,411954686,False,2000,raw empirical step area divided by 0.01,0.9978745713718933,0.9948966278562873,0.9998405025944793,0.9746041642207369,0.9533606139914836,0.9921721824727089,0.029974358156323433,0.9758551307847082,0.9566074950690335,0.9920338370384341,0.004024144869215292,0.0,0.010376162391154938,2,485,,,,,,,,,,True,,7,0.007113821138211382,False,test negatives do not support the requested empirical resolution,,
surprisal,Model-aware surprisal,matched,saved_generation_trace_logistic,9904,2952,2982,1476,1491,1491,99,llama3_8b_instruct_q4_k_m;mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m;mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m;mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,2408996087,False,2000,raw empirical step area divided by 0.01,0.9999946020860239,0.9999704465614616,1.0,0.9994602086023856,0.9970446561461589,1.0,0.4431394575788546,0.9986586183769283,0.9952102595409158,1.0,0.002012072434607646,0.0,0.004471067979872082,3,1489,0.4431394575788546,0.9986586183769283,0.9952102595409158,1.0,0.002012072434607646,0.0,0.004471067979872082,3.0,1489.0,True,,0,0.0,True,,0.0,0.0
surprisal,Model-aware surprisal,leave_one_model__llama3_8b_instruct_q4_k_m,saved_generation_trace_logistic,6602,1968,994,984,497,497,99,mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,mistral_7b_instruct_v0_3_q4_k_m;qwen2_5_7b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,692724505,False,2000,raw empirical step area divided by 0.01,0.9999433219032505,0.9997327488928613,1.0,0.9943321903250489,0.9796747967479674,1.0,0.3881916666816963,0.9919517102615694,0.9796747967479674,1.0,0.006036217303822937,0.0,0.013671875,3,493,,,,,,,,,,True,,0,0.0,False,test negatives do not support the requested empirical resolution,,
