q8_plan_id,q4_plan_id,source_trial_id,payload_name,payload_class,codec,supported,invalid_rank_count,exact_payload_recovery,decode_success
quantization_trial__003aaa8bb047f76fc60d62d1,quantization_trial__c8f0a01bd435fbd8290234a8,revision_v1_primary_v2_payload_fidelity_v2__9ccb8538dbbf8f5ef713,revision_v1_nonce_96_bit_hex_013,nonce_96_bit_hex,ascii_b16,True,0,False,True
quantization_trial__00bd9d996a2ca5bdf9fa2a65,quantization_trial__7fc376092b1464c02ac8ac31,revision_v1_primary_v2_payload_fidelity_v2__807a6711f81547e64887,revision_v1_sha256_hex_052,sha256_hex,ascii_b16,True,1,False,False
quantization_trial__01bdb6d50b541c8c0624fa76,quantization_trial__5de6733801681a5a0380170f,revision_v1_primary_v2_payload_fidelity_v2__2ddb1c9f9b27632dca0b,revision_v1_chacha20_poly1305_base64_014,chacha20_poly1305_base64,ascii_b8,True,6,False,False
quantization_trial__0231eb080172a7f0d090e27e,quantization_trial__6d213a672694476af425ba23,revision_v1_primary_v2_payload_fidelity_v2__54a82e8aa92003938dc2,revision_v1_aes256_gcm_base64_015,aes256_gcm_base64,ascii_b8,True,5,False,False
quantization_trial__02492e943e8ba51d42d83475,quantization_trial__fde1b339d8a8135d23be842f,revision_v1_primary_v2_payload_fidelity_v2__9a00761a05610e2f92f4,revision_v1_uuid_v4_009,uuid_v4,ascii_b8,True,6,False,False
quantization_trial__02562e06d5df1d8d6e170170,quantization_trial__8af5fae4ca33b48af8bb35c8,revision_v1_primary_v2_payload_fidelity_v2__aca336afb14dd426ef8c,revision_v1_sha256_hex_034,sha256_hex,ascii_b16,True,0,False,True
quantization_trial__0295c7fb4593614a7fcf21b8,quantization_trial__fd9be35d1d657f20442f5f66,revision_v1_primary_v2_payload_fidelity_v2__5bb14c31ab3711817f47,revision_v1_nonce_96_bit_hex_027,nonce_96_bit_hex,ascii_b16,True,0,False,True
quantization_trial__02dd1a36e9493a76c3c11c1d,quantization_trial__4bf4b1494ba947ae48520e30,revision_v1_primary_v2_payload_fidelity_v2__6b84d68e501cf8ed7001,revision_v1_token_128_bit_hex_022,token_128_bit_hex,ascii_b16,True,0,False,True
quantization_trial__034667fb5e218286cf5c4c07,quantization_trial__62424faff5ae3467d4343cbe,revision_v1_primary_v2_payload_fidelity_v2__8f544645bfd0aab516c9,revision_v1_sha256_hex_006,sha256_hex,ascii_b8,True,10,False,False
quantization_trial__0352d16b3818a1edb76893c8,quantization_trial__58702283fecc347594485b12,revision_v1_primary_v2_payload_fidelity_v2__674b219fa6cecda963a3,revision_v1_hmac_sha256_hex_037,hmac_sha256_hex,ascii_b8,True,9,False,False
quantization_trial__037ab46a59ab4f4f41e947bd,quantization_trial__d5cab1db20108f8e68023bbd,revision_v1_primary_v2_payload_fidelity_v2__4b68b70a0429e4b7affa,revision_v1_chacha20_poly1305_base64_003,chacha20_poly1305_base64,ascii_b8,True,13,False,False
quantization_trial__0381447c2f1aa25f00562eb3,quantization_trial__dc9d6a2c6ff58a9aad722945,revision_v1_primary_v2_payload_fidelity_v2__1353045ae34cefa88a42,revision_v1_chacha20_poly1305_base64_035,chacha20_poly1305_base64,ascii_b8,True,11,False,False
quantization_trial__03901e3ead389bc2a742adeb,quantization_trial__893985feddc6924c55bd6b40,revision_v1_primary_v2_payload_fidelity_v2__1f2b530d03e5f8fefde7,revision_v1_sha256_hex_024,sha256_hex,ascii_b16,True,0,False,True
quantization_trial__0395097a0120e95122e97f59,quantization_trial__495923fc5114b0d8b74b16a2,revision_v1_primary_v2_payload_fidelity_v2__58958f9338ad87a1e5a9,revision_v1_ed25519_signature_base64_022,ed25519_signature_base64,ascii_b16,True,9,False,False
quantization_trial__03ab33da658e31f27989bc8d,quantization_trial__7a2b4615b214e7bf1591b673,revision_v1_primary_v2_payload_fidelity_v2__0ed7a78b31247098f0a8,revision_v1_sha256_hex_021,sha256_hex,ascii_b8,True,9,False,False
quantization_trial__03e4a6a98940e8ee99e629f4,quantization_trial__c5361f100c7e5258dcbca68b,revision_v1_primary_v2_payload_fidelity_v2__203295ad2a315b27a936,revision_v1_aes256_gcm_base64_032,aes256_gcm_base64,ascii_b16,True,4,False,False
quantization_trial__03f25d26affb041138cc0135,quantization_trial__81ea896a335f6ddac3949878,revision_v1_primary_v2_payload_fidelity_v2__e27f3ce087f4b50b92a0,revision_v1_aes256_gcm_base64_028,aes256_gcm_base64,ascii_b8,True,14,False,False
quantization_trial__043ba5942e42784eb8af8203,quantization_trial__f1e2f88c530f919d8a91e5f5,revision_v1_primary_v2_payload_fidelity_v2__2dbf4a392f8e2dc66156,revision_v1_nonce_96_bit_hex_003,nonce_96_bit_hex,ascii_b16,True,0,False,True
quantization_trial__045c335e725ad37e527c9c5e,quantization_trial__02a1fbc86f759bf45de3a039,revision_v1_primary_v2_payload_fidelity_v2__d7d9f90765c297bd1b91,revision_v1_hmac_sha256_hex_039,hmac_sha256_hex,ascii_b8,True,13,False,False
quantization_trial__045f871f3818a23cd2f2e6e1,quantization_trial__a691ffcc2ad5225a31735b96,revision_v1_primary_v2_payload_fidelity_v2__b1c388bc38ea6079c5ed,revision_v1_sha256_hex_047,sha256_hex,ascii_b16,True,0,False,True
quantization_trial__04f3cb02977707dc0c27b2c0,quantization_trial__700081fde29c71bd97186c5d,revision_v1_primary_v2_payload_fidelity_v2__a6bbaae033e3d63c7f18,revision_v1_chacha20_poly1305_base64_000,chacha20_poly1305_base64,ascii_b16,True,5,False,False
quantization_trial__052bd08f68aa418a6cb08858,quantization_trial__2a1f12c63f8efc2085655942,revision_v1_primary_v2_payload_fidelity_v2__6e2d530b04670c625d05,revision_v1_aes256_gcm_base64_026,aes256_gcm_base64,ascii_b16,True,3,False,False
quantization_trial__0552dbcadfe7a9da74236c92,quantization_trial__db576c8ba9d960823142490f,revision_v1_primary_v2_payload_fidelity_v2__ffe3eff9bc9d732b19f1,revision_v1_sha256_hex_039,sha256_hex,ascii_b16,True,0,False,True
quantization_trial__055e920edbf8238bbd0ce43c,quantization_trial__6487594ad1023d6da6b8e70c,revision_v1_primary_v2_payload_fidelity_v2__e1a7d92fe4797b1b8abb,revision_v1_aes256_gcm_base64_049,aes256_gcm_base64,ascii_b8,True,11,False,False
quantization_trial__056b353e39b168fa7c72ee5d,quantization_trial__809365c8bd71c590fd997373,revision_v1_primary_v2_payload_fidelity_v2__53f9578c68d8b44bb1bf,revision_v1_aes256_gcm_base64_006,aes256_gcm_base64,ascii_b16,True,1,False,False
quantization_trial__05791670beccbc1b07200070,quantization_trial__1e7afaf5bfc50f003983bab9,revision_v1_primary_v2_payload_fidelity_v2__346c96c57fc798a6be39,revision_v1_uuid_v4_030,uuid_v4,ascii_b8,True,2,False,False
quantization_trial__0621e8e513f74474fe049af3,quantization_trial__112ea6af7352bd26e06f0fae,revision_v1_primary_v2_payload_fidelity_v2__f8666c49b0c540b69d77,revision_v1_token_128_bit_hex_029,token_128_bit_hex,ascii_b8,True,4,False,False
quantization_trial__0623bfe986963c5a86b7739a,quantization_trial__99d9b8db04de4b3a4c8b9597,revision_v1_primary_v2_payload_fidelity_v2__744226649ff2aaacbfdd,revision_v1_token_128_bit_hex_020,token_128_bit_hex,ascii_b16,True,0,False,True
