ordinal,detector_name,detector_kind,split_id,regime,held_out_column,held_out_value,seed,train_row_count,test_row_count,elapsed_seconds,model_state_sha256,model_artifact_set_sha256,checkpoint_manifest_path,checkpoint_manifest_sha256,metric_path,metric_sha256,predictions_path,predictions_sha256
0,published_textcnn_equivalent,text_cnn,matched,matched,,,3996075400,11880,3960,34.2467086329998,bfd7c7779e8406c6d272b1024921f6e934a6eebc5a63f41ede14401de7296dd1,,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0000/manifest.json,ab26079361e97e6b4b35865a2a9f0b4da5a7f1f9b0eb2124132f6487641648ee,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0000/metric.json,c87392a87e8aa51138fba5d2f053db9869455accf7d6a0f87524247d24735069,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0000/predictions.json,7916a6358c5ec6997b463bd0fcd8e7e6ce3db48d63a0b721a2d2a00fd90fc603
1,deberta_v3_base_classifier,pretrained_transformer,matched,matched,,,2544512008,11880,3960,1480.098760932,19bd4d1fb250dd82d8cffa8c10b2448e5dcd52ffd8a43b15f8acfb1bbdb13c73,dbb0a6e580e832b6e84a4f2815cdc867c879fb2789048a563791b42c1068a613,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0001/manifest.json,a1ae856e9456b323a0429f90a7a45e5f0da7c034cec0de36df1ff8b34dc73c30,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0001/metric.json,e6fdf37f1f1b0fc6bb4d6d4629c0aa61cd4af975b50d496962ab68259b050867,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0001/predictions.json,88768ff4ae31db1db3e8e5dc75ce3f76014c1806e15434b3977722b30e83759f
2,published_textcnn_equivalent,text_cnn,held_out_template:casual_hobby_chat,held_out_template,prompt_template_id,casual_hobby_chat,3108966237,13200,880,17.79277627800002,437f910c65ec4800bb83bf1616fd3e75b5a8a2433c805fb59711f54a4e8dd823,,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0002/manifest.json,939fb844ed53196a58ec4a0ee11f8c76b2e2b17f96f5c1ed6b878b7d45a6817a,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0002/metric.json,2b32e0e6fdee52d6ab177f39470d0f7f480a34b4329e6b522a536e7177ae4d67,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0002/predictions.json,c9912640548b21cdb25ec985498a7b063965ea404e11368585111b7d27070392
3,deberta_v3_base_classifier,pretrained_transformer,held_out_template:casual_hobby_chat,held_out_template,prompt_template_id,casual_hobby_chat,3085940687,13200,880,1603.5272388410012,b64e82a020d4ad48d910e3d2d6b468fe111a814f29e317ab3486a796e7ea7ade,dbb0a6e580e832b6e84a4f2815cdc867c879fb2789048a563791b42c1068a613,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0003/manifest.json,0dff71b54f21fbc7d6651d58f5dff48ce24a057e2f464a3024cc69bd9119a42c,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0003/metric.json,000f680934bc7717194047944e8c2272b304f1a14132a4e1e247a97a92226bf6,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0003/predictions.json,445103bad48709daf7735f999083876e303678ad6aca3ecc8b8d25ec9ed3a4cc
4,published_textcnn_equivalent,text_cnn,held_out_template:casual_neighborhood_chat,held_out_template,prompt_template_id,casual_neighborhood_chat,4048671338,13200,880,14.61192708300041,a252d46d9d0177040a991222a830eb6ed6d02542333b087f16ce52290da57f14,,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0004/manifest.json,577e4e83c91758283fab64dcfcf1c476cf04e9e3844da84ef8a3ed1e2567c25a,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0004/metric.json,6a9c985001ab247442cfa63ca503858fc989fc079bb5f199c9d6a5f3503ed76f,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0004/predictions.json,aaf97122da202788c3df77552cb4f327894e7a6b37b06af82ddcccafb1fc4f11
5,deberta_v3_base_classifier,pretrained_transformer,held_out_template:casual_neighborhood_chat,held_out_template,prompt_template_id,casual_neighborhood_chat,4020980781,13200,880,1604.3520139409993,e460d06fe8d8c8d604c7f9933cef1389c2113eae6f67d0107f5cd97af20cf788,dbb0a6e580e832b6e84a4f2815cdc867c879fb2789048a563791b42c1068a613,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0005/manifest.json,4328cd7faf60eccbccd19b3eeb00981ca65a94d891cdbb41e4e4ba62f14dd131,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0005/metric.json,6b786c0ff857e42bb2b6fbde074b9c94f26bfd2bb52eeb04e9f6c6b2bb35aa4a,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0005/predictions.json,9f2696612087b16a84748a95b23df8e56a6e0c0fb22939330faa20aec1bd97c7
6,published_textcnn_equivalent,text_cnn,held_out_template:casual_weekend_chat,held_out_template,prompt_template_id,casual_weekend_chat,265756634,13200,880,14.72420263100139,7102fd263164545e174287fb4c348c19419d1c26bfa592e1e09bed51b8772723,,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0006/manifest.json,c0f1a811afae745b88d2c06dfca56070ef3dac59de235fc537ee15403b4eb989,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0006/metric.json,08913467f9c4f8046104cfe8290c9eb001999c73fd686c24b2b3bc2937860836,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0006/predictions.json,05bdfed0fe850f4eabab73bd2670ddbc187d920d9a8941c63cfcd320575f1dd3
7,deberta_v3_base_classifier,pretrained_transformer,held_out_template:casual_weekend_chat,held_out_template,prompt_template_id,casual_weekend_chat,1249760787,13200,880,1604.083242896002,e91646b87ce5fa71b9cdf26c3877b3f133c14cf6ce0570445e3e639e020b9dac,dbb0a6e580e832b6e84a4f2815cdc867c879fb2789048a563791b42c1068a613,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0007/manifest.json,7f11349d8c6df8d88b737b0ff370d1f36b4fb4a55ae946b25232fd6d9ab80769,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0007/metric.json,64037c11417bb942f59821150931e5f340ddfcc1b0ef5e7b46045bf1edb0a2ef,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0007/predictions.json,e33ad75a2841c1b1a05b374063a20c26bdb8f96151c029fd83cd6a07d539648c
8,published_textcnn_equivalent,text_cnn,held_out_template:explain_biological_process,held_out_template,prompt_template_id,explain_biological_process,1198753280,13200,880,14.854062473998056,3db368959182e8d0bef2ae1f26f27dac4957588116c1f22bab7310e6ed2e3c1f,,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0008/manifest.json,d3004309260b32ab392018ef3ce79d9efa70255fca8e442a07b166bc538d39ee,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0008/metric.json,8e2f693fc508f9ead14e68b2f2fe2273d6629379eecd0602e71ef9a9ec5a5296,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0008/predictions.json,d94458aa565fdecf1671ac0e192f76806ebebcd8db10f1becec407c7943c66b9
9,deberta_v3_base_classifier,pretrained_transformer,held_out_template:explain_biological_process,held_out_template,prompt_template_id,explain_biological_process,2627840652,13200,880,1606.496664582999,3637248d41acb4c86504d32b26520654d6bb135337176e159f6b1ab33640c2e5,dbb0a6e580e832b6e84a4f2815cdc867c879fb2789048a563791b42c1068a613,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0009/manifest.json,162b43e18783d3c54d1d89bf16d20e156d20bb5093068149e2f357144a37faa3,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0009/metric.json,d9bf0517d1581c6101eecd5cbc524e04089afbf25e4b95bf6f3f208c85f13144,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0009/predictions.json,1b6b6a030a5eba6c63f4a425e8da94c261f9ecc5ba34376829a8367064a66d59
10,published_textcnn_equivalent,text_cnn,held_out_template:explain_everyday_system,held_out_template,prompt_template_id,explain_everyday_system,3341032445,13200,880,15.434359587001381,f33692668c55d4ed05161792c6d4046fcb6570ffada70667f43127c40ce670a7,,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0010/manifest.json,9289ed638160013512b8a7ab335b6ab631f8f0e668ac5c68bf24d93a01346c42,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0010/metric.json,fcab23a2018274f72869c8ad93a7df08c74dbca03497422a254b97b4e5e3ad2a,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0010/predictions.json,105484d9e97113539de8331e9d93b2b3c013f0faa2cbfa3e0e7febf51ed6578f
